iter 00001 | success 0.000 | cost 0.0 | energy 0.0 | reach_rate 0.000 | safe_rate 0.703 | unsafe_before_reach 0.000 | no_reach 1.000 | actor_loss 0.02321 | energy_loss 103.55479 | reach_loss 79248.00781 | mean_bound_loss 0.00000 | entropy 2.1761 | gamma_reach 0.999000 | ent_coef 0.00100 | elapsed 14.57s
iter 00002 | success 0.016 | cost 130.0 | energy 214.0 | reach_rate 0.016 | safe_rate 0.750 | unsafe_before_reach 0.000 | no_reach 0.984 | actor_loss 0.00427 | energy_loss 1.35162 | reach_loss 68479.59351 | mean_bound_loss 0.00000 | entropy 2.1703 | gamma_reach 0.999040 | ent_coef 0.00098 | elapsed 15.04s
iter 00003 | success 0.031 | cost 43.5 | energy 85.0 | reach_rate 0.031 | safe_rate 0.641 | unsafe_before_reach 0.000 | no_reach 0.969 | actor_loss -0.00020 | energy_loss 3.21874 | reach_loss 70838.95225 | mean_bound_loss 0.00000 | entropy 2.1686 | gamma_reach 0.999079 | ent_coef 0.00096 | elapsed 15.21s
iter 00004 | success 0.000 | cost 0.0 | energy 0.0 | reach_rate 0.000 | safe_rate 0.719 | unsafe_before_reach 0.000 | no_reach 1.000 | actor_loss 0.00052 | energy_loss 2.90920 | reach_loss 71542.17354 | mean_bound_loss 0.00000 | entropy 2.1705 | gamma_reach 0.999119 | ent_coef 0.00094 | elapsed 15.35s
iter 00005 | success 0.000 | cost 0.0 | energy 0.0 | reach_rate 0.000 | safe_rate 0.672 | unsafe_before_reach 0.000 | no_reach 1.000 | actor_loss 0.00102 | energy_loss 2.02285 | reach_loss 69569.93291 | mean_bound_loss 0.00000 | entropy 2.1710 | gamma_reach 0.999158 | ent_coef 0.00092 | elapsed 15.65s
iter 00006 | success 0.000 | cost 0.0 | energy 0.0 | reach_rate 0.000 | safe_rate 0.594 | unsafe_before_reach 0.000 | no_reach 1.000 | actor_loss 0.00188 | energy_loss 8.31274 | reach_loss 92778.35195 | mean_bound_loss 0.00000 | entropy 2.1731 | gamma_reach 0.999198 | ent_coef 0.00090 | elapsed 15.57s
iter 00007 | success 0.000 | cost 0.0 | energy 0.0 | reach_rate 0.000 | safe_rate 0.641 | unsafe_before_reach 0.000 | no_reach 1.000 | actor_loss 0.01103 | energy_loss 2.61017 | reach_loss 91666.93975 | mean_bound_loss 0.00000 | entropy 2.1711 | gamma_reach 0.999238 | ent_coef 0.00088 | elapsed 15.75s
iter 00008 | success 0.016 | cost 0.0 | energy 4.8 | reach_rate 0.016 | safe_rate 0.562 | unsafe_before_reach 0.000 | no_reach 0.984 | actor_loss 0.05244 | energy_loss 2.07660 | reach_loss 79903.53340 | mean_bound_loss 0.00000 | entropy 2.1721 | gamma_reach 0.999277 | ent_coef 0.00086 | elapsed 15.57s
iter 00009 | success 0.000 | cost 0.0 | energy 0.0 | reach_rate 0.000 | safe_rate 0.406 | unsafe_before_reach 0.000 | no_reach 1.000 | actor_loss 0.10555 | energy_loss 9.35149 | reach_loss 97489.94414 | mean_bound_loss 0.00000 | entropy 2.1724 | gamma_reach 0.999317 | ent_coef 0.00084 | elapsed 15.70s
iter 00010 | success 0.016 | cost 0.0 | energy 1.5 | reach_rate 0.016 | safe_rate 0.422 | unsafe_before_reach 0.000 | no_reach 0.984 | actor_loss 0.14735 | energy_loss 16.36515 | reach_loss 98444.89473 | mean_bound_loss 0.00024 | entropy 2.1725 | gamma_reach 0.999356 | ent_coef 0.00082 | elapsed 15.53s
debug 00010 | std_mean 0.4993 | std_min 0.4978 | std_max 0.5000 | done_mean 0.8425 | energy_min_ratio 0.2437 | energy_neg_ratio 0.5630 | e_cons [2.325e+00, 8.000e+00] | first_emin_step 152.02 | act_clip_ratio 0.0912 | act_abs [4.677e-01, 2.731e+00] | act_mean_abs [2.232e-01, 2.411e+00] | act_mean_clip_ratio 0.0132 | clipped_act_abs [4.438e-01, 1.000e+00] | act_mean_abs_dim [4.000e-01, 1.495e-01, 1.200e-01] | act_mean_clip_dim [0.0396, 0.0000, 0.0000] | clipped_act_abs_dim [5.157e-01, 4.111e-01, 4.045e-01] | init_energy [-3.855e+02, 1.592e+02, 7.497e+02] | v_reach [-3.984e+01, 5.885e+02] | t_reach [-3.000e+02, 9.517e+02] | reach_clip_ratio 0.0000 | open_ratio 0.1575 | t_done [-3.000e+02, 9.517e+02] | t_open [-3.949e+01, 7.126e+02] | v_open [-3.984e+01, 5.253e+02] | tmin_src done 1 t 0 v -3.382e+01 next_v -3.361e+01 g -3.000e+02 h -3.000e+02 energy 6.825e+02 | adv_total_std 2.379e+02 | adv_open_std 1.597e+02
iter 00011 | success 0.000 | cost 0.0 | energy 0.0 | reach_rate 0.000 | safe_rate 0.328 | unsafe_before_reach 0.000 | no_reach 1.000 | actor_loss 0.18808 | energy_loss 3.79302 | reach_loss 127378.68750 | mean_bound_loss 0.00109 | entropy 2.1739 | gamma_reach 0.999396 | ent_coef 0.00080 | elapsed 15.50s
iter 00012 | success 0.000 | cost 0.0 | energy 0.0 | reach_rate 0.000 | safe_rate 0.469 | unsafe_before_reach 0.000 | no_reach 1.000 | actor_loss 0.22965 | energy_loss 5.32196 | reach_loss 128023.33154 | mean_bound_loss 0.00082 | entropy 2.1765 | gamma_reach 0.999436 | ent_coef 0.00078 | elapsed 15.49s
iter 00013 | success 0.000 | cost 0.0 | energy 0.0 | reach_rate 0.000 | safe_rate 0.562 | unsafe_before_reach 0.000 | no_reach 1.000 | actor_loss 0.17840 | energy_loss 8.09991 | reach_loss 114347.80635 | mean_bound_loss 0.00097 | entropy 2.1772 | gamma_reach 0.999475 | ent_coef 0.00076 | elapsed 15.69s
iter 00014 | success 0.000 | cost 0.0 | energy 0.0 | reach_rate 0.000 | safe_rate 0.500 | unsafe_before_reach 0.000 | no_reach 1.000 | actor_loss 0.17873 | energy_loss 89.35818 | reach_loss 147116.89727 | mean_bound_loss 0.00931 | entropy 2.1771 | gamma_reach 0.999515 | ent_coef 0.00074 | elapsed 15.65s
iter 00015 | success 0.000 | cost 0.0 | energy 0.0 | reach_rate 0.000 | safe_rate 0.469 | unsafe_before_reach 0.000 | no_reach 1.000 | actor_loss 0.18691 | energy_loss 126.43316 | reach_loss 124041.98369 | mean_bound_loss 0.07134 | entropy 2.1770 | gamma_reach 0.999554 | ent_coef 0.00072 | elapsed 15.79s
iter 00016 | success 0.016 | cost 0.0 | energy 5.6 | reach_rate 0.016 | safe_rate 0.531 | unsafe_before_reach 0.000 | no_reach 0.984 | actor_loss 0.17716 | energy_loss 71.90137 | reach_loss 115292.09844 | mean_bound_loss 0.19048 | entropy 2.1769 | gamma_reach 0.999594 | ent_coef 0.00070 | elapsed 15.69s
iter 00017 | success 0.000 | cost 0.0 | energy 0.0 | reach_rate 0.000 | safe_rate 0.406 | unsafe_before_reach 0.000 | no_reach 1.000 | actor_loss 0.28372 | energy_loss 354.76355 | reach_loss 241705.10801 | mean_bound_loss 0.34891 | entropy 2.1767 | gamma_reach 0.999634 | ent_coef 0.00068 | elapsed 15.78s
iter 00018 | success 0.000 | cost 0.0 | energy 0.0 | reach_rate 0.000 | safe_rate 0.422 | unsafe_before_reach 0.000 | no_reach 1.000 | actor_loss 0.27074 | energy_loss 239.32055 | reach_loss 284758.17715 | mean_bound_loss 0.54005 | entropy 2.1773 | gamma_reach 0.999673 | ent_coef 0.00066 | elapsed 15.57s
iter 00019 | success 0.016 | cost 0.0 | energy 8.0 | reach_rate 0.016 | safe_rate 0.312 | unsafe_before_reach 0.000 | no_reach 0.984 | actor_loss 0.30526 | energy_loss 393.25594 | reach_loss 235543.51582 | mean_bound_loss 0.53605 | entropy 2.1770 | gamma_reach 0.999713 | ent_coef 0.00064 | elapsed 15.90s
iter 00020 | success 0.000 | cost 0.0 | energy 0.0 | reach_rate 0.000 | safe_rate 0.344 | unsafe_before_reach 0.000 | no_reach 1.000 | actor_loss 0.29526 | energy_loss 325.43168 | reach_loss 238734.69824 | mean_bound_loss 0.71801 | entropy 2.1761 | gamma_reach 0.999752 | ent_coef 0.00062 | elapsed 15.76s
