iter 00001 | success 0.016 | cost 64.4 | energy 366.9 | actor_loss 0.27032 | energy_loss 706.65610 | reach_loss 102822.88389 | entropy 4.2568 | gamma_reach 0.999000 | ent_coef 0.01000 | elapsed 25.54s
iter 00002 | success 0.038 | cost 40.9 | energy 468.7 | actor_loss 0.12622 | energy_loss 259.18913 | reach_loss 112061.59395 | entropy 4.2568 | gamma_reach 0.999001 | ent_coef 0.01000 | elapsed 29.01s
iter 00003 | success 0.039 | cost 46.7 | energy 516.5 | actor_loss 0.02534 | energy_loss 150.24400 | reach_loss 109227.20635 | entropy 4.2568 | gamma_reach 0.999003 | ent_coef 0.01000 | elapsed 28.92s
iter 00004 | success 0.037 | cost 42.3 | energy 449.6 | actor_loss 0.05714 | energy_loss 154.11609 | reach_loss 104183.98555 | entropy 4.2568 | gamma_reach 0.999004 | ent_coef 0.01000 | elapsed 28.83s
iter 00005 | success 0.039 | cost 55.3 | energy 487.4 | actor_loss 0.08027 | energy_loss 126.91364 | reach_loss 97945.87920 | entropy 4.2568 | gamma_reach 0.999005 | ent_coef 0.01000 | elapsed 28.09s
iter 00006 | success 0.041 | cost 50.7 | energy 490.4 | actor_loss 0.07574 | energy_loss 111.27464 | reach_loss 76986.24189 | entropy 4.2568 | gamma_reach 0.999007 | ent_coef 0.01000 | elapsed 28.00s
iter 00007 | success 0.036 | cost 48.5 | energy 463.5 | actor_loss 0.04263 | energy_loss 103.70914 | reach_loss 74002.98027 | entropy 4.2568 | gamma_reach 0.999008 | ent_coef 0.01000 | elapsed 28.59s
iter 00008 | success 0.041 | cost 37.8 | energy 477.6 | actor_loss 0.04064 | energy_loss 102.89583 | reach_loss 59719.25557 | entropy 4.2568 | gamma_reach 0.999009 | ent_coef 0.01000 | elapsed 28.53s
iter 00009 | success 0.043 | cost 44.9 | energy 448.5 | actor_loss 0.03910 | energy_loss 105.57845 | reach_loss 51220.76284 | entropy 4.2568 | gamma_reach 0.999011 | ent_coef 0.01000 | elapsed 28.37s
iter 00010 | success 0.039 | cost 48.1 | energy 538.9 | actor_loss 0.04590 | energy_loss 105.64889 | reach_loss 42221.65190 | entropy 4.2568 | gamma_reach 0.999012 | ent_coef 0.01000 | elapsed 28.07s
iter 00011 | success 0.040 | cost 42.6 | energy 549.6 | actor_loss 0.03708 | energy_loss 102.83143 | reach_loss 36177.22695 | entropy 4.2568 | gamma_reach 0.999013 | ent_coef 0.01000 | elapsed 27.72s
iter 00012 | success 0.037 | cost 45.8 | energy 509.4 | actor_loss 0.03493 | energy_loss 106.28876 | reach_loss 29972.15120 | entropy 4.2568 | gamma_reach 0.999015 | ent_coef 0.01000 | elapsed 28.71s
iter 00013 | success 0.043 | cost 53.3 | energy 538.0 | actor_loss 0.03340 | energy_loss 103.82325 | reach_loss 26962.00579 | entropy 4.2568 | gamma_reach 0.999016 | ent_coef 0.01000 | elapsed 28.55s
iter 00014 | success 0.040 | cost 44.9 | energy 527.0 | actor_loss 0.02085 | energy_loss 108.73432 | reach_loss 21832.40979 | entropy 4.2568 | gamma_reach 0.999017 | ent_coef 0.01000 | elapsed 28.29s
iter 00015 | success 0.041 | cost 41.4 | energy 468.2 | actor_loss 0.01138 | energy_loss 115.71017 | reach_loss 23378.17815 | entropy 4.2568 | gamma_reach 0.999018 | ent_coef 0.01000 | elapsed 28.26s
