iter 00030 | success 0.334 | cost 110.8 | policy_loss -0.00008 | value_loss 9118.89386 | Vmean -8.310 | Rmean -40.227 | Vrmse 135.127 | VexpVar 0.341 | adv_std 131.304 | elapsed 50.18s
iter 00031 | success 0.375 | cost 112.3 | policy_loss -0.00013 | value_loss 9108.46613 | Vmean -11.354 | Rmean -49.911 | Vrmse 135.033 | VexpVar 0.372 | adv_std 129.411 | elapsed 50.21s
iter 00032 | success 0.397 | cost 108.8 | policy_loss -0.00006 | value_loss 9094.40308 | Vmean -15.934 | Rmean -58.493 | Vrmse 134.937 | VexpVar 0.405 | adv_std 128.050 | elapsed 50.09s
iter 00033 | success 0.400 | cost 108.8 | policy_loss -0.00018 | value_loss 9073.26910 | Vmean -19.431 | Rmean -62.666 | Vrmse 134.746 | VexpVar 0.427 | adv_std 127.621 | elapsed 50.33s
iter 00034 | success 0.416 | cost 106.6 | policy_loss -0.00006 | value_loss 8726.02277 | Vmean -25.028 | Rmean -70.027 | Vrmse 132.151 | VexpVar 0.464 | adv_std 124.253 | elapsed 50.28s
iter 00035 | success 0.421 | cost 104.5 | policy_loss -0.00020 | value_loss 8566.76410 | Vmean -30.256 | Rmean -76.453 | Vrmse 130.898 | VexpVar 0.495 | adv_std 122.475 | elapsed 49.26s
iter 00036 | success 0.455 | cost 104.3 | policy_loss 0.00000 | value_loss 7698.69839 | Vmean -40.932 | Rmean -87.343 | Vrmse 123.701 | VexpVar 0.558 | adv_std 114.665 | elapsed 49.25s
iter 00037 | success 0.442 | cost 104.6 | policy_loss -0.00009 | value_loss 7024.21436 | Vmean -43.055 | Rmean -84.537 | Vrmse 118.378 | VexpVar 0.594 | adv_std 110.872 | elapsed 49.79s
iter 00038 | success 0.453 | cost 104.2 | policy_loss -0.00011 | value_loss 6082.42953 | Vmean -55.273 | Rmean -92.407 | Vrmse 109.576 | VexpVar 0.649 | adv_std 103.092 | elapsed 49.83s
iter 00039 | success 0.458 | cost 104.5 | policy_loss -0.00011 | value_loss 5548.45560 | Vmean -60.183 | Rmean -93.283 | Vrmse 105.253 | VexpVar 0.679 | adv_std 99.914 | elapsed 50.01s
iter 00040 | success 0.474 | cost 100.9 | policy_loss -0.00017 | value_loss 5391.66373 | Vmean -69.190 | Rmean -103.704 | Vrmse 103.830 | VexpVar 0.696 | adv_std 97.925 | elapsed 48.84s
