iter 00001 | success 0.010 | cost 38.0 | energy 234.7 | actor_loss 0.19152 | energy_loss 119.75221 | reach_loss 94795.82393 | entropy 2.1751 | gamma_reach 0.999000 | ent_coef 0.00100 | elapsed 24.77s
iter 00002 | success 0.032 | cost 86.4 | energy 556.6 | actor_loss 0.16540 | energy_loss 0.67660 | reach_loss 93622.67803 | entropy 2.1430 | gamma_reach 0.999020 | ent_coef 0.00099 | elapsed 26.82s
iter 00003 | success 0.039 | cost 51.3 | energy 541.1 | actor_loss 0.16784 | energy_loss 0.29673 | reach_loss 112962.91162 | entropy 2.2108 | gamma_reach 0.999040 | ent_coef 0.00098 | elapsed 27.95s
iter 00004 | success 0.046 | cost 50.4 | energy 511.6 | actor_loss 0.19490 | energy_loss 0.56123 | reach_loss 107350.58115 | entropy 2.2284 | gamma_reach 0.999059 | ent_coef 0.00097 | elapsed 28.08s
iter 00005 | success 0.013 | cost 10.0 | energy 295.7 | actor_loss 0.30824 | energy_loss 0.51591 | reach_loss 104066.89541 | entropy 2.3005 | gamma_reach 0.999079 | ent_coef 0.00096 | elapsed 28.24s
iter 00006 | success 0.011 | cost 11.8 | energy 318.5 | actor_loss 0.34932 | energy_loss 0.23664 | reach_loss 101727.28281 | entropy 2.4191 | gamma_reach 0.999099 | ent_coef 0.00095 | elapsed 28.10s
iter 00007 | success 0.012 | cost 12.2 | energy 205.9 | actor_loss 0.35015 | energy_loss 0.26788 | reach_loss 100192.99424 | entropy 2.5645 | gamma_reach 0.999119 | ent_coef 0.00094 | elapsed 28.29s
iter 00008 | success 0.011 | cost 16.5 | energy 239.4 | actor_loss 0.35856 | energy_loss 0.41084 | reach_loss 105780.69346 | entropy 2.6982 | gamma_reach 0.999139 | ent_coef 0.00093 | elapsed 28.07s
iter 00009 | success 0.067 | cost 84.8 | energy 538.0 | actor_loss 0.28930 | energy_loss 24.12785 | reach_loss 177132.71348 | entropy 2.8290 | gamma_reach 0.999158 | ent_coef 0.00092 | elapsed 27.99s
iter 00010 | success 0.122 | cost 94.0 | energy 548.7 | actor_loss 0.30962 | energy_loss 29.12014 | reach_loss 198112.07090 | entropy 2.9691 | gamma_reach 0.999178 | ent_coef 0.00091 | elapsed 27.86s
debug 00010 | std_mean 0.6675 | std_min 0.6149 | std_max 0.7175 | done_mean 0.9888 | energy_min_ratio 0.9668 | energy_neg_ratio 0.9847 | e_cons [9.401e+01, 1.200e+02] | first_emin_step 6.68 | act_clip_ratio 0.6824 | init_energy [-3.996e+02, 1.989e+02, 7.992e+02] | v_reach [-1.642e+03, 5.374e+02] | t_reach [-1.564e+03, 1.529e+03] | reach_clip_ratio 0.0000 | open_ratio 0.0112 | t_done [-3.000e+02, 1.529e+03] | t_open [-1.564e+03, 7.625e+02] | v_open [-1.572e+03, 4.651e+02] | tmin_src done 0 t 199 v -1.572e+03 next_v -1.565e+03 g -3.000e+02 h -3.000e+02 energy -4.000e+02 | adv_total_std 1.495e+02 | adv_open_std 8.838e+01
