iter 00151 | success 0.114 | cost 107.4 | energy 436.9 | actor_loss 0.34472 | energy_loss 5843.82792 | reach_loss 15743486.93750 | entropy 2.1774 | gamma_reach 0.999594 | ent_coef 0.00070 | elapsed 25.05s
iter 00152 | success 0.106 | cost 115.0 | energy 458.3 | actor_loss 0.35328 | energy_loss 6621.52357 | reach_loss 17534059.55000 | entropy 2.1774 | gamma_reach 0.999598 | ent_coef 0.00070 | elapsed 27.09s
iter 00153 | success 0.108 | cost 115.0 | energy 463.7 | actor_loss 0.34452 | energy_loss 5392.83934 | reach_loss 20678369.52500 | entropy 2.1774 | gamma_reach 0.999602 | ent_coef 0.00070 | elapsed 25.14s
iter 00154 | success 0.100 | cost 117.9 | energy 473.7 | actor_loss 0.35831 | energy_loss 4457.71000 | reach_loss 20215572.90000 | entropy 2.1774 | gamma_reach 0.999606 | ent_coef 0.00069 | elapsed 27.48s
iter 00155 | success 0.108 | cost 115.7 | energy 494.0 | actor_loss 0.35658 | energy_loss 4103.84515 | reach_loss 24128994.87500 | entropy 2.1774 | gamma_reach 0.999610 | ent_coef 0.00069 | elapsed 25.53s
iter 00156 | success 0.111 | cost 115.3 | energy 472.4 | actor_loss 0.35826 | energy_loss 4439.74611 | reach_loss 19803510.12500 | entropy 2.1774 | gamma_reach 0.999614 | ent_coef 0.00069 | elapsed 26.02s
iter 00157 | success 0.108 | cost 116.7 | energy 468.2 | actor_loss 0.36101 | energy_loss 5242.38655 | reach_loss 22404658.67500 | entropy 2.1774 | gamma_reach 0.999618 | ent_coef 0.00069 | elapsed 26.77s
iter 00158 | success 0.071 | cost 110.0 | energy 394.3 | actor_loss 0.36246 | energy_loss 6140.34674 | reach_loss 22219405.57500 | entropy 2.1774 | gamma_reach 0.999622 | ent_coef 0.00069 | elapsed 25.97s
iter 00159 | success 0.056 | cost 111.9 | energy 410.0 | actor_loss 0.36175 | energy_loss 5736.97135 | reach_loss 21704486.10000 | entropy 2.1774 | gamma_reach 0.999626 | ent_coef 0.00068 | elapsed 27.41s
iter 00160 | success 0.042 | cost 102.1 | energy 325.1 | actor_loss 0.36380 | energy_loss 5258.91688 | reach_loss 20706140.22500 | entropy 2.1774 | gamma_reach 0.999630 | ent_coef 0.00068 | elapsed 25.61s
debug 00160 | std_mean 0.5000 | std_min 0.5000 | std_max 0.5000 | done_mean 0.9276 | energy_min_ratio 0.5935 | energy_neg_ratio 0.8217 | e_cons [7.414e+00, 8.000e+00] | first_emin_step 81.70 | act_clip_ratio 0.8936 | act_abs [3.441e+01, 2.222e+02] | act_mean_abs [3.440e+01, 2.224e+02] | act_mean_clip_ratio 0.8892 | clipped_act_abs [9.446e-01, 1.000e+00] | init_energy [-3.996e+02, 2.018e+02, 7.997e+02] | v_reach [-2.455e+04, 2.837e+03] | t_reach [-4.998e+03, 1.141e+03] | reach_clip_ratio 0.3592 | open_ratio 0.0724 | t_done [-3.000e+02, 1.141e+03] | t_open [-4.998e+03, 7.931e+02] | v_open [-2.391e+04, 2.697e+03] | tmin_src done 0 t 199 v -1.266e+04 next_v -5.000e+03 g -3.000e+02 h -3.000e+02 energy -4.000e+02 | adv_total_std 9.097e+02 | adv_open_std 8.614e+02
iter 00161 | success 0.059 | cost 116.5 | energy 378.1 | actor_loss 0.35922 | energy_loss 6265.00583 | reach_loss 27163229.37500 | entropy 2.1774 | gamma_reach 0.999634 | ent_coef 0.00068 | elapsed 25.47s
iter 00162 | success 0.052 | cost 117.1 | energy 396.0 | actor_loss 0.36213 | energy_loss 4277.50573 | reach_loss 22889548.82500 | entropy 2.1774 | gamma_reach 0.999638 | ent_coef 0.00068 | elapsed 25.28s
iter 00163 | success 0.047 | cost 117.7 | energy 421.5 | actor_loss 0.36309 | energy_loss 6270.23481 | reach_loss 19782587.25000 | entropy 2.1774 | gamma_reach 0.999642 | ent_coef 0.00068 | elapsed 26.08s
iter 00164 | success 0.082 | cost 107.8 | energy 497.5 | actor_loss 0.35977 | energy_loss 5029.40125 | reach_loss 25603787.20000 | entropy 2.1774 | gamma_reach 0.999645 | ent_coef 0.00067 | elapsed 22.75s
iter 00165 | success 0.108 | cost 107.6 | energy 511.6 | actor_loss 0.36144 | energy_loss 5627.26140 | reach_loss 28324325.07500 | entropy 2.1774 | gamma_reach 0.999649 | ent_coef 0.00067 | elapsed 26.82s
iter 00166 | success 0.092 | cost 109.0 | energy 477.1 | actor_loss 0.36598 | energy_loss 5691.07257 | reach_loss 23021868.67500 | entropy 2.1774 | gamma_reach 0.999653 | ent_coef 0.00067 | elapsed 25.05s
iter 00167 | success 0.037 | cost 80.1 | energy 323.3 | actor_loss 0.37368 | energy_loss 5801.73002 | reach_loss 17645753.12500 | entropy 2.1774 | gamma_reach 0.999657 | ent_coef 0.00067 | elapsed 27.32s
iter 00168 | success 0.028 | cost 64.4 | energy 272.9 | actor_loss 0.37564 | energy_loss 4925.00917 | reach_loss 14860822.56250 | entropy 2.1774 | gamma_reach 0.999661 | ent_coef 0.00067 | elapsed 25.09s
iter 00169 | success 0.057 | cost 98.4 | energy 397.6 | actor_loss 0.36876 | energy_loss 5282.29318 | reach_loss 17648389.95000 | entropy 2.1774 | gamma_reach 0.999665 | ent_coef 0.00066 | elapsed 25.91s
iter 00170 | success 0.038 | cost 72.8 | energy 334.4 | actor_loss 0.37393 | energy_loss 6080.88575 | reach_loss 14620158.86250 | entropy 2.1774 | gamma_reach 0.999669 | ent_coef 0.00066 | elapsed 24.85s
debug 00170 | std_mean 0.5000 | std_min 0.5000 | std_max 0.5000 | done_mean 0.9371 | energy_min_ratio 0.6083 | energy_neg_ratio 0.8274 | e_cons [7.646e+00, 8.000e+00] | first_emin_step 78.73 | act_clip_ratio 0.9374 | act_abs [5.756e+01, 2.734e+02] | act_mean_abs [5.755e+01, 2.731e+02] | act_mean_clip_ratio 0.9329 | clipped_act_abs [9.663e-01, 1.000e+00] | init_energy [-3.997e+02, 1.942e+02, 7.993e+02] | v_reach [-2.456e+04, 3.000e+03] | t_reach [-4.998e+03, 1.291e+03] | reach_clip_ratio 0.2634 | open_ratio 0.0629 | t_done [-3.000e+02, 1.291e+03] | t_open [-4.998e+03, 7.918e+02] | v_open [-2.332e+04, 2.939e+03] | tmin_src done 0 t 199 v -7.832e+03 next_v -5.000e+03 g -3.000e+02 h -3.000e+02 energy -4.000e+02 | adv_total_std 9.924e+02 | adv_open_std 9.754e+02
iter 00171 | success 0.043 | cost 80.6 | energy 344.3 | actor_loss 0.37420 | energy_loss 5284.37559 | reach_loss 14568727.50000 | entropy 2.1774 | gamma_reach 0.999673 | ent_coef 0.00066 | elapsed 25.62s
iter 00172 | success 0.050 | cost 75.5 | energy 372.8 | actor_loss 0.37449 | energy_loss 4221.27914 | reach_loss 13780589.12500 | entropy 2.1774 | gamma_reach 0.999677 | ent_coef 0.00066 | elapsed 26.05s
iter 00173 | success 0.045 | cost 66.8 | energy 303.0 | actor_loss 0.37411 | energy_loss 4446.86061 | reach_loss 16212443.96250 | entropy 2.1774 | gamma_reach 0.999681 | ent_coef 0.00066 | elapsed 25.88s
iter 00174 | success 0.064 | cost 72.1 | energy 383.1 | actor_loss 0.37317 | energy_loss 4065.42069 | reach_loss 16718390.17500 | entropy 2.1774 | gamma_reach 0.999685 | ent_coef 0.00065 | elapsed 24.58s
iter 00175 | success 0.038 | cost 50.9 | energy 283.4 | actor_loss 0.37101 | energy_loss 3699.25918 | reach_loss 8657396.23750 | entropy 2.1774 | gamma_reach 0.999689 | ent_coef 0.00065 | elapsed 26.20s
iter 00176 | success 0.049 | cost 62.4 | energy 348.2 | actor_loss 0.37192 | energy_loss 4396.76412 | reach_loss 12757604.01250 | entropy 2.1774 | gamma_reach 0.999693 | ent_coef 0.00065 | elapsed 25.07s
iter 00177 | success 0.098 | cost 87.8 | energy 459.0 | actor_loss 0.36729 | energy_loss 2804.10354 | reach_loss 17441327.12500 | entropy 2.1774 | gamma_reach 0.999697 | ent_coef 0.00065 | elapsed 22.89s
iter 00178 | success 0.146 | cost 98.8 | energy 505.0 | actor_loss 0.35783 | energy_loss 3275.61181 | reach_loss 18208393.97500 | entropy 2.1774 | gamma_reach 0.999701 | ent_coef 0.00065 | elapsed 25.69s
iter 00179 | success 0.168 | cost 104.2 | energy 506.6 | actor_loss 0.35477 | energy_loss 4101.02200 | reach_loss 11970590.75000 | entropy 2.1774 | gamma_reach 0.999705 | ent_coef 0.00064 | elapsed 26.57s
iter 00180 | success 0.168 | cost 101.7 | energy 514.0 | actor_loss 0.35060 | energy_loss 6218.67922 | reach_loss 12531756.21250 | entropy 2.1774 | gamma_reach 0.999709 | ent_coef 0.00064 | elapsed 24.51s
debug 00180 | std_mean 0.5000 | std_min 0.5000 | std_max 0.5000 | done_mean 0.9228 | energy_min_ratio 0.6073 | energy_neg_ratio 0.8247 | e_cons [7.740e+00, 8.000e+00] | first_emin_step 78.94 | act_clip_ratio 0.9511 | act_abs [4.552e+01, 2.631e+02] | act_mean_abs [4.551e+01, 2.628e+02] | act_mean_clip_ratio 0.9494 | clipped_act_abs [9.757e-01, 1.000e+00] | init_energy [-4.000e+02, 2.076e+02, 8.000e+02] | v_reach [-2.246e+04, 2.238e+03] | t_reach [-4.999e+03, 1.644e+03] | reach_clip_ratio 0.2176 | open_ratio 0.0772 | t_done [-3.000e+02, 1.644e+03] | t_open [-4.999e+03, 7.942e+02] | v_open [-2.165e+04, 2.227e+03] | tmin_src done 0 t 199 v -1.433e+04 next_v -5.000e+03 g -3.000e+02 h -3.000e+02 energy -4.000e+02 | adv_total_std 6.470e+02 | adv_open_std 6.582e+02
iter 00181 | success 0.186 | cost 101.1 | energy 493.6 | actor_loss 0.35120 | energy_loss 5703.46774 | reach_loss 10470951.60000 | entropy 2.1774 | gamma_reach 0.999713 | ent_coef 0.00064 | elapsed 27.78s
iter 00182 | success 0.156 | cost 97.7 | energy 483.0 | actor_loss 0.35920 | energy_loss 5814.80017 | reach_loss 14512044.32500 | entropy 2.1774 | gamma_reach 0.999717 | ent_coef 0.00064 | elapsed 26.44s
iter 00183 | success 0.100 | cost 89.6 | energy 484.3 | actor_loss 0.36782 | energy_loss 8589.44242 | reach_loss 14499052.98750 | entropy 2.1774 | gamma_reach 0.999721 | ent_coef 0.00064 | elapsed 26.66s
