iter 00001 | success 0.011 | cost 43.9 | energy 69.9 | actor_loss 0.01973 | energy_loss 90.48900 | reach_loss 70965.86719 | entropy 2.1770 | gamma_reach 0.999000 | ent_coef 0.00100 | elapsed 24.34s
iter 00002 | success 0.009 | cost 60.7 | energy 86.2 | actor_loss 0.00054 | energy_loss 0.94776 | reach_loss 70625.42393 | entropy 2.1754 | gamma_reach 0.999013 | ent_coef 0.00099 | elapsed 26.01s
iter 00003 | success 0.013 | cost 67.8 | energy 114.9 | actor_loss 0.00076 | energy_loss 1.02205 | reach_loss 74207.00117 | entropy 2.1687 | gamma_reach 0.999026 | ent_coef 0.00099 | elapsed 26.51s
iter 00004 | success 0.013 | cost 52.9 | energy 89.1 | actor_loss 0.00972 | energy_loss 3.47352 | reach_loss 74285.53525 | entropy 2.1590 | gamma_reach 0.999040 | ent_coef 0.00098 | elapsed 26.65s
iter 00005 | success 0.021 | cost 59.2 | energy 113.1 | actor_loss 0.11021 | energy_loss 3.77883 | reach_loss 102278.04834 | entropy 2.1560 | gamma_reach 0.999053 | ent_coef 0.00097 | elapsed 26.84s
iter 00006 | success 0.038 | cost 61.7 | energy 148.9 | actor_loss 0.22411 | energy_loss 1.68608 | reach_loss 185163.88027 | entropy 2.1649 | gamma_reach 0.999066 | ent_coef 0.00097 | elapsed 27.12s
iter 00007 | success 0.026 | cost 56.2 | energy 175.9 | actor_loss 0.21668 | energy_loss 26.15995 | reach_loss 236840.22305 | entropy 2.1666 | gamma_reach 0.999079 | ent_coef 0.00096 | elapsed 27.40s
iter 00008 | success 0.027 | cost 54.5 | energy 189.5 | actor_loss 0.25577 | energy_loss 204.82607 | reach_loss 246531.72500 | entropy 2.1562 | gamma_reach 0.999092 | ent_coef 0.00095 | elapsed 27.42s
iter 00009 | success 0.039 | cost 55.2 | energy 192.5 | actor_loss 0.31749 | energy_loss 81.76599 | reach_loss 210806.67188 | entropy 2.1546 | gamma_reach 0.999106 | ent_coef 0.00095 | elapsed 27.32s
iter 00010 | success 0.049 | cost 68.7 | energy 233.1 | actor_loss 0.26715 | energy_loss 41.49378 | reach_loss 177382.38027 | entropy 2.1622 | gamma_reach 0.999119 | ent_coef 0.00094 | elapsed 27.46s
debug 00010 | std_mean 0.4978 | std_min 0.4941 | std_max 0.5000 | done_mean 0.9619 | energy_min_ratio 0.3774 | energy_neg_ratio 0.7013 | e_cons [4.470e+00, 8.000e+00] | first_emin_step 125.14 | act_clip_ratio 0.4169 | act_abs [1.421e+00, 8.424e+00] | act_mean_abs [1.281e+00, 7.205e+00] | act_mean_clip_ratio 0.3924 | clipped_act_abs [6.567e-01, 1.000e+00] | init_energy [-3.994e+02, 1.985e+02, 7.998e+02] | v_reach [-1.681e+03, 9.835e+02] | t_reach [-1.563e+03, 1.705e+03] | reach_clip_ratio 0.0000 | open_ratio 0.0381 | t_done [-3.000e+02, 1.705e+03] | t_open [-1.563e+03, 7.834e+02] | v_open [-1.667e+03, 9.414e+02] | tmin_src done 0 t 199 v -1.556e+03 next_v -1.564e+03 g 2.357e+01 h -3.000e+02 energy -2.242e+02 | adv_total_std 2.530e+02 | adv_open_std 1.837e+02
iter 00011 | success 0.065 | cost 60.3 | energy 221.5 | actor_loss 0.23815 | energy_loss 75.98104 | reach_loss 261157.82910 | entropy 2.1648 | gamma_reach 0.999132 | ent_coef 0.00093 | elapsed 27.54s
iter 00012 | success 0.061 | cost 62.4 | energy 249.6 | actor_loss 0.28863 | energy_loss 61.97921 | reach_loss 385716.30078 | entropy 2.1657 | gamma_reach 0.999145 | ent_coef 0.00093 | elapsed 27.40s
iter 00013 | success 0.036 | cost 58.3 | energy 237.7 | actor_loss 0.36728 | energy_loss 25.74914 | reach_loss 475884.48047 | entropy 2.1692 | gamma_reach 0.999158 | ent_coef 0.00092 | elapsed 27.49s
iter 00014 | success 0.028 | cost 36.7 | energy 166.6 | actor_loss 0.34164 | energy_loss 39.21609 | reach_loss 468401.60352 | entropy 2.1751 | gamma_reach 0.999172 | ent_coef 0.00091 | elapsed 27.19s
iter 00015 | success 0.026 | cost 41.9 | energy 227.9 | actor_loss 0.33422 | energy_loss 40.24123 | reach_loss 463329.67656 | entropy 2.1774 | gamma_reach 0.999185 | ent_coef 0.00091 | elapsed 27.13s
iter 00016 | success 0.028 | cost 42.4 | energy 228.9 | actor_loss 0.32762 | energy_loss 78.82213 | reach_loss 515441.69961 | entropy 2.1774 | gamma_reach 0.999198 | ent_coef 0.00090 | elapsed 27.31s
iter 00017 | success 0.023 | cost 42.6 | energy 210.4 | actor_loss 0.32358 | energy_loss 217.04228 | reach_loss 509614.12266 | entropy 2.1774 | gamma_reach 0.999211 | ent_coef 0.00089 | elapsed 27.67s
iter 00018 | success 0.028 | cost 44.4 | energy 234.9 | actor_loss 0.32383 | energy_loss 376.85905 | reach_loss 540422.19531 | entropy 2.1774 | gamma_reach 0.999224 | ent_coef 0.00089 | elapsed 27.70s
iter 00019 | success 0.028 | cost 57.6 | energy 271.7 | actor_loss 0.31812 | energy_loss 270.97195 | reach_loss 554186.50078 | entropy 2.1774 | gamma_reach 0.999238 | ent_coef 0.00088 | elapsed 27.74s
