iter 00029 | success 0.000 | cost 0.0 | energy 0.0 | actor_loss -0.06220 | energy_loss 345.28608 | reach_loss 76032.20811 | entropy 4.2568 | gamma_reach 0.999990 | ent_coef 0.01000 | elapsed 15.34s
iter 00030 | success 0.016 | cost 63.0 | energy 230.6 | actor_loss -0.07352 | energy_loss 238.11593 | reach_loss 93560.29717 | entropy 4.2568 | gamma_reach 0.999990 | ent_coef 0.01000 | elapsed 15.37s
iter 00031 | success 0.000 | cost 0.0 | energy 0.0 | actor_loss -0.06094 | energy_loss 374.60640 | reach_loss 89286.15850 | entropy 4.2568 | gamma_reach 0.999990 | ent_coef 0.01000 | elapsed 15.38s
iter 00032 | success 0.016 | cost 114.0 | energy 170.3 | actor_loss -0.06730 | energy_loss 323.18907 | reach_loss 86777.31367 | entropy 4.2568 | gamma_reach 0.999990 | ent_coef 0.01000 | elapsed 15.39s
iter 00033 | success 0.000 | cost 0.0 | energy 0.0 | actor_loss -0.07679 | energy_loss 338.26370 | reach_loss 92491.51094 | entropy 4.2568 | gamma_reach 0.999990 | ent_coef 0.01000 | elapsed 15.42s
iter 00034 | success 0.031 | cost 136.0 | energy 264.2 | actor_loss -0.07037 | energy_loss 297.84841 | reach_loss 76064.61709 | entropy 4.2568 | gamma_reach 0.999990 | ent_coef 0.01000 | elapsed 15.36s
iter 00035 | success 0.000 | cost 0.0 | energy 0.0 | actor_loss -0.06911 | energy_loss 220.70192 | reach_loss 102976.58057 | entropy 4.2568 | gamma_reach 0.999990 | ent_coef 0.01000 | elapsed 15.32s
iter 00036 | success 0.000 | cost 0.0 | energy 0.0 | actor_loss -0.06417 | energy_loss 399.28347 | reach_loss 83008.38232 | entropy 4.2568 | gamma_reach 0.999990 | ent_coef 0.01000 | elapsed 15.33s
iter 00037 | success 0.000 | cost 0.0 | energy 0.0 | actor_loss -0.06875 | energy_loss 342.61680 | reach_loss 82606.31494 | entropy 4.2568 | gamma_reach 0.999990 | ent_coef 0.01000 | elapsed 15.32s
iter 00038 | success 0.047 | cost 0.0 | energy 0.0 | actor_loss -0.05418 | energy_loss 345.62894 | reach_loss 79034.84590 | entropy 4.2568 | gamma_reach 0.999990 | ent_coef 0.01000 | elapsed 15.26s
iter 00039 | success 0.047 | cost 74.0 | energy 316.2 | actor_loss -0.06732 | energy_loss 379.35325 | reach_loss 86780.13525 | entropy 4.2568 | gamma_reach 0.999990 | ent_coef 0.01000 | elapsed 15.21s
iter 00040 | success 0.000 | cost 0.0 | energy 0.0 | actor_loss -0.07538 | energy_loss 320.74686 | reach_loss 82078.10469 | entropy 4.2568 | gamma_reach 0.999990 | ent_coef 0.01000 | elapsed 15.27s
iter 00041 | success 0.031 | cost 114.0 | energy 242.2 | actor_loss -0.06219 | energy_loss 372.98005 | reach_loss 66183.07822 | entropy 4.2568 | gamma_reach 0.999990 | ent_coef 0.01000 | elapsed 15.30s
iter 00042 | success 0.047 | cost 59.0 | energy 176.3 | actor_loss -0.06915 | energy_loss 283.76604 | reach_loss 91472.53496 | entropy 4.2568 | gamma_reach 0.999990 | ent_coef 0.01000 | elapsed 15.29s
iter 00043 | success 0.000 | cost 0.0 | energy 0.0 | actor_loss -0.05960 | energy_loss 352.64954 | reach_loss 75680.19531 | entropy 4.2568 | gamma_reach 0.999990 | ent_coef 0.01000 | elapsed 15.30s
iter 00044 | success 0.031 | cost 109.0 | energy 345.8 | actor_loss -0.05890 | energy_loss 402.40787 | reach_loss 73340.54277 | entropy 4.2568 | gamma_reach 0.999990 | ent_coef 0.01000 | elapsed 15.30s
iter 00045 | success 0.016 | cost 156.0 | energy 700.0 | actor_loss -0.06599 | energy_loss 447.38214 | reach_loss 65205.28721 | entropy 4.2568 | gamma_reach 0.999990 | ent_coef 0.01000 | elapsed 15.28s
iter 00046 | success 0.016 | cost 192.0 | energy 425.6 | actor_loss -0.06611 | energy_loss 411.36800 | reach_loss 86765.63887 | entropy 4.2568 | gamma_reach 0.999990 | ent_coef 0.01000 | elapsed 15.56s
iter 00047 | success 0.000 | cost 0.0 | energy 0.0 | actor_loss -0.05928 | energy_loss 338.26535 | reach_loss 73806.30469 | entropy 4.2568 | gamma_reach 0.999990 | ent_coef 0.01000 | elapsed 15.47s
iter 00048 | success 0.031 | cost 148.0 | energy 64.0 | actor_loss -0.06235 | energy_loss 561.98143 | reach_loss 74724.02559 | entropy 4.2568 | gamma_reach 0.999990 | ent_coef 0.01000 | elapsed 15.56s
iter 00049 | success 0.047 | cost 83.0 | energy 211.8 | actor_loss -0.06628 | energy_loss 424.69482 | reach_loss 80206.23428 | entropy 4.2568 | gamma_reach 0.999990 | ent_coef 0.01000 | elapsed 14.68s
iter 00050 | success 0.000 | cost 0.0 | energy 0.0 | actor_loss -0.06146 | energy_loss 359.66232 | reach_loss 83428.83799 | entropy 4.2568 | gamma_reach 0.999990 | ent_coef 0.01000 | elapsed 15.20s
