iter 00001 | success 0.009 | cost 29.5 | energy 58.7 | actor_loss -0.08328 | energy_loss 375.02378 | reach_loss 83109.10186 | entropy 4.2568 | gamma_reach 0.999000 | ent_coef 0.01000 | elapsed 23.06s
iter 00002 | success 0.006 | cost 46.8 | energy 165.4 | actor_loss -0.09790 | energy_loss 356.33875 | reach_loss 84079.15947 | entropy 4.2568 | gamma_reach 0.999001 | ent_coef 0.01000 | elapsed 21.85s
iter 00003 | success 0.011 | cost 34.5 | energy 109.6 | actor_loss -0.10158 | energy_loss 273.37332 | reach_loss 91674.53594 | entropy 4.2568 | gamma_reach 0.999003 | ent_coef 0.01000 | elapsed 22.66s
iter 00004 | success 0.014 | cost 57.2 | energy 294.6 | actor_loss -0.09031 | energy_loss 306.18547 | reach_loss 91852.32812 | entropy 4.2568 | gamma_reach 0.999004 | ent_coef 0.01000 | elapsed 27.56s
iter 00005 | success 0.021 | cost 70.1 | energy 288.0 | actor_loss -0.08542 | energy_loss 445.17664 | reach_loss 89902.67432 | entropy 4.2568 | gamma_reach 0.999005 | ent_coef 0.01000 | elapsed 26.71s
iter 00006 | success 0.024 | cost 83.9 | energy 390.6 | actor_loss -0.06700 | energy_loss 966.58705 | reach_loss 86848.67539 | entropy 4.2568 | gamma_reach 0.999007 | ent_coef 0.01000 | elapsed 27.02s
iter 00007 | success 0.035 | cost 74.6 | energy 449.1 | actor_loss -0.06900 | energy_loss 1636.87681 | reach_loss 85755.88604 | entropy 4.2568 | gamma_reach 0.999008 | ent_coef 0.01000 | elapsed 27.60s
iter 00008 | success 0.034 | cost 50.7 | energy 407.9 | actor_loss -0.08455 | energy_loss 922.41335 | reach_loss 89588.83730 | entropy 4.2568 | gamma_reach 0.999009 | ent_coef 0.01000 | elapsed 28.02s
iter 00009 | success 0.024 | cost 44.4 | energy 402.7 | actor_loss -0.07861 | energy_loss 969.00805 | reach_loss 93116.93174 | entropy 4.2568 | gamma_reach 0.999011 | ent_coef 0.01000 | elapsed 28.00s
iter 00010 | success 0.026 | cost 44.0 | energy 381.7 | actor_loss -0.07502 | energy_loss 704.66712 | reach_loss 98359.88174 | entropy 4.2568 | gamma_reach 0.999012 | ent_coef 0.01000 | elapsed 27.84s
iter 00011 | success 0.013 | cost 41.5 | energy 405.2 | actor_loss -0.06987 | energy_loss 1230.74057 | reach_loss 87849.69824 | entropy 4.2568 | gamma_reach 0.999013 | ent_coef 0.01000 | elapsed 24.66s
iter 00012 | success 0.013 | cost 50.3 | energy 293.6 | actor_loss -0.07795 | energy_loss 773.07064 | reach_loss 88529.44570 | entropy 4.2568 | gamma_reach 0.999015 | ent_coef 0.01000 | elapsed 26.84s
