iter 00001 | success 0.011 | cost 43.9 | energy 69.9 | actor_loss 0.01973 | energy_loss 90.48900 | reach_loss 70877.43232 | entropy 2.1770 | gamma_reach 0.999000 | ent_coef 0.00100 | elapsed 26.35s
iter 00002 | success 0.009 | cost 60.7 | energy 86.2 | actor_loss 0.00002 | energy_loss 0.94776 | reach_loss 70542.96611 | entropy 2.1760 | gamma_reach 0.999013 | ent_coef 0.00099 | elapsed 26.56s
iter 00003 | success 0.012 | cost 57.5 | energy 94.3 | actor_loss 0.00027 | energy_loss 1.01448 | reach_loss 75971.69951 | entropy 2.1713 | gamma_reach 0.999026 | ent_coef 0.00099 | elapsed 26.55s
iter 00004 | success 0.016 | cost 43.2 | energy 77.5 | actor_loss 0.01712 | energy_loss 4.25864 | reach_loss 107263.91719 | entropy 2.1621 | gamma_reach 0.999040 | ent_coef 0.00098 | elapsed 26.38s
iter 00005 | success 0.014 | cost 60.4 | energy 105.0 | actor_loss 0.05322 | energy_loss 10.47837 | reach_loss 473804.25781 | entropy 2.1595 | gamma_reach 0.999053 | ent_coef 0.00097 | elapsed 26.65s
iter 00006 | success 0.027 | cost 56.5 | energy 116.0 | actor_loss 0.18216 | energy_loss 25.09285 | reach_loss 4708247.14375 | entropy 2.1595 | gamma_reach 0.999066 | ent_coef 0.00097 | elapsed 26.89s
iter 00007 | success 0.039 | cost 71.0 | energy 184.3 | actor_loss 0.18851 | energy_loss 14.69594 | reach_loss 44052944.45000 | entropy 2.1638 | gamma_reach 0.999079 | ent_coef 0.00096 | elapsed 27.15s
iter 00008 | success 0.065 | cost 100.8 | energy 294.7 | actor_loss 0.20907 | energy_loss 16.85459 | reach_loss 89316908.70000 | entropy 2.1643 | gamma_reach 0.999092 | ent_coef 0.00095 | elapsed 27.20s
iter 00009 | success 0.101 | cost 93.1 | energy 304.4 | actor_loss 0.26806 | energy_loss 6.16735 | reach_loss 106769569.10000 | entropy 2.1671 | gamma_reach 0.999106 | ent_coef 0.00095 | elapsed 27.35s
iter 00010 | success 0.116 | cost 83.8 | energy 289.8 | actor_loss 0.24185 | energy_loss 3.02217 | reach_loss 87041150.70000 | entropy 2.1722 | gamma_reach 0.999119 | ent_coef 0.00094 | elapsed 27.44s
debug 00010 | std_mean 0.4994 | std_min 0.4985 | std_max 0.5000 | done_mean 0.9429 | energy_min_ratio 0.3577 | energy_neg_ratio 0.6894 | e_cons [4.222e+00, 8.000e+00] | first_emin_step 129.09 | act_clip_ratio 0.3841 | act_abs [1.553e+00, 8.755e+00] | act_mean_abs [1.411e+00, 7.465e+00] | act_mean_clip_ratio 0.3215 | clipped_act_abs [6.318e-01, 1.000e+00] | init_energy [-3.999e+02, 1.929e+02, 7.996e+02] | v_reach [-4.560e+04, 1.424e+03] | t_reach [-4.996e+03, 1.715e+03] | reach_clip_ratio 0.3132 | open_ratio 0.0571 | t_done [-3.000e+02, 1.715e+03] | t_open [-4.996e+03, 7.798e+02] | v_open [-4.507e+04, 1.416e+03] | tmin_src done 0 t 199 v 5.579e+02 next_v -5.000e+03 g -3.000e+02 h -3.000e+02 energy -4.000e+02 | adv_total_std 3.265e+02 | adv_open_std 1.995e+02
