iter 00001 | success 0.019 | cost 39.0 | energy 323.1 | actor_loss 0.24283 | energy_loss 600.81527 | reach_loss 96779.71123 | entropy 4.2568 | gamma_reach 0.999000 | ent_coef 0.01000 | elapsed 16.35s
iter 00002 | success 0.018 | cost 51.1 | energy 408.0 | actor_loss 0.00444 | energy_loss 376.22879 | reach_loss 95207.87021 | entropy 4.2568 | gamma_reach 0.999016 | ent_coef 0.01000 | elapsed 15.41s
iter 00003 | success 0.017 | cost 49.7 | energy 361.0 | actor_loss 0.00615 | energy_loss 372.68419 | reach_loss 98108.85254 | entropy 4.2568 | gamma_reach 0.999033 | ent_coef 0.01000 | elapsed 16.53s
iter 00004 | success 0.025 | cost 51.9 | energy 364.7 | actor_loss 0.00140 | energy_loss 316.30954 | reach_loss 92050.74111 | entropy 4.2568 | gamma_reach 0.999050 | ent_coef 0.01000 | elapsed 15.83s
iter 00005 | success 0.017 | cost 63.8 | energy 618.1 | actor_loss -0.00202 | energy_loss 370.52684 | reach_loss 97167.76191 | entropy 4.2568 | gamma_reach 0.999066 | ent_coef 0.01000 | elapsed 15.52s
iter 00006 | success 0.018 | cost 87.4 | energy 464.4 | actor_loss -0.02685 | energy_loss 330.39472 | reach_loss 94041.45527 | entropy 4.2568 | gamma_reach 0.999082 | ent_coef 0.01000 | elapsed 15.34s
iter 00007 | success 0.019 | cost 36.9 | energy 406.3 | actor_loss -0.04368 | energy_loss 296.67200 | reach_loss 95499.69854 | entropy 4.2568 | gamma_reach 0.999099 | ent_coef 0.01000 | elapsed 15.20s
iter 00008 | success 0.020 | cost 36.0 | energy 263.1 | actor_loss -0.04058 | energy_loss 240.45256 | reach_loss 97953.49629 | entropy 4.2568 | gamma_reach 0.999116 | ent_coef 0.01000 | elapsed 15.74s
iter 00009 | success 0.009 | cost 50.8 | energy 540.1 | actor_loss -0.05756 | energy_loss 282.95313 | reach_loss 90824.37139 | entropy 4.2568 | gamma_reach 0.999132 | ent_coef 0.01000 | elapsed 16.42s
iter 00010 | success 0.015 | cost 29.0 | energy 261.1 | actor_loss -0.05816 | energy_loss 207.68715 | reach_loss 66448.01245 | entropy 4.2568 | gamma_reach 0.999148 | ent_coef 0.01000 | elapsed 15.96s
iter 00011 | success 0.007 | cost 48.1 | energy 256.7 | actor_loss -0.01972 | energy_loss 154.46140 | reach_loss 58588.70269 | entropy 4.2568 | gamma_reach 0.999165 | ent_coef 0.01000 | elapsed 16.47s
iter 00012 | success 0.020 | cost 73.4 | energy 547.6 | actor_loss 0.01236 | energy_loss 162.11380 | reach_loss 37031.21089 | entropy 4.2568 | gamma_reach 0.999182 | ent_coef 0.01000 | elapsed 16.57s
iter 00013 | success 0.020 | cost 66.2 | energy 385.4 | actor_loss -0.02238 | energy_loss 151.40096 | reach_loss 23873.36790 | entropy 4.2568 | gamma_reach 0.999198 | ent_coef 0.01000 | elapsed 15.24s
iter 00014 | success 0.024 | cost 66.5 | energy 540.6 | actor_loss -0.07169 | energy_loss 165.27894 | reach_loss 14305.45966 | entropy 4.2568 | gamma_reach 0.999215 | ent_coef 0.01000 | elapsed 16.05s
iter 00015 | success 0.025 | cost 42.2 | energy 414.9 | actor_loss -0.02114 | energy_loss 179.88393 | reach_loss 7975.57645 | entropy 4.2568 | gamma_reach 0.999231 | ent_coef 0.01000 | elapsed 15.45s
iter 00016 | success 0.018 | cost 47.1 | energy 384.6 | actor_loss -0.00759 | energy_loss 151.14323 | reach_loss 6961.99177 | entropy 4.2568 | gamma_reach 0.999248 | ent_coef 0.01000 | elapsed 15.38s
iter 00017 | success 0.014 | cost 42.2 | energy 191.3 | actor_loss -0.01333 | energy_loss 182.32406 | reach_loss 14074.02836 | entropy 4.2568 | gamma_reach 0.999264 | ent_coef 0.01000 | elapsed 15.82s
iter 00018 | success 0.017 | cost 49.8 | energy 537.2 | actor_loss 0.04937 | energy_loss 167.88129 | reach_loss 4881.29524 | entropy 4.2568 | gamma_reach 0.999281 | ent_coef 0.01000 | elapsed 16.46s
iter 00019 | success 0.018 | cost 40.4 | energy 424.4 | actor_loss 0.01103 | energy_loss 137.48693 | reach_loss 4423.24581 | entropy 4.2568 | gamma_reach 0.999297 | ent_coef 0.01000 | elapsed 15.19s
iter 00020 | success 0.016 | cost 42.7 | energy 436.1 | actor_loss 0.00899 | energy_loss 149.02591 | reach_loss 4473.21590 | entropy 4.2568 | gamma_reach 0.999313 | ent_coef 0.01000 | elapsed 12.87s
iter 00021 | success 0.025 | cost 59.5 | energy 487.5 | actor_loss -0.03590 | energy_loss 149.63909 | reach_loss 5846.55320 | entropy 4.2568 | gamma_reach 0.999330 | ent_coef 0.01000 | elapsed 15.15s
iter 00022 | success 0.018 | cost 55.6 | energy 498.9 | actor_loss -0.03448 | energy_loss 112.94793 | reach_loss 4922.77223 | entropy 4.2568 | gamma_reach 0.999347 | ent_coef 0.01000 | elapsed 15.48s
iter 00023 | success 0.022 | cost 62.3 | energy 550.7 | actor_loss 0.00673 | energy_loss 106.50631 | reach_loss 2812.34139 | entropy 4.2568 | gamma_reach 0.999363 | ent_coef 0.01000 | elapsed 14.58s
iter 00024 | success 0.041 | cost 55.7 | energy 558.5 | actor_loss 0.02935 | energy_loss 107.37911 | reach_loss 3028.66629 | entropy 4.2568 | gamma_reach 0.999379 | ent_coef 0.01000 | elapsed 15.45s
iter 00025 | success 0.060 | cost 60.9 | energy 589.4 | actor_loss 0.00022 | energy_loss 126.83069 | reach_loss 3409.42483 | entropy 4.2568 | gamma_reach 0.999396 | ent_coef 0.01000 | elapsed 16.98s
iter 00026 | success 0.020 | cost 30.8 | energy 348.9 | actor_loss 0.12910 | energy_loss 103.74923 | reach_loss 2347.20946 | entropy 4.2568 | gamma_reach 0.999413 | ent_coef 0.01000 | elapsed 16.37s
iter 00027 | success 0.067 | cost 79.3 | energy 580.8 | actor_loss -0.01505 | energy_loss 100.11247 | reach_loss 5981.06252 | entropy 4.2568 | gamma_reach 0.999429 | ent_coef 0.01000 | elapsed 16.44s
iter 00028 | success 0.027 | cost 57.0 | energy 431.8 | actor_loss 0.02339 | energy_loss 120.04627 | reach_loss 5365.69300 | entropy 4.2568 | gamma_reach 0.999445 | ent_coef 0.01000 | elapsed 16.18s
iter 00029 | success 0.040 | cost 38.5 | energy 527.3 | actor_loss -0.01130 | energy_loss 116.82929 | reach_loss 4238.95074 | entropy 4.2568 | gamma_reach 0.999462 | ent_coef 0.01000 | elapsed 16.10s
iter 00030 | success 0.040 | cost 37.6 | energy 467.3 | actor_loss 0.11613 | energy_loss 115.21944 | reach_loss 5308.79318 | entropy 4.2568 | gamma_reach 0.999479 | ent_coef 0.01000 | elapsed 16.10s
iter 00031 | success 0.032 | cost 39.0 | energy 636.3 | actor_loss 0.01598 | energy_loss 117.74300 | reach_loss 4290.38007 | entropy 4.2568 | gamma_reach 0.999495 | ent_coef 0.01000 | elapsed 16.26s
iter 00032 | success 0.039 | cost 83.1 | energy 547.1 | actor_loss 0.06330 | energy_loss 118.30148 | reach_loss 1931.38225 | entropy 4.2568 | gamma_reach 0.999511 | ent_coef 0.01000 | elapsed 16.31s
iter 00033 | success 0.035 | cost 45.5 | energy 494.9 | actor_loss -0.02109 | energy_loss 121.25823 | reach_loss 2230.87717 | entropy 4.2568 | gamma_reach 0.999528 | ent_coef 0.01000 | elapsed 16.07s
iter 00034 | success 0.051 | cost 49.8 | energy 507.5 | actor_loss -0.02121 | energy_loss 123.40535 | reach_loss 2170.66837 | entropy 4.2568 | gamma_reach 0.999545 | ent_coef 0.01000 | elapsed 14.84s
iter 00035 | success 0.050 | cost 58.6 | energy 564.2 | actor_loss -0.02567 | energy_loss 156.00270 | reach_loss 2323.59053 | entropy 4.2568 | gamma_reach 0.999561 | ent_coef 0.01000 | elapsed 11.71s
iter 00036 | success 0.040 | cost 56.9 | energy 477.2 | actor_loss -0.02809 | energy_loss 162.99200 | reach_loss 2402.47268 | entropy 4.2568 | gamma_reach 0.999578 | ent_coef 0.01000 | elapsed 14.40s
iter 00037 | success 0.034 | cost 39.7 | energy 647.0 | actor_loss -0.00764 | energy_loss 160.12853 | reach_loss 2371.44384 | entropy 4.2568 | gamma_reach 0.999594 | ent_coef 0.01000 | elapsed 14.15s
iter 00038 | success 0.036 | cost 45.7 | energy 593.5 | actor_loss 0.09213 | energy_loss 70.35326 | reach_loss 4247.32014 | entropy 4.2568 | gamma_reach 0.999611 | ent_coef 0.01000 | elapsed 13.41s
iter 00039 | success 0.040 | cost 28.1 | energy 512.2 | actor_loss -0.02390 | energy_loss 154.46832 | reach_loss 2897.10247 | entropy 4.2568 | gamma_reach 0.999627 | ent_coef 0.01000 | elapsed 15.54s
iter 00040 | success 0.026 | cost 27.3 | energy 396.4 | actor_loss -0.00150 | energy_loss 165.72804 | reach_loss 2482.69560 | entropy 4.2568 | gamma_reach 0.999644 | ent_coef 0.01000 | elapsed 15.77s
iter 00041 | success 0.020 | cost 58.2 | energy 447.4 | actor_loss -0.03309 | energy_loss 126.72568 | reach_loss 8490.14599 | entropy 4.2568 | gamma_reach 0.999660 | ent_coef 0.01000 | elapsed 16.14s
iter 00042 | success 0.011 | cost 26.5 | energy 245.1 | actor_loss -0.03880 | energy_loss 126.51813 | reach_loss 4287.23829 | entropy 4.2568 | gamma_reach 0.999677 | ent_coef 0.01000 | elapsed 15.02s
iter 00043 | success 0.015 | cost 40.1 | energy 340.7 | actor_loss -0.03936 | energy_loss 125.12727 | reach_loss 4269.19704 | entropy 4.2568 | gamma_reach 0.999693 | ent_coef 0.01000 | elapsed 16.49s
iter 00044 | success 0.021 | cost 53.9 | energy 366.6 | actor_loss -0.04564 | energy_loss 113.81166 | reach_loss 3935.17265 | entropy 4.2568 | gamma_reach 0.999710 | ent_coef 0.01000 | elapsed 16.31s
iter 00045 | success 0.026 | cost 81.7 | energy 560.0 | actor_loss -0.03723 | energy_loss 106.36838 | reach_loss 3270.23120 | entropy 4.2568 | gamma_reach 0.999726 | ent_coef 0.01000 | elapsed 16.40s
iter 00046 | success 0.026 | cost 73.2 | energy 488.2 | actor_loss 0.12857 | energy_loss 92.95426 | reach_loss 2337.28486 | entropy 4.2568 | gamma_reach 0.999742 | ent_coef 0.01000 | elapsed 15.77s
iter 00047 | success 0.032 | cost 51.8 | energy 599.4 | actor_loss 0.00016 | energy_loss 107.54477 | reach_loss 3651.55659 | entropy 4.2568 | gamma_reach 0.999759 | ent_coef 0.01000 | elapsed 16.82s
iter 00048 | success 0.033 | cost 41.5 | energy 559.4 | actor_loss -0.02264 | energy_loss 95.37352 | reach_loss 2965.64117 | entropy 4.2568 | gamma_reach 0.999776 | ent_coef 0.01000 | elapsed 16.25s
iter 00049 | success 0.021 | cost 60.3 | energy 535.9 | actor_loss 0.22664 | energy_loss 90.34769 | reach_loss 3308.03231 | entropy 4.2568 | gamma_reach 0.999792 | ent_coef 0.01000 | elapsed 16.49s
iter 00050 | success 0.020 | cost 51.2 | energy 454.3 | actor_loss 0.23833 | energy_loss 83.03533 | reach_loss 4117.95753 | entropy 4.2568 | gamma_reach 0.999808 | ent_coef 0.01000 | elapsed 14.95s
iter 00051 | success 0.031 | cost 36.3 | energy 455.0 | actor_loss 0.14134 | energy_loss 55.96736 | reach_loss 1938.07391 | entropy 4.2568 | gamma_reach 0.999825 | ent_coef 0.01000 | elapsed 15.54s
