iter 00001 | success 0.019 | cost 48.7 | energy 384.9 | actor_loss 0.34333 | energy_loss 538.55804 | reach_loss 98305.73486 | entropy 4.2568 | gamma_reach 0.999000 | ent_coef 0.01000 | elapsed 17.93s
iter 00002 | success 0.020 | cost 31.4 | energy 506.6 | actor_loss 0.09861 | energy_loss 233.97297 | reach_loss 104477.10078 | entropy 4.2568 | gamma_reach 0.999040 | ent_coef 0.01000 | elapsed 17.85s
iter 00003 | success 0.021 | cost 52.7 | energy 422.3 | actor_loss 0.03629 | energy_loss 189.89503 | reach_loss 108962.05654 | entropy 4.2568 | gamma_reach 0.999079 | ent_coef 0.01000 | elapsed 18.53s
iter 00004 | success 0.010 | cost 7.6 | energy 154.5 | actor_loss 0.08830 | energy_loss 106.13657 | reach_loss 147092.60684 | entropy 4.2568 | gamma_reach 0.999119 | ent_coef 0.01000 | elapsed 18.50s
iter 00005 | success 0.020 | cost 30.9 | energy 518.9 | actor_loss 0.02919 | energy_loss 88.04982 | reach_loss 183040.69473 | entropy 4.2568 | gamma_reach 0.999158 | ent_coef 0.01000 | elapsed 18.40s
iter 00006 | success 0.041 | cost 24.9 | energy 428.9 | actor_loss 0.03133 | energy_loss 93.15705 | reach_loss 179061.47539 | entropy 4.2568 | gamma_reach 0.999198 | ent_coef 0.01000 | elapsed 18.64s
iter 00007 | success 0.064 | cost 63.6 | energy 545.8 | actor_loss 0.05591 | energy_loss 101.43305 | reach_loss 139553.55938 | entropy 4.2568 | gamma_reach 0.999238 | ent_coef 0.01000 | elapsed 18.62s
iter 00008 | success 0.071 | cost 56.5 | energy 554.5 | actor_loss 0.14721 | energy_loss 72.90719 | reach_loss 116501.89033 | entropy 4.2568 | gamma_reach 0.999277 | ent_coef 0.01000 | elapsed 18.87s
iter 00009 | success 0.080 | cost 81.1 | energy 592.8 | actor_loss 0.11365 | energy_loss 69.45845 | reach_loss 109604.87822 | entropy 4.2568 | gamma_reach 0.999317 | ent_coef 0.01000 | elapsed 18.99s
iter 00010 | success 0.081 | cost 80.7 | energy 552.0 | actor_loss 0.15661 | energy_loss 68.38525 | reach_loss 102480.74863 | entropy 4.2568 | gamma_reach 0.999356 | ent_coef 0.01000 | elapsed 19.01s
iter 00011 | success 0.038 | cost 39.8 | energy 466.5 | actor_loss 0.15466 | energy_loss 70.63975 | reach_loss 115211.51074 | entropy 4.2568 | gamma_reach 0.999396 | ent_coef 0.01000 | elapsed 18.77s
iter 00012 | success 0.021 | cost 37.4 | energy 556.2 | actor_loss 0.17433 | energy_loss 78.82720 | reach_loss 113051.89043 | entropy 4.2568 | gamma_reach 0.999436 | ent_coef 0.01000 | elapsed 18.60s
iter 00013 | success 0.026 | cost 16.9 | energy 430.4 | actor_loss 0.19567 | energy_loss 71.73693 | reach_loss 101728.22256 | entropy 4.2568 | gamma_reach 0.999475 | ent_coef 0.01000 | elapsed 18.14s
iter 00014 | success 0.022 | cost 37.6 | energy 523.7 | actor_loss 0.19483 | energy_loss 67.33737 | reach_loss 97964.89521 | entropy 4.2568 | gamma_reach 0.999515 | ent_coef 0.01000 | elapsed 18.52s
iter 00015 | success 0.032 | cost 14.5 | energy 403.6 | actor_loss 0.29749 | energy_loss 79.83016 | reach_loss 87200.04980 | entropy 4.2568 | gamma_reach 0.999554 | ent_coef 0.01000 | elapsed 18.53s
iter 00016 | success 0.051 | cost 37.6 | energy 560.3 | actor_loss 0.21425 | energy_loss 112.44186 | reach_loss 79273.04736 | entropy 4.2568 | gamma_reach 0.999594 | ent_coef 0.01000 | elapsed 18.61s
iter 00017 | success 0.048 | cost 38.6 | energy 455.9 | actor_loss 0.22730 | energy_loss 234.75837 | reach_loss 103439.25420 | entropy 4.2568 | gamma_reach 0.999634 | ent_coef 0.01000 | elapsed 18.39s
iter 00018 | success 0.036 | cost 52.2 | energy 498.8 | actor_loss 0.21864 | energy_loss 428.06614 | reach_loss 94926.67861 | entropy 4.2568 | gamma_reach 0.999673 | ent_coef 0.01000 | elapsed 18.49s
iter 00019 | success 0.038 | cost 43.5 | energy 497.6 | actor_loss 0.18651 | energy_loss 607.94091 | reach_loss 93355.43213 | entropy 4.2568 | gamma_reach 0.999713 | ent_coef 0.01000 | elapsed 18.50s
