iter 00027 | success 0.093 | cost 71.5 | energy 565.4 | actor_loss 0.33425 | energy_loss 1.43344 | reach_loss 26035297.12500 | entropy 4.2568 | gamma_reach 0.999034 | ent_coef 0.00098 | elapsed 28.55s
iter 00028 | success 0.043 | cost 63.5 | energy 497.1 | actor_loss 0.32955 | energy_loss 1.41728 | reach_loss 40538032.95000 | entropy 4.2568 | gamma_reach 0.999036 | ent_coef 0.00098 | elapsed 29.10s
iter 00029 | success 0.307 | cost 69.9 | energy 596.2 | actor_loss 0.32446 | energy_loss 1.55286 | reach_loss 60979953.80000 | entropy 4.2568 | gamma_reach 0.999037 | ent_coef 0.00098 | elapsed 29.54s
iter 00030 | success 0.271 | cost 77.5 | energy 575.4 | actor_loss 0.32678 | energy_loss 1.28983 | reach_loss 48003502.95000 | entropy 4.2568 | gamma_reach 0.999038 | ent_coef 0.00098 | elapsed 28.56s
debug 00030 | std_mean 1.0000 | std_min 1.0000 | std_max 1.0000 | done_mean 0.9938 | energy_min_ratio 0.9723 | energy_neg_ratio 0.9871 | v_reach [-3.401e+04, 1.516e+03] | t_reach [-1.866e+04, 9.716e+02] | adv_total_std 1.965e+02
iter 00031 | success 0.077 | cost 66.0 | energy 543.1 | actor_loss 0.32127 | energy_loss 1.28273 | reach_loss 68911307.80000 | entropy 4.2568 | gamma_reach 0.999040 | ent_coef 0.00098 | elapsed 28.39s
iter 00032 | success 0.136 | cost 99.3 | energy 566.1 | actor_loss 0.33270 | energy_loss 1.54346 | reach_loss 114606093.80000 | entropy 4.2568 | gamma_reach 0.999041 | ent_coef 0.00098 | elapsed 28.43s
iter 00033 | success 0.122 | cost 107.8 | energy 562.2 | actor_loss 0.31808 | energy_loss 1.30696 | reach_loss 157158087.60000 | entropy 4.2568 | gamma_reach 0.999042 | ent_coef 0.00098 | elapsed 28.52s
iter 00034 | success 0.168 | cost 98.4 | energy 554.3 | actor_loss 0.31940 | energy_loss 1.41034 | reach_loss 436083999.20000 | entropy 4.2568 | gamma_reach 0.999044 | ent_coef 0.00098 | elapsed 28.46s
iter 00035 | success 0.196 | cost 106.6 | energy 573.6 | actor_loss 0.29876 | energy_loss 1.06900 | reach_loss 801638734.40000 | entropy 4.2568 | gamma_reach 0.999045 | ent_coef 0.00098 | elapsed 28.35s
iter 00036 | success 0.182 | cost 105.1 | energy 596.1 | actor_loss 0.30373 | energy_loss 1.47003 | reach_loss 2544719836.80000 | entropy 4.2568 | gamma_reach 0.999046 | ent_coef 0.00098 | elapsed 28.95s
iter 00037 | success 0.168 | cost 102.3 | energy 593.0 | actor_loss 0.31091 | energy_loss 1.47083 | reach_loss 5859278259.20000 | entropy 4.2568 | gamma_reach 0.999048 | ent_coef 0.00098 | elapsed 28.35s
iter 00038 | success 0.167 | cost 98.4 | energy 578.9 | actor_loss 0.31259 | energy_loss 1.21305 | reach_loss 15509825459.20000 | entropy 4.2568 | gamma_reach 0.999049 | ent_coef 0.00098 | elapsed 28.38s
iter 00039 | success 0.179 | cost 106.2 | energy 577.5 | actor_loss 0.29660 | energy_loss 1.50680 | reach_loss 53171037030.40000 | entropy 4.2568 | gamma_reach 0.999050 | ent_coef 0.00097 | elapsed 28.36s
iter 00040 | success 0.188 | cost 110.5 | energy 585.4 | actor_loss 0.29084 | energy_loss 1.53656 | reach_loss 128340010803.20000 | entropy 4.2568 | gamma_reach 0.999051 | ent_coef 0.00097 | elapsed 28.26s
debug 00040 | std_mean 1.0000 | std_min 1.0000 | std_max 1.0000 | done_mean 0.9956 | energy_min_ratio 0.9726 | energy_neg_ratio 0.9873 | v_reach [-1.807e+06, 1.084e+03] | t_reach [-1.614e+06, 9.671e+02] | adv_total_std 1.200e+02
iter 00041 | success 0.197 | cost 108.4 | energy 592.6 | actor_loss 0.27950 | energy_loss 1.19707 | reach_loss 320894235852.79999 | entropy 4.2568 | gamma_reach 0.999053 | ent_coef 0.00097 | elapsed 28.69s
iter 00042 | success 0.189 | cost 105.3 | energy 561.8 | actor_loss 0.24180 | energy_loss 1.54232 | reach_loss 589431588454.40002 | entropy 4.2568 | gamma_reach 0.999054 | ent_coef 0.00097 | elapsed 28.49s
iter 00043 | success 0.189 | cost 111.5 | energy 583.1 | actor_loss 0.21897 | energy_loss 1.67827 | reach_loss 1190427317043.19995 | entropy 4.2568 | gamma_reach 0.999055 | ent_coef 0.00097 | elapsed 28.36s
iter 00044 | success 0.183 | cost 109.4 | energy 593.2 | actor_loss 0.18857 | energy_loss 1.35669 | reach_loss 2005676910182.39990 | entropy 4.2568 | gamma_reach 0.999057 | ent_coef 0.00097 | elapsed 28.42s
iter 00045 | success 0.190 | cost 105.8 | energy 567.5 | actor_loss 0.23351 | energy_loss 1.39503 | reach_loss 2938290375884.79980 | entropy 4.2568 | gamma_reach 0.999058 | ent_coef 0.00097 | elapsed 28.35s
iter 00046 | success 0.098 | cost 82.3 | energy 517.4 | actor_loss 0.23264 | energy_loss 1.54191 | reach_loss 3973390545715.20020 | entropy 4.2568 | gamma_reach 0.999059 | ent_coef 0.00097 | elapsed 28.73s
iter 00047 | success 0.097 | cost 80.1 | energy 566.3 | actor_loss 0.27355 | energy_loss 1.93777 | reach_loss 2970470367232.00000 | entropy 4.2568 | gamma_reach 0.999061 | ent_coef 0.00097 | elapsed 28.71s
iter 00048 | success 0.066 | cost 111.2 | energy 549.6 | actor_loss 0.27634 | energy_loss 2.18351 | reach_loss 2064527535308.80005 | entropy 4.2568 | gamma_reach 0.999062 | ent_coef 0.00097 | elapsed 28.61s
iter 00049 | success 0.109 | cost 105.7 | energy 568.0 | actor_loss 0.20799 | energy_loss 2.04096 | reach_loss 2291942031360.00000 | entropy 4.2568 | gamma_reach 0.999063 | ent_coef 0.00097 | elapsed 28.63s
iter 00050 | success 0.147 | cost 97.9 | energy 566.3 | actor_loss 0.22189 | energy_loss 1.85198 | reach_loss 2678301507584.00000 | entropy 4.2568 | gamma_reach 0.999065 | ent_coef 0.00097 | elapsed 29.07s
debug 00050 | std_mean 1.0000 | std_min 1.0000 | std_max 1.0000 | done_mean 0.9939 | energy_min_ratio 0.9722 | energy_neg_ratio 0.9870 | v_reach [-8.711e+06, 7.970e+02] | t_reach [-6.777e+06, 9.441e+02] | adv_total_std 8.146e+01
iter 00051 | success 0.041 | cost 40.7 | energy 544.2 | actor_loss 0.26328 | energy_loss 1.02479 | reach_loss 1114746927513.60010 | entropy 4.2568 | gamma_reach 0.999066 | ent_coef 0.00097 | elapsed 29.05s
iter 00052 | success 0.036 | cost 37.3 | energy 547.0 | actor_loss 0.32236 | energy_loss 0.56958 | reach_loss 1204690970214.39990 | entropy 4.2568 | gamma_reach 0.999067 | ent_coef 0.00097 | elapsed 29.04s
iter 00053 | success 0.037 | cost 37.0 | energy 446.0 | actor_loss 0.32684 | energy_loss 0.66511 | reach_loss 1307482195558.39990 | entropy 4.2568 | gamma_reach 0.999069 | ent_coef 0.00097 | elapsed 29.01s
iter 00054 | success 0.034 | cost 36.4 | energy 491.0 | actor_loss 0.32747 | energy_loss 2.37009 | reach_loss 1439878221004.80005 | entropy 4.2568 | gamma_reach 0.999070 | ent_coef 0.00096 | elapsed 29.01s
iter 00055 | success 0.037 | cost 39.6 | energy 517.3 | actor_loss 0.32617 | energy_loss 2.48535 | reach_loss 1589744562995.19995 | entropy 4.2568 | gamma_reach 0.999071 | ent_coef 0.00096 | elapsed 29.02s
iter 00056 | success 0.042 | cost 38.6 | energy 572.9 | actor_loss 0.32765 | energy_loss 1.91549 | reach_loss 1605537911603.19995 | entropy 4.2568 | gamma_reach 0.999073 | ent_coef 0.00096 | elapsed 28.99s
iter 00057 | success 0.028 | cost 30.9 | energy 489.5 | actor_loss 0.31829 | energy_loss 4.71953 | reach_loss 1302693149081.60010 | entropy 4.2568 | gamma_reach 0.999074 | ent_coef 0.00096 | elapsed 29.11s
iter 00058 | success 0.026 | cost 37.3 | energy 502.8 | actor_loss 0.32707 | energy_loss 3.85977 | reach_loss 1505113384550.39990 | entropy 4.2568 | gamma_reach 0.999075 | ent_coef 0.00096 | elapsed 29.31s
iter 00059 | success 0.028 | cost 31.9 | energy 477.0 | actor_loss 0.33335 | energy_loss 4.81808 | reach_loss 1417425061478.39990 | entropy 4.2568 | gamma_reach 0.999077 | ent_coef 0.00096 | elapsed 29.47s
iter 00060 | success 0.025 | cost 30.4 | energy 472.4 | actor_loss 0.32769 | energy_loss 12.27717 | reach_loss 1545457642700.80005 | entropy 4.2568 | gamma_reach 0.999078 | ent_coef 0.00096 | elapsed 29.53s
debug 00060 | std_mean 1.0000 | std_min 1.0000 | std_max 1.0000 | done_mean 0.9948 | energy_min_ratio 0.9728 | energy_neg_ratio 0.9873 | v_reach [-1.071e+07, 7.068e+03] | t_reach [-6.127e+06, 1.038e+03] | adv_total_std 1.202e+03
iter 00061 | success 0.028 | cost 26.8 | energy 467.8 | actor_loss 0.32700 | energy_loss 11.83974 | reach_loss 1592981880832.00000 | entropy 4.2568 | gamma_reach 0.999079 | ent_coef 0.00096 | elapsed 29.49s
iter 00062 | success 0.034 | cost 35.8 | energy 479.4 | actor_loss 0.32981 | energy_loss 11.87414 | reach_loss 1624652500172.80005 | entropy 4.2568 | gamma_reach 0.999081 | ent_coef 0.00096 | elapsed 29.46s
iter 00063 | success 0.029 | cost 32.2 | energy 525.3 | actor_loss 0.32996 | energy_loss 12.04702 | reach_loss 1903076098048.00000 | entropy 4.2568 | gamma_reach 0.999082 | ent_coef 0.00096 | elapsed 29.40s
