iter 00001 | success 0.062 | cost 0.0 | energy 42.2 | actor_loss 0.14126 | energy_loss 165.32961 | reach_loss 69339.34199 | entropy 2.1768 | gamma_reach 0.999000 | ent_coef 0.00100 | elapsed 12.77s
iter 00002 | success 0.000 | cost 0.0 | energy 0.0 | actor_loss 0.04889 | energy_loss 1.43752 | reach_loss 61654.04761 | entropy 2.2046 | gamma_reach 0.999040 | ent_coef 0.00098 | elapsed 14.44s
iter 00003 | success 0.000 | cost 0.0 | energy 0.0 | actor_loss 0.08283 | energy_loss 0.45824 | reach_loss 67606.72778 | entropy 2.2789 | gamma_reach 0.999079 | ent_coef 0.00096 | elapsed 14.61s
iter 00004 | success 0.188 | cost 65.0 | energy 510.6 | actor_loss 0.14289 | energy_loss 0.90526 | reach_loss 78715.33301 | entropy 2.3221 | gamma_reach 0.999119 | ent_coef 0.00094 | elapsed 14.62s
iter 00005 | success 0.188 | cost 64.7 | energy 839.6 | actor_loss 0.19071 | energy_loss 1.44948 | reach_loss 114100.33896 | entropy 2.3539 | gamma_reach 0.999158 | ent_coef 0.00092 | elapsed 14.69s
iter 00006 | success 0.000 | cost 0.0 | energy 0.0 | actor_loss 0.20313 | energy_loss 4.49959 | reach_loss 97014.89424 | entropy 2.4078 | gamma_reach 0.999198 | ent_coef 0.00090 | elapsed 14.76s
iter 00007 | success 0.000 | cost 0.0 | energy 0.0 | actor_loss 0.20166 | energy_loss 5.86984 | reach_loss 94776.05342 | entropy 2.4700 | gamma_reach 0.999238 | ent_coef 0.00088 | elapsed 14.80s
iter 00008 | success 0.062 | cost 30.0 | energy 985.2 | actor_loss 0.14809 | energy_loss 3.23982 | reach_loss 102666.11387 | entropy 2.5638 | gamma_reach 0.999277 | ent_coef 0.00086 | elapsed 14.86s
iter 00009 | success 0.062 | cost 0.0 | energy 58.0 | actor_loss 0.21160 | energy_loss 9.19346 | reach_loss 146217.35625 | entropy 2.6356 | gamma_reach 0.999317 | ent_coef 0.00084 | elapsed 14.84s
iter 00010 | success 0.000 | cost 0.0 | energy 0.0 | actor_loss 0.25545 | energy_loss 6.70564 | reach_loss 126421.35557 | entropy 2.6884 | gamma_reach 0.999356 | ent_coef 0.00082 | elapsed 14.95s
debug 00010 | std_mean 0.6003 | std_min 0.5530 | std_max 0.6600 | done_mean 0.9803 | energy_min_ratio 0.9646 | energy_neg_ratio 0.9869 | v_reach [-1.871e+02, 1.158e+02] | t_reach [-1.542e+02, 7.404e+02] | open_ratio 0.0197 | t_done [5.632e+01, 7.404e+02] | t_open [-1.542e+02, 6.698e+02] | v_open [-1.769e+02, 8.427e+01] | tmin_src done 0 t 199 v -1.698e+02 next_v -1.547e+02 g 6.083e+02 h -3.000e+02 energy -4.000e+02 | adv_total_std 1.120e+02 | adv_open_std 8.509e+01
iter 00011 | success 0.062 | cost 10.0 | energy 568.6 | actor_loss 0.24137 | energy_loss 9.76671 | reach_loss 163264.46660 | entropy 2.7426 | gamma_reach 0.999396 | ent_coef 0.00080 | elapsed 14.81s
iter 00012 | success 0.000 | cost 0.0 | energy 0.0 | actor_loss 0.14947 | energy_loss 5.73866 | reach_loss 118675.03076 | entropy 2.7547 | gamma_reach 0.999436 | ent_coef 0.00078 | elapsed 14.83s
iter 00013 | success 0.000 | cost 0.0 | energy 0.0 | actor_loss 0.19931 | energy_loss 5.33013 | reach_loss 101894.87031 | entropy 2.7680 | gamma_reach 0.999475 | ent_coef 0.00076 | elapsed 14.79s
iter 00014 | success 0.000 | cost 0.0 | energy 0.0 | actor_loss 0.11434 | energy_loss 12.55228 | reach_loss 109453.26523 | entropy 2.7715 | gamma_reach 0.999515 | ent_coef 0.00074 | elapsed 14.80s
iter 00015 | success 0.000 | cost 0.0 | energy 0.0 | actor_loss 0.21121 | energy_loss 7.15055 | reach_loss 118662.79814 | entropy 2.7761 | gamma_reach 0.999554 | ent_coef 0.00072 | elapsed 14.76s
iter 00016 | success 0.000 | cost 0.0 | energy 0.0 | actor_loss 0.22769 | energy_loss 1.36928 | reach_loss 128910.88711 | entropy 2.7795 | gamma_reach 0.999594 | ent_coef 0.00070 | elapsed 14.77s
iter 00017 | success 0.188 | cost 101.7 | energy 511.5 | actor_loss 0.10939 | energy_loss 0.52629 | reach_loss 105933.56309 | entropy 2.8280 | gamma_reach 0.999634 | ent_coef 0.00068 | elapsed 14.74s
iter 00018 | success 0.125 | cost 173.5 | energy 592.1 | actor_loss 0.09681 | energy_loss 0.33381 | reach_loss 68187.07676 | entropy 2.8810 | gamma_reach 0.999673 | ent_coef 0.00066 | elapsed 14.72s
iter 00019 | success 0.250 | cost 87.8 | energy 553.9 | actor_loss 0.07028 | energy_loss 1.13766 | reach_loss 78178.39199 | entropy 2.9114 | gamma_reach 0.999713 | ent_coef 0.00064 | elapsed 14.75s
iter 00020 | success 0.125 | cost 130.5 | energy 736.1 | actor_loss 0.12079 | energy_loss 1.10818 | reach_loss 61226.13350 | entropy 2.9285 | gamma_reach 0.999752 | ent_coef 0.00062 | elapsed 14.71s
debug 00020 | std_mean 0.6452 | std_min 0.5804 | std_max 0.6835 | done_mean 0.9981 | energy_min_ratio 0.9602 | energy_neg_ratio 0.9804 | v_reach [-3.653e+02, 1.104e+03] | t_reach [-3.018e+02, 1.124e+03] | open_ratio 0.0019 | t_done [-3.000e+02, 1.124e+03] | t_open [-3.018e+02, 6.474e+02] | v_open [-3.214e+02, 4.173e+02] | tmin_src done 0 t 187 v -3.100e+02 next_v -3.214e+02 g -3.000e+02 h -3.000e+02 energy -4.000e+02 | adv_total_std 1.353e+02 | adv_open_std 9.565e+01
iter 00021 | success 0.062 | cost 104.0 | energy 1072.6 | actor_loss 0.07410 | energy_loss 3.93630 | reach_loss 75556.86035 | entropy 2.9211 | gamma_reach 0.999792 | ent_coef 0.00060 | elapsed 14.78s
iter 00022 | success 0.000 | cost 0.0 | energy 0.0 | actor_loss 0.11440 | energy_loss 574.32452 | reach_loss 84649.35859 | entropy 2.9271 | gamma_reach 0.999832 | ent_coef 0.00058 | elapsed 14.78s
iter 00023 | success 0.062 | cost 85.0 | energy 289.5 | actor_loss 0.12910 | energy_loss 2.14362 | reach_loss 119846.98555 | entropy 2.9607 | gamma_reach 0.999871 | ent_coef 0.00056 | elapsed 14.83s
iter 00024 | success 0.125 | cost 87.5 | energy 554.9 | actor_loss 0.10610 | energy_loss 152.80026 | reach_loss 104792.46533 | entropy 2.9682 | gamma_reach 0.999911 | ent_coef 0.00054 | elapsed 14.94s
iter 00025 | success 0.125 | cost 125.5 | energy 338.0 | actor_loss 0.15858 | energy_loss 457.62914 | reach_loss 122490.08799 | entropy 2.9556 | gamma_reach 0.999950 | ent_coef 0.00052 | elapsed 14.95s
iter 00026 | success 0.125 | cost 77.5 | energy 538.4 | actor_loss 0.24392 | energy_loss 300.29776 | reach_loss 92727.19014 | entropy 3.0144 | gamma_reach 0.999990 | ent_coef 0.00050 | elapsed 15.07s
iter 00027 | success 0.062 | cost 46.0 | energy 649.6 | actor_loss 0.05440 | energy_loss 66.32603 | reach_loss 109026.80576 | entropy 3.0767 | gamma_reach 0.999990 | ent_coef 0.00048 | elapsed 14.94s
iter 00028 | success 0.125 | cost 66.5 | energy 250.2 | actor_loss 0.10428 | energy_loss 1155.17977 | reach_loss 90773.90410 | entropy 3.0522 | gamma_reach 0.999990 | ent_coef 0.00046 | elapsed 14.82s
iter 00029 | success 0.188 | cost 128.3 | energy 887.9 | actor_loss 0.07262 | energy_loss 133.34352 | reach_loss 92782.72217 | entropy 3.0078 | gamma_reach 0.999990 | ent_coef 0.00044 | elapsed 14.85s
iter 00030 | success 0.125 | cost 23.5 | energy 492.9 | actor_loss 0.21479 | energy_loss 3171.39811 | reach_loss 82817.95186 | entropy 3.0041 | gamma_reach 0.999990 | ent_coef 0.00042 | elapsed 14.88s
debug 00030 | std_mean 0.6640 | std_min 0.6102 | std_max 0.6988 | done_mean 0.9881 | energy_min_ratio 0.9670 | energy_neg_ratio 0.9851 | v_reach [-4.535e+02, 1.219e+03] | t_reach [-3.000e+02, 1.104e+03] | open_ratio 0.0119 | t_done [-3.000e+02, 1.104e+03] | t_open [3.076e+02, 7.311e+02] | v_open [-2.248e+02, 9.597e+02] | tmin_src done 1 t 0 v -3.955e+02 next_v -3.942e+02 g -3.000e+02 h -3.000e+02 energy -3.333e+02 | adv_total_std 1.914e+02 | adv_open_std 1.592e+02
iter 00031 | success 0.062 | cost 187.0 | energy 170.6 | actor_loss 0.30332 | energy_loss 15058.79037 | reach_loss 100499.13594 | entropy 3.0528 | gamma_reach 0.999990 | ent_coef 0.00040 | elapsed 14.87s
iter 00032 | success 0.125 | cost 48.0 | energy 679.7 | actor_loss 0.21336 | energy_loss 3054.30730 | reach_loss 61122.31494 | entropy 3.0906 | gamma_reach 0.999990 | ent_coef 0.00038 | elapsed 14.89s
iter 00033 | success 0.062 | cost 58.0 | energy 763.1 | actor_loss 0.21438 | energy_loss 2860.20472 | reach_loss 61032.08423 | entropy 3.1056 | gamma_reach 0.999990 | ent_coef 0.00036 | elapsed 14.88s
iter 00034 | success 0.000 | cost 0.0 | energy 0.0 | actor_loss 0.20601 | energy_loss 125.91272 | reach_loss 47403.13545 | entropy 3.1736 | gamma_reach 0.999990 | ent_coef 0.00034 | elapsed 14.89s
iter 00035 | success 0.000 | cost 0.0 | energy 0.0 | actor_loss 0.26475 | energy_loss 76.61766 | reach_loss 49261.71362 | entropy 3.3038 | gamma_reach 0.999990 | ent_coef 0.00032 | elapsed 14.87s
iter 00036 | success 0.125 | cost 46.5 | energy 86.2 | actor_loss 0.22377 | energy_loss 2221.71561 | reach_loss 49172.94546 | entropy 3.4396 | gamma_reach 0.999990 | ent_coef 0.00030 | elapsed 14.92s
iter 00037 | success 0.000 | cost 0.0 | energy 0.0 | actor_loss 0.21918 | energy_loss 11176.57666 | reach_loss 45959.32231 | entropy 3.5389 | gamma_reach 0.999990 | ent_coef 0.00028 | elapsed 14.90s
iter 00038 | success 0.000 | cost 0.0 | energy 0.0 | actor_loss 0.23000 | energy_loss 741.98370 | reach_loss 46376.62368 | entropy 3.6080 | gamma_reach 0.999990 | ent_coef 0.00026 | elapsed 14.92s
iter 00039 | success 0.375 | cost 91.7 | energy 733.7 | actor_loss 0.15404 | energy_loss 328.30987 | reach_loss 57633.74985 | entropy 3.6922 | gamma_reach 0.999990 | ent_coef 0.00024 | elapsed 14.93s
iter 00040 | success 0.000 | cost 0.0 | energy 0.0 | actor_loss 0.12073 | energy_loss 4.92307 | reach_loss 41409.20303 | entropy 3.7917 | gamma_reach 0.999990 | ent_coef 0.00022 | elapsed 14.82s
debug 00040 | std_mean 0.8688 | std_min 0.7953 | std_max 0.9385 | done_mean 0.9734 | energy_min_ratio 0.9614 | energy_neg_ratio 0.9804 | v_reach [-3.839e+02, 1.028e+03] | t_reach [4.718e+01, 7.681e+02] | open_ratio 0.0266 | t_done [4.718e+01, 7.681e+02] | t_open [8.524e+01, 5.273e+02] | v_open [-1.574e+02, 7.736e+02] | tmin_src done 1 t 188 v -2.078e+02 next_v -2.113e+02 g 4.718e+01 h -3.000e+02 energy -4.000e+02 | adv_total_std 1.136e+02 | adv_open_std 1.005e+02
iter 00041 | success 0.062 | cost 49.0 | energy 476.9 | actor_loss 0.13525 | energy_loss 139656.55156 | reach_loss 56057.24478 | entropy 3.8370 | gamma_reach 0.999990 | ent_coef 0.00020 | elapsed 14.92s
iter 00042 | success 0.250 | cost 84.8 | energy 574.4 | actor_loss 0.18759 | energy_loss 121122.55010 | reach_loss 61647.16084 | entropy 3.9223 | gamma_reach 0.999990 | ent_coef 0.00018 | elapsed 14.91s
iter 00043 | success 0.062 | cost 164.0 | energy 554.4 | actor_loss 0.24760 | energy_loss 242144.95762 | reach_loss 54434.80898 | entropy 4.0472 | gamma_reach 0.999990 | ent_coef 0.00016 | elapsed 14.85s
iter 00044 | success 0.062 | cost 19.0 | energy 788.9 | actor_loss 0.30350 | energy_loss 331583.65430 | reach_loss 61553.57773 | entropy 4.1025 | gamma_reach 0.999990 | ent_coef 0.00014 | elapsed 14.81s
iter 00045 | success 0.188 | cost 112.3 | energy 487.2 | actor_loss 0.18346 | energy_loss 194938.54141 | reach_loss 52481.57183 | entropy 4.1519 | gamma_reach 0.999990 | ent_coef 0.00012 | elapsed 14.83s
iter 00046 | success 0.188 | cost 95.3 | energy 833.1 | actor_loss 0.22358 | energy_loss 106979.03027 | reach_loss 41255.46890 | entropy 4.1712 | gamma_reach 0.999990 | ent_coef 0.00010 | elapsed 15.02s
iter 00047 | success 0.125 | cost 68.5 | energy 625.6 | actor_loss 0.23687 | energy_loss 105642.55781 | reach_loss 46067.54805 | entropy 4.1933 | gamma_reach 0.999990 | ent_coef 0.00008 | elapsed 14.93s
iter 00048 | success 0.375 | cost 95.0 | energy 701.6 | actor_loss 0.20451 | energy_loss 88356.47168 | reach_loss 42084.86899 | entropy 4.2088 | gamma_reach 0.999990 | ent_coef 0.00006 | elapsed 14.83s
iter 00049 | success 0.250 | cost 88.2 | energy 749.5 | actor_loss 0.15477 | energy_loss 38226.62229 | reach_loss 67906.72207 | entropy 4.2304 | gamma_reach 0.999990 | ent_coef 0.00004 | elapsed 14.85s
iter 00050 | success 0.125 | cost 14.0 | energy 80.5 | actor_loss 0.28503 | energy_loss 180442.18867 | reach_loss 75300.32705 | entropy 4.2433 | gamma_reach 0.999990 | ent_coef 0.00002 | elapsed 14.88s
debug 00050 | std_mean 0.9962 | std_min 0.9886 | std_max 1.0000 | done_mean 0.9625 | energy_min_ratio 0.9701 | energy_neg_ratio 0.9860 | v_reach [-4.933e+02, 1.670e+03] | t_reach [-3.000e+02, 1.138e+03] | open_ratio 0.0375 | t_done [-3.000e+02, 1.138e+03] | t_open [2.907e+02, 6.627e+02] | v_open [-1.360e+02, 1.384e+03] | tmin_src done 1 t 0 v -3.858e+02 next_v -3.418e+02 g -3.000e+02 h -3.000e+02 energy 4.493e+02 | adv_total_std 3.737e+02 | adv_open_std 2.764e+02
