debug 00020 | std_mean 0.4996 | std_min 0.4988 | std_max 0.5000 | done_mean 0.9734 | energy_min_ratio 0.5037 | energy_neg_ratio 0.7764 | e_cons [6.129e+00, 8.000e+00] | first_emin_step 99.75 | act_clip_ratio 0.6734 | act_abs [4.206e+00, 2.523e+01] | act_mean_abs [4.147e+00, 2.413e+01] | act_mean_clip_ratio 0.6565 | clipped_act_abs [8.210e-01, 1.000e+00] | init_energy [-3.998e+02, 2.017e+02, 7.994e+02] | v_reach [-2.772e+03, 2.102e+03] | t_reach [-2.503e+03, 1.868e+03] | reach_clip_ratio 0.0000 | open_ratio 0.0266 | t_done [-3.000e+02, 1.868e+03] | t_open [-2.503e+03, 7.899e+02] | v_open [-2.726e+03, 1.886e+03] | tmin_src done 0 t 199 v -2.479e+03 next_v -2.505e+03 g 2.854e+01 h -3.000e+02 energy -2.057e+02 | adv_total_std 5.067e+02 | adv_open_std 3.238e+02
iter 00021 | success 0.084 | cost 51.8 | energy 234.3 | actor_loss 0.35449 | energy_loss 704.13607 | reach_loss 678515.22813 | mean_bound_loss 2.13827 | entropy 2.1760 | gamma_reach 0.999198 | ent_coef 0.00090 | elapsed 28.08s
iter 00022 | success 0.090 | cost 71.7 | energy 293.5 | actor_loss 0.35941 | energy_loss 218.61109 | reach_loss 1163810.55937 | mean_bound_loss 2.46783 | entropy 2.1773 | gamma_reach 0.999208 | ent_coef 0.00089 | elapsed 28.05s
iter 00023 | success 0.066 | cost 55.2 | energy 256.9 | actor_loss 0.35262 | energy_loss 201.31046 | reach_loss 1385094.44531 | mean_bound_loss 2.47718 | entropy 2.1774 | gamma_reach 0.999218 | ent_coef 0.00089 | elapsed 28.43s
iter 00024 | success 0.094 | cost 88.1 | energy 326.5 | actor_loss 0.35064 | energy_loss 530.32016 | reach_loss 2119161.49219 | mean_bound_loss 1.62281 | entropy 2.1772 | gamma_reach 0.999228 | ent_coef 0.00088 | elapsed 28.23s
iter 00025 | success 0.071 | cost 83.4 | energy 317.0 | actor_loss 0.35518 | energy_loss 85.09035 | reach_loss 3082417.40625 | mean_bound_loss 1.44044 | entropy 2.1774 | gamma_reach 0.999238 | ent_coef 0.00088 | elapsed 28.31s
iter 00026 | success 0.095 | cost 96.2 | energy 355.0 | actor_loss 0.35001 | energy_loss 39.11809 | reach_loss 7140407.40625 | mean_bound_loss 1.02181 | entropy 2.1771 | gamma_reach 0.999248 | ent_coef 0.00088 | elapsed 28.02s
iter 00027 | success 0.072 | cost 88.4 | energy 316.0 | actor_loss 0.34477 | energy_loss 429.92311 | reach_loss 11621411.28750 | mean_bound_loss 1.61612 | entropy 2.1772 | gamma_reach 0.999257 | ent_coef 0.00087 | elapsed 28.91s
iter 00028 | success 0.107 | cost 97.1 | energy 361.5 | actor_loss 0.32901 | energy_loss 173.19466 | reach_loss 21551566.72500 | mean_bound_loss 1.37893 | entropy 2.1774 | gamma_reach 0.999267 | ent_coef 0.00087 | elapsed 28.07s
iter 00029 | success 0.088 | cost 97.8 | energy 366.4 | actor_loss 0.32095 | energy_loss 2189.31262 | reach_loss 25960979.60000 | mean_bound_loss 1.31995 | entropy 2.1774 | gamma_reach 0.999277 | ent_coef 0.00086 | elapsed 28.65s
