iter 00016 | success 0.048 | cost 71.4 | energy 320.1 | reach_rate 0.075 | safe_rate 0.223 | unsafe_before_reach 0.027 | no_reach 0.925 | actor_loss 0.33483 | energy_loss 67.46003 | reach_loss 390122.06992 | mean_bound_loss 0.54971 | entropy 2.1767 | gamma_reach 0.999148 | ent_coef 0.00093 | elapsed 27.28s
iter 00017 | success 0.039 | cost 55.7 | energy 254.7 | reach_rate 0.049 | safe_rate 0.197 | unsafe_before_reach 0.010 | no_reach 0.951 | actor_loss 0.33077 | energy_loss 76.79867 | reach_loss 397036.29922 | mean_bound_loss 0.53618 | entropy 2.1774 | gamma_reach 0.999158 | ent_coef 0.00092 | elapsed 27.70s
iter 00018 | success 0.032 | cost 55.9 | energy 234.9 | reach_rate 0.042 | safe_rate 0.186 | unsafe_before_reach 0.010 | no_reach 0.958 | actor_loss 0.34257 | energy_loss 76.33159 | reach_loss 430955.23242 | mean_bound_loss 0.60338 | entropy 2.1773 | gamma_reach 0.999168 | ent_coef 0.00092 | elapsed 27.63s
iter 00019 | success 0.027 | cost 36.6 | energy 183.3 | reach_rate 0.036 | safe_rate 0.159 | unsafe_before_reach 0.009 | no_reach 0.964 | actor_loss 0.35549 | energy_loss 74.02943 | reach_loss 464951.79805 | mean_bound_loss 0.94257 | entropy 2.1762 | gamma_reach 0.999178 | ent_coef 0.00091 | elapsed 27.83s
iter 00020 | success 0.018 | cost 31.2 | energy 172.8 | reach_rate 0.021 | safe_rate 0.135 | unsafe_before_reach 0.003 | no_reach 0.979 | actor_loss 0.34128 | energy_loss 32.33241 | reach_loss 464042.96445 | mean_bound_loss 0.75584 | entropy 2.1737 | gamma_reach 0.999188 | ent_coef 0.00090 | elapsed 28.04s
debug 00020 | std_mean 0.4994 | std_min 0.4981 | std_max 0.5000 | done_mean 0.9001 | energy_min_ratio 0.3761 | energy_neg_ratio 0.7027 | e_cons [4.417e+00, 8.000e+00] | first_emin_step 125.41 | act_clip_ratio 0.4058 | act_abs [1.390e+00, 8.541e+00] | act_mean_abs [1.263e+00, 7.610e+00] | act_mean_clip_ratio 0.3585 | clipped_act_abs [6.525e-01, 1.000e+00] | act_mean_abs_dim [2.982e+00, 5.162e-01, 2.900e-01] | act_mean_clip_dim [0.8953, 0.1791, 0.0012] | clipped_act_abs_dim [9.464e-01, 5.533e-01, 4.578e-01] | init_energy [-3.999e+02, 1.974e+02, 7.997e+02] | v_reach [-1.478e+03, 2.591e+03] | t_reach [-9.647e+02, 1.269e+03] | reach_clip_ratio 0.0000 | open_ratio 0.0999 | t_done [-3.000e+02, 1.269e+03] | t_open [-9.647e+02, 7.883e+02] | v_open [-1.478e+03, 2.377e+03] | tmin_src done 0 t 189 v -9.341e+02 next_v -9.588e+02 g 2.855e+02 h -3.000e+02 energy -6.438e+01 | adv_total_std 7.044e+02 | adv_open_std 5.641e+02
iter 00021 | success 0.022 | cost 38.4 | energy 209.4 | reach_rate 0.025 | safe_rate 0.153 | unsafe_before_reach 0.002 | no_reach 0.975 | actor_loss 0.35683 | energy_loss 104.32168 | reach_loss 457927.27930 | mean_bound_loss 0.54347 | entropy 2.1737 | gamma_reach 0.999198 | ent_coef 0.00090 | elapsed 28.26s
iter 00022 | success 0.028 | cost 45.5 | energy 228.6 | reach_rate 0.032 | safe_rate 0.111 | unsafe_before_reach 0.005 | no_reach 0.968 | actor_loss 0.36381 | energy_loss 110.91533 | reach_loss 462384.70586 | mean_bound_loss 0.35310 | entropy 2.1753 | gamma_reach 0.999208 | ent_coef 0.00089 | elapsed 27.97s
iter 00023 | success 0.050 | cost 67.1 | energy 309.6 | reach_rate 0.058 | safe_rate 0.093 | unsafe_before_reach 0.008 | no_reach 0.942 | actor_loss 0.37825 | energy_loss 163.43925 | reach_loss 598415.51328 | mean_bound_loss 0.78394 | entropy 2.1744 | gamma_reach 0.999218 | ent_coef 0.00089 | elapsed 27.43s
iter 00024 | success 0.046 | cost 70.9 | energy 310.8 | reach_rate 0.059 | safe_rate 0.112 | unsafe_before_reach 0.013 | no_reach 0.941 | actor_loss 0.36973 | energy_loss 121.80029 | reach_loss 589133.57578 | mean_bound_loss 0.61310 | entropy 2.1747 | gamma_reach 0.999228 | ent_coef 0.00088 | elapsed 27.81s
