iter 00001 | success 0.000 | cost 0.0 | energy 0.0 | actor_loss 0.30298 | energy_loss 143.37047 | reach_loss 108655.36211 | entropy 4.3311 | gamma_reach 0.999000 | ent_coef 0.01000 | elapsed 11.56s
iter 00002 | success 0.016 | cost 48.0 | energy 925.2 | actor_loss 0.14803 | energy_loss 0.62026 | reach_loss 93951.25361 | entropy 4.4482 | gamma_reach 0.999099 | ent_coef 0.01000 | elapsed 13.86s
iter 00003 | success 0.062 | cost 79.5 | energy 552.2 | actor_loss 0.02627 | energy_loss 0.63312 | reach_loss 96004.00117 | entropy 4.4666 | gamma_reach 0.999198 | ent_coef 0.01000 | elapsed 12.61s
iter 00004 | success 0.047 | cost 62.3 | energy 654.6 | actor_loss 0.06650 | energy_loss 1.29738 | reach_loss 99809.70605 | entropy 4.5017 | gamma_reach 0.999297 | ent_coef 0.01000 | elapsed 11.50s
iter 00005 | success 0.031 | cost 103.5 | energy 1002.2 | actor_loss 0.20688 | energy_loss 1.16787 | reach_loss 90718.81006 | entropy 4.5940 | gamma_reach 0.999396 | ent_coef 0.01000 | elapsed 13.85s
iter 00006 | success 0.031 | cost 98.5 | energy 497.8 | actor_loss 0.42958 | energy_loss 6.74622 | reach_loss 144062.75137 | entropy 4.7041 | gamma_reach 0.999495 | ent_coef 0.01000 | elapsed 14.38s
iter 00007 | success 0.000 | cost 0.0 | energy 0.0 | actor_loss 0.28951 | energy_loss 27.64767 | reach_loss 101794.97461 | entropy 4.7933 | gamma_reach 0.999594 | ent_coef 0.01000 | elapsed 13.62s
iter 00008 | success 0.016 | cost 0.0 | energy 115.6 | actor_loss 0.23833 | energy_loss 6.18593 | reach_loss 81294.49033 | entropy 4.8918 | gamma_reach 0.999693 | ent_coef 0.01000 | elapsed 13.50s
iter 00009 | success 0.016 | cost 23.0 | energy 503.2 | actor_loss 0.17041 | energy_loss 8.24367 | reach_loss 95053.28945 | entropy 4.9511 | gamma_reach 0.999792 | ent_coef 0.01000 | elapsed 15.39s
iter 00010 | success 0.188 | cost 63.4 | energy 463.7 | actor_loss 0.21813 | energy_loss 91.85668 | reach_loss 100375.52617 | entropy 4.9935 | gamma_reach 0.999891 | ent_coef 0.01000 | elapsed 12.46s
debug 00010 | std_mean 1.2842 | std_min 1.2683 | std_max 1.2940 | done_mean 0.9822 | energy_min_ratio 0.9679 | energy_neg_ratio 0.9855 | v_reach [-2.428e+02, 2.629e+01] | t_reach [-3.000e+02, 8.791e+02] | adv_total_std 1.062e+02
iter 00011 | success 0.016 | cost 19.0 | energy 839.1 | actor_loss 0.26297 | energy_loss 2.90891 | reach_loss 111237.16885 | entropy 5.0222 | gamma_reach 0.999990 | ent_coef 0.01000 | elapsed 13.75s
iter 00012 | success 0.031 | cost 37.0 | energy 88.9 | actor_loss 0.16466 | energy_loss 11.15927 | reach_loss 111909.12705 | entropy 5.0561 | gamma_reach 0.999990 | ent_coef 0.01000 | elapsed 12.59s
iter 00013 | success 0.109 | cost 103.9 | energy 500.2 | actor_loss 0.07375 | energy_loss 429.83072 | reach_loss 103296.02158 | entropy 5.0703 | gamma_reach 0.999990 | ent_coef 0.01000 | elapsed 13.99s
