iter 00001 | success 0.011 | cost 43.9 | energy 69.9 | actor_loss 0.10675 | energy_loss 90.48900 | reach_loss 70877.43232 | entropy 2.1648 | gamma_reach 0.999000 | ent_coef 0.00100 | elapsed 38.39s
iter 00002 | success 0.004 | cost 28.8 | energy 52.8 | actor_loss 0.14173 | energy_loss 1.06054 | reach_loss 93473.98408 | entropy 2.1272 | gamma_reach 0.999013 | ent_coef 0.00099 | elapsed 39.11s
iter 00003 | success 0.005 | cost 3.3 | energy 8.3 | actor_loss 0.16660 | energy_loss 1.02478 | reach_loss 106880.66484 | entropy 2.1171 | gamma_reach 0.999026 | ent_coef 0.00099 | elapsed 40.76s
iter 00004 | success 0.006 | cost 0.2 | energy 4.6 | actor_loss 0.24724 | energy_loss 1.99325 | reach_loss 110156.36416 | entropy 2.1644 | gamma_reach 0.999040 | ent_coef 0.00098 | elapsed 41.41s
iter 00005 | success 0.005 | cost 0.1 | energy 4.6 | actor_loss 0.23359 | energy_loss 2.64123 | reach_loss 158363.01426 | entropy 2.1745 | gamma_reach 0.999053 | ent_coef 0.00097 | elapsed 41.66s
iter 00006 | success 0.008 | cost 18.3 | energy 101.5 | actor_loss 0.28021 | energy_loss 2.58090 | reach_loss 228416.21094 | entropy 2.1773 | gamma_reach 0.999066 | ent_coef 0.00097 | elapsed 41.68s
iter 00007 | success 0.004 | cost 26.8 | energy 137.5 | actor_loss 0.27674 | energy_loss 4.03050 | reach_loss 327550.71211 | entropy 2.1774 | gamma_reach 0.999079 | ent_coef 0.00096 | elapsed 41.69s
iter 00008 | success 0.021 | cost 25.8 | energy 155.2 | actor_loss 0.33712 | energy_loss 2.45289 | reach_loss 514124.59844 | entropy 2.1774 | gamma_reach 0.999092 | ent_coef 0.00095 | elapsed 41.45s
iter 00009 | success 0.008 | cost 11.5 | energy 49.1 | actor_loss 0.31410 | energy_loss 2.84974 | reach_loss 385896.38945 | entropy 2.1774 | gamma_reach 0.999106 | ent_coef 0.00095 | elapsed 41.70s
iter 00010 | success 0.007 | cost 0.5 | energy 11.8 | actor_loss 0.31243 | energy_loss 9.75214 | reach_loss 423843.22617 | entropy 2.1774 | gamma_reach 0.999119 | ent_coef 0.00094 | elapsed 41.60s
debug 00010 | std_mean 0.5000 | std_min 0.5000 | std_max 0.5000 | done_mean 0.9822 | energy_min_ratio 0.6132 | energy_neg_ratio 0.8297 | e_cons [7.640e+00, 8.000e+00] | first_emin_step 77.75 | act_clip_ratio 0.9346 | act_abs [2.405e+01, 1.973e+02] | act_mean_abs [2.404e+01, 1.982e+02] | act_mean_clip_ratio 0.9327 | clipped_act_abs [9.659e-01, 1.000e+00] | init_energy [-3.986e+02, 1.949e+02, 7.994e+02] | v_reach [-3.805e+03, 2.346e+01] | t_reach [-3.175e+02, 1.277e+03] | reach_clip_ratio 0.0000 | open_ratio 0.0178 | t_done [-3.000e+02, 1.277e+03] | t_open [-3.175e+02, 7.516e+02] | v_open [-1.832e+03, 2.340e+01] | tmin_src done 0 t 108 v 2.198e+01 next_v 1.712e+01 g 4.639e+02 h -3.000e+02 energy -6.018e+01 | adv_total_std 1.971e+02 | adv_open_std 8.598e+01
iter 00011 | success 0.006 | cost 13.0 | energy 52.9 | actor_loss 0.29650 | energy_loss 20.16942 | reach_loss 497209.84180 | entropy 2.1774 | gamma_reach 0.999132 | ent_coef 0.00093 | elapsed 41.54s
iter 00012 | success 0.007 | cost 2.5 | energy 16.0 | actor_loss 0.34544 | energy_loss 42.24915 | reach_loss 629946.41172 | entropy 2.1770 | gamma_reach 0.999145 | ent_coef 0.00093 | elapsed 41.75s
iter 00013 | success 0.006 | cost 2.7 | energy 27.2 | actor_loss 0.31400 | energy_loss 25.40773 | reach_loss 820714.24844 | entropy 2.1774 | gamma_reach 0.999158 | ent_coef 0.00092 | elapsed 41.74s
iter 00014 | success 0.037 | cost 34.7 | energy 217.7 | actor_loss 0.31931 | energy_loss 250.50859 | reach_loss 1316013.74063 | entropy 2.1774 | gamma_reach 0.999172 | ent_coef 0.00091 | elapsed 41.56s
iter 00015 | success 0.109 | cost 107.6 | energy 454.1 | actor_loss 0.27310 | energy_loss 570.44666 | reach_loss 2642376.41562 | entropy 2.1774 | gamma_reach 0.999185 | ent_coef 0.00091 | elapsed 41.53s
iter 00016 | success 0.024 | cost 32.4 | energy 182.3 | actor_loss 0.27684 | energy_loss 508.51803 | reach_loss 10902727.16250 | entropy 2.1774 | gamma_reach 0.999198 | ent_coef 0.00090 | elapsed 41.88s
iter 00017 | success 0.039 | cost 102.3 | energy 391.3 | actor_loss 0.27026 | energy_loss 382.29655 | reach_loss 30895935.57500 | entropy 2.1774 | gamma_reach 0.999211 | ent_coef 0.00089 | elapsed 41.65s
iter 00018 | success 0.041 | cost 102.0 | energy 357.3 | actor_loss 0.27653 | energy_loss 302.15064 | reach_loss 21158949.55000 | entropy 2.1774 | gamma_reach 0.999224 | ent_coef 0.00089 | elapsed 41.67s
