iter 00030 | success 0.187 | cost 114.0 | policy_loss -0.00066 | value_loss 6378.89825 | Vmean 4.219 | Rmean 5.915 | Vrmse 113.029 | VexpVar 0.273 | adv_std 113.016 | elapsed 16.53s
iter 00031 | success 0.203 | cost 111.4 | policy_loss -0.00025 | value_loss 6652.60352 | Vmean 2.603 | Rmean 1.739 | Vrmse 115.418 | VexpVar 0.292 | adv_std 115.415 | elapsed 16.53s
iter 00032 | success 0.205 | cost 107.2 | policy_loss -0.00048 | value_loss 6988.30008 | Vmean 1.857 | Rmean 2.348 | Vrmse 118.285 | VexpVar 0.302 | adv_std 118.284 | elapsed 16.55s
iter 00033 | success 0.207 | cost 106.2 | policy_loss -0.00043 | value_loss 6425.91208 | Vmean -0.074 | Rmean -3.162 | Vrmse 113.440 | VexpVar 0.345 | adv_std 113.398 | elapsed 16.48s
iter 00034 | success 0.243 | cost 113.4 | policy_loss -0.00030 | value_loss 6844.67700 | Vmean -1.104 | Rmean -4.556 | Vrmse 117.068 | VexpVar 0.357 | adv_std 117.018 | elapsed 16.50s
iter 00035 | success 0.238 | cost 107.0 | policy_loss -0.00029 | value_loss 6644.66254 | Vmean -3.517 | Rmean -10.121 | Vrmse 115.347 | VexpVar 0.393 | adv_std 115.158 | elapsed 16.39s
iter 00036 | success 0.213 | cost 111.7 | policy_loss -0.00054 | value_loss 6970.00854 | Vmean -1.148 | Rmean 2.034 | Vrmse 118.151 | VexpVar 0.373 | adv_std 118.108 | elapsed 16.38s
iter 00037 | success 0.254 | cost 108.1 | policy_loss -0.00056 | value_loss 7017.06458 | Vmean -5.694 | Rmean -9.230 | Vrmse 118.551 | VexpVar 0.412 | adv_std 118.499 | elapsed 16.43s
iter 00038 | success 0.249 | cost 109.0 | policy_loss -0.00050 | value_loss 6812.03696 | Vmean -6.462 | Rmean -10.362 | Vrmse 116.804 | VexpVar 0.428 | adv_std 116.739 | elapsed 16.45s
iter 00039 | success 0.309 | cost 106.7 | policy_loss -0.00046 | value_loss 6582.56357 | Vmean -11.153 | Rmean -24.731 | Vrmse 114.825 | VexpVar 0.473 | adv_std 114.020 | elapsed 16.44s
iter 00040 | success 0.256 | cost 105.6 | policy_loss -0.00049 | value_loss 6481.76437 | Vmean -9.214 | Rmean -17.809 | Vrmse 113.940 | VexpVar 0.470 | adv_std 113.615 | elapsed 16.41s
iter 00041 | success 0.305 | cost 109.9 | policy_loss -0.00033 | value_loss 5952.06934 | Vmean -13.791 | Rmean -29.279 | Vrmse 109.170 | VexpVar 0.516 | adv_std 108.066 | elapsed 16.47s
iter 00042 | success 0.283 | cost 104.3 | policy_loss -0.00053 | value_loss 6210.69443 | Vmean -11.876 | Rmean -19.486 | Vrmse 111.517 | VexpVar 0.504 | adv_std 111.258 | elapsed 16.45s
iter 00043 | success 0.305 | cost 105.7 | policy_loss -0.00047 | value_loss 6125.93036 | Vmean -18.119 | Rmean -30.333 | Vrmse 110.766 | VexpVar 0.542 | adv_std 110.090 | elapsed 16.52s
iter 00044 | success 0.299 | cost 100.1 | policy_loss -0.00010 | value_loss 5829.96277 | Vmean -18.553 | Rmean -30.610 | Vrmse 108.044 | VexpVar 0.559 | adv_std 107.369 | elapsed 16.47s
iter 00045 | success 0.333 | cost 105.0 | policy_loss -0.00042 | value_loss 5995.15198 | Vmean -21.230 | Rmean -34.224 | Vrmse 109.543 | VexpVar 0.569 | adv_std 108.769 | elapsed 16.52s
iter 00046 | success 0.307 | cost 102.6 | policy_loss -0.00052 | value_loss 5693.29840 | Vmean -22.817 | Rmean -31.365 | Vrmse 106.792 | VexpVar 0.590 | adv_std 106.449 | elapsed 16.57s
iter 00047 | success 0.319 | cost 97.8 | policy_loss -0.00036 | value_loss 5612.34863 | Vmean -24.572 | Rmean -36.334 | Vrmse 106.014 | VexpVar 0.602 | adv_std 105.359 | elapsed 16.53s
iter 00048 | success 0.313 | cost 98.4 | policy_loss -0.00040 | value_loss 5322.41803 | Vmean -24.730 | Rmean -35.833 | Vrmse 103.233 | VexpVar 0.616 | adv_std 102.634 | elapsed 16.50s
iter 00049 | success 0.337 | cost 104.0 | policy_loss -0.00042 | value_loss 5193.63724 | Vmean -28.422 | Rmean -39.295 | Vrmse 101.992 | VexpVar 0.635 | adv_std 101.411 | elapsed 16.54s
iter 00050 | success 0.337 | cost 100.2 | policy_loss -0.00026 | value_loss 5107.27222 | Vmean -33.824 | Rmean -47.006 | Vrmse 101.129 | VexpVar 0.655 | adv_std 100.266 | elapsed 16.49s
