iter 00001 | success 0.009 | cost 29.5 | energy 58.7 | actor_loss -0.08300 | energy_loss 382.96859 | reach_loss 82871.88574 | entropy 4.2568 | gamma_reach 0.999000 | ent_coef 0.01000 | elapsed 28.20s
iter 00002 | success 0.007 | cost 47.3 | energy 164.8 | actor_loss -0.10125 | energy_loss 370.99485 | reach_loss 83221.14326 | entropy 4.2568 | gamma_reach 0.999001 | ent_coef 0.01000 | elapsed 31.44s
iter 00003 | success 0.011 | cost 35.5 | energy 116.6 | actor_loss -0.08742 | energy_loss 385.52750 | reach_loss 84719.02266 | entropy 4.2568 | gamma_reach 0.999003 | ent_coef 0.01000 | elapsed 30.83s
iter 00004 | success 0.015 | cost 81.6 | energy 241.9 | actor_loss -0.07927 | energy_loss 559.17715 | reach_loss 86437.79180 | entropy 4.2568 | gamma_reach 0.999004 | ent_coef 0.01000 | elapsed 30.75s
iter 00005 | success 0.011 | cost 25.2 | energy 254.9 | actor_loss -0.06961 | energy_loss 685.21895 | reach_loss 86236.45195 | entropy 4.2568 | gamma_reach 0.999005 | ent_coef 0.01000 | elapsed 30.13s
iter 00006 | success 0.014 | cost 63.9 | energy 283.9 | actor_loss -0.08411 | energy_loss 733.14912 | reach_loss 85722.59551 | entropy 4.2568 | gamma_reach 0.999007 | ent_coef 0.01000 | elapsed 29.87s
iter 00007 | success 0.018 | cost 55.4 | energy 291.4 | actor_loss -0.08325 | energy_loss 724.65810 | reach_loss 87689.21865 | entropy 4.2568 | gamma_reach 0.999008 | ent_coef 0.01000 | elapsed 28.98s
iter 00008 | success 0.031 | cost 86.6 | energy 372.1 | actor_loss -0.08254 | energy_loss 790.03738 | reach_loss 87664.58145 | entropy 4.2568 | gamma_reach 0.999009 | ent_coef 0.01000 | elapsed 29.39s
iter 00009 | success 0.029 | cost 89.3 | energy 428.5 | actor_loss -0.06908 | energy_loss 864.45292 | reach_loss 91534.07881 | entropy 4.2568 | gamma_reach 0.999011 | ent_coef 0.01000 | elapsed 28.95s
iter 00010 | success 0.010 | cost 34.9 | energy 199.0 | actor_loss -0.08005 | energy_loss 659.01644 | reach_loss 88301.91191 | entropy 4.2568 | gamma_reach 0.999012 | ent_coef 0.01000 | elapsed 28.77s
iter 00011 | success 0.023 | cost 40.1 | energy 459.0 | actor_loss -0.08453 | energy_loss 855.01433 | reach_loss 88524.37393 | entropy 4.2568 | gamma_reach 0.999013 | ent_coef 0.01000 | elapsed 30.23s
iter 00012 | success 0.013 | cost 49.6 | energy 300.7 | actor_loss -0.07906 | energy_loss 683.77226 | reach_loss 84958.57559 | entropy 4.2568 | gamma_reach 0.999015 | ent_coef 0.01000 | elapsed 29.66s
iter 00013 | success 0.021 | cost 76.9 | energy 410.3 | actor_loss -0.07860 | energy_loss 1226.42712 | reach_loss 86908.65488 | entropy 4.2568 | gamma_reach 0.999016 | ent_coef 0.01000 | elapsed 33.58s
iter 00014 | success 0.018 | cost 44.2 | energy 435.9 | actor_loss -0.07377 | energy_loss 2339.66049 | reach_loss 88247.65381 | entropy 4.2568 | gamma_reach 0.999017 | ent_coef 0.01000 | elapsed 30.74s
iter 00015 | success 0.037 | cost 69.5 | energy 479.6 | actor_loss -0.06920 | energy_loss 295469.89512 | reach_loss 90071.33594 | entropy 4.2568 | gamma_reach 0.999018 | ent_coef 0.01000 | elapsed 32.26s
iter 00016 | success 0.037 | cost 39.5 | energy 479.3 | actor_loss -0.06469 | energy_loss 514095.99922 | reach_loss 95069.66406 | entropy 4.2568 | gamma_reach 0.999020 | ent_coef 0.01000 | elapsed 32.79s
iter 00017 | success 0.054 | cost 54.7 | energy 502.5 | actor_loss -0.05958 | energy_loss 1111064.52031 | reach_loss 93355.26719 | entropy 4.2568 | gamma_reach 0.999021 | ent_coef 0.01000 | elapsed 29.43s
iter 00018 | success 0.035 | cost 41.2 | energy 592.2 | actor_loss -0.05587 | energy_loss 872105.13086 | reach_loss 91254.53027 | entropy 4.2568 | gamma_reach 0.999022 | ent_coef 0.01000 | elapsed 29.90s
iter 00019 | success 0.011 | cost 43.1 | energy 388.8 | actor_loss -0.06254 | energy_loss 5020398.27187 | reach_loss 82267.45967 | entropy 4.2568 | gamma_reach 0.999024 | ent_coef 0.01000 | elapsed 29.10s
iter 00020 | success 0.016 | cost 16.3 | energy 249.6 | actor_loss -0.06569 | energy_loss 68673245.90000 | reach_loss 81758.95146 | entropy 4.2568 | gamma_reach 0.999025 | ent_coef 0.01000 | elapsed 30.07s
iter 00021 | success 0.034 | cost 39.2 | energy 546.7 | actor_loss -0.06558 | energy_loss 30685763.12500 | reach_loss 98174.50010 | entropy 4.2568 | gamma_reach 0.999026 | ent_coef 0.01000 | elapsed 30.12s
iter 00022 | success 0.042 | cost 34.5 | energy 520.3 | actor_loss -0.04781 | energy_loss 39891808.61250 | reach_loss 99604.09893 | entropy 4.2568 | gamma_reach 0.999028 | ent_coef 0.01000 | elapsed 28.39s
