iter 00001 | success 0.011 | cost 43.9 | energy 69.9 | actor_loss 0.01973 | energy_loss 90.48900 | reach_loss 70965.86719 | mean_bound_loss 0.00000 | entropy 2.1770 | gamma_reach 0.999000 | ent_coef 0.00100 | elapsed 25.35s
iter 00002 | success 0.009 | cost 60.7 | energy 86.2 | actor_loss 0.00027 | energy_loss 0.94776 | reach_loss 70628.81172 | mean_bound_loss 0.00000 | entropy 2.1754 | gamma_reach 0.999010 | ent_coef 0.00100 | elapsed 25.89s
iter 00003 | success 0.011 | cost 57.2 | energy 91.4 | actor_loss -0.00099 | energy_loss 1.01519 | reach_loss 74577.45928 | mean_bound_loss 0.00000 | entropy 2.1689 | gamma_reach 0.999020 | ent_coef 0.00099 | elapsed 26.60s
iter 00004 | success 0.012 | cost 48.1 | energy 86.7 | actor_loss 0.01698 | energy_loss 4.29509 | reach_loss 74614.36602 | mean_bound_loss 0.00000 | entropy 2.1603 | gamma_reach 0.999030 | ent_coef 0.00098 | elapsed 27.00s
iter 00005 | success 0.018 | cost 77.6 | energy 148.0 | actor_loss 0.12348 | energy_loss 7.21669 | reach_loss 101295.53125 | mean_bound_loss 0.00045 | entropy 2.1602 | gamma_reach 0.999040 | ent_coef 0.00098 | elapsed 27.11s
iter 00006 | success 0.031 | cost 60.6 | energy 151.9 | actor_loss 0.44448 | energy_loss 1.41042 | reach_loss 197010.26777 | mean_bound_loss 0.14311 | entropy 2.1634 | gamma_reach 0.999050 | ent_coef 0.00098 | elapsed 27.56s
iter 00007 | success 0.026 | cost 40.2 | energy 130.3 | actor_loss 0.20843 | energy_loss 8.08439 | reach_loss 232993.90488 | mean_bound_loss 0.37771 | entropy 2.1621 | gamma_reach 0.999059 | ent_coef 0.00097 | elapsed 27.80s
iter 00008 | success 0.024 | cost 43.2 | energy 151.1 | actor_loss 0.14689 | energy_loss 54.54682 | reach_loss 215348.35371 | mean_bound_loss 0.89223 | entropy 2.1593 | gamma_reach 0.999069 | ent_coef 0.00097 | elapsed 27.81s
iter 00009 | success 0.016 | cost 26.1 | energy 102.0 | actor_loss 0.22145 | energy_loss 3.21385 | reach_loss 155901.94043 | mean_bound_loss 1.47684 | entropy 2.1567 | gamma_reach 0.999079 | ent_coef 0.00096 | elapsed 27.89s
iter 00010 | success 0.018 | cost 34.0 | energy 100.3 | actor_loss 0.27018 | energy_loss 16.23113 | reach_loss 97329.93838 | mean_bound_loss 2.34582 | entropy 2.1555 | gamma_reach 0.999089 | ent_coef 0.00096 | elapsed 27.77s
debug 00010 | std_mean 0.4967 | std_min 0.4929 | std_max 0.5000 | done_mean 0.9690 | energy_min_ratio 0.3647 | energy_neg_ratio 0.6949 | e_cons [4.266e+00, 8.000e+00] | first_emin_step 127.69 | act_clip_ratio 0.3921 | act_abs [1.621e+00, 9.072e+00] | act_mean_abs [1.481e+00, 8.076e+00] | act_mean_clip_ratio 0.3266 | clipped_act_abs [6.361e-01, 1.000e+00] | init_energy [-3.999e+02, 1.929e+02, 7.996e+02] | v_reach [-5.296e+02, 1.163e+03] | t_reach [-4.444e+02, 1.867e+03] | reach_clip_ratio 0.0000 | open_ratio 0.0310 | t_done [-3.000e+02, 1.867e+03] | t_open [-4.444e+02, 7.716e+02] | v_open [-5.040e+02, 9.674e+02] | tmin_src done 0 t 185 v -4.258e+02 next_v -4.375e+02 g 6.156e+01 h -3.000e+02 energy 5.357e+01 | adv_total_std 2.386e+02 | adv_open_std 1.345e+02
iter 00011 | success 0.032 | cost 54.0 | energy 184.4 | actor_loss 0.30999 | energy_loss 94.72776 | reach_loss 115178.82822 | mean_bound_loss 2.52589 | entropy 2.1590 | gamma_reach 0.999099 | ent_coef 0.00095 | elapsed 27.57s
iter 00012 | success 0.031 | cost 73.5 | energy 227.4 | actor_loss 0.34702 | energy_loss 50.99538 | reach_loss 405618.58437 | mean_bound_loss 1.15241 | entropy 2.1622 | gamma_reach 0.999109 | ent_coef 0.00094 | elapsed 27.49s
iter 00013 | success 0.030 | cost 69.7 | energy 295.6 | actor_loss 0.32797 | energy_loss 137.76598 | reach_loss 316768.15781 | mean_bound_loss 1.28383 | entropy 2.1635 | gamma_reach 0.999119 | ent_coef 0.00094 | elapsed 28.81s
iter 00014 | success 0.017 | cost 14.5 | energy 59.0 | actor_loss 0.36189 | energy_loss 13.70936 | reach_loss 358268.78945 | mean_bound_loss 0.15990 | entropy 2.1641 | gamma_reach 0.999129 | ent_coef 0.00093 | elapsed 28.08s
iter 00015 | success 0.017 | cost 27.0 | energy 123.1 | actor_loss 0.38640 | energy_loss 87.88772 | reach_loss 453319.31602 | mean_bound_loss 0.22914 | entropy 2.1707 | gamma_reach 0.999139 | ent_coef 0.00093 | elapsed 28.05s
iter 00016 | success 0.048 | cost 71.4 | energy 320.1 | actor_loss 0.33483 | energy_loss 67.46003 | reach_loss 390122.06992 | mean_bound_loss 0.54971 | entropy 2.1767 | gamma_reach 0.999148 | ent_coef 0.00093 | elapsed 28.17s
iter 00017 | success 0.039 | cost 55.7 | energy 254.7 | actor_loss 0.33077 | energy_loss 76.79867 | reach_loss 397036.29922 | mean_bound_loss 0.53618 | entropy 2.1774 | gamma_reach 0.999158 | ent_coef 0.00092 | elapsed 28.09s
iter 00018 | success 0.032 | cost 55.9 | energy 234.9 | actor_loss 0.34257 | energy_loss 76.33159 | reach_loss 430955.23242 | mean_bound_loss 0.60338 | entropy 2.1773 | gamma_reach 0.999168 | ent_coef 0.00092 | elapsed 28.10s
iter 00019 | success 0.027 | cost 36.6 | energy 183.3 | actor_loss 0.35549 | energy_loss 74.02943 | reach_loss 464951.79805 | mean_bound_loss 0.94257 | entropy 2.1762 | gamma_reach 0.999178 | ent_coef 0.00091 | elapsed 28.06s
iter 00020 | success 0.018 | cost 31.2 | energy 172.8 | actor_loss 0.34128 | energy_loss 32.33241 | reach_loss 464042.96445 | mean_bound_loss 0.75584 | entropy 2.1737 | gamma_reach 0.999188 | ent_coef 0.00090 | elapsed 28.07s
debug 00020 | std_mean 0.4994 | std_min 0.4981 | std_max 0.5000 | done_mean 0.9001 | energy_min_ratio 0.3761 | energy_neg_ratio 0.7027 | e_cons [4.417e+00, 8.000e+00] | first_emin_step 125.41 | act_clip_ratio 0.4058 | act_abs [1.390e+00, 8.541e+00] | act_mean_abs [1.263e+00, 7.610e+00] | act_mean_clip_ratio 0.3585 | clipped_act_abs [6.525e-01, 1.000e+00] | init_energy [-3.999e+02, 1.974e+02, 7.997e+02] | v_reach [-1.478e+03, 2.591e+03] | t_reach [-9.647e+02, 1.269e+03] | reach_clip_ratio 0.0000 | open_ratio 0.0999 | t_done [-3.000e+02, 1.269e+03] | t_open [-9.647e+02, 7.883e+02] | v_open [-1.478e+03, 2.377e+03] | tmin_src done 0 t 189 v -9.341e+02 next_v -9.588e+02 g 2.855e+02 h -3.000e+02 energy -6.438e+01 | adv_total_std 7.044e+02 | adv_open_std 5.641e+02
iter 00021 | success 0.022 | cost 38.4 | energy 209.4 | actor_loss 0.35683 | energy_loss 104.32168 | reach_loss 457927.27930 | mean_bound_loss 0.54347 | entropy 2.1737 | gamma_reach 0.999198 | ent_coef 0.00090 | elapsed 28.29s
iter 00022 | success 0.028 | cost 45.5 | energy 228.6 | actor_loss 0.36381 | energy_loss 110.91533 | reach_loss 462384.70586 | mean_bound_loss 0.35310 | entropy 2.1753 | gamma_reach 0.999208 | ent_coef 0.00089 | elapsed 27.61s
iter 00023 | success 0.050 | cost 67.1 | energy 309.6 | actor_loss 0.37825 | energy_loss 163.43925 | reach_loss 598415.51328 | mean_bound_loss 0.78394 | entropy 2.1744 | gamma_reach 0.999218 | ent_coef 0.00089 | elapsed 27.13s
iter 00024 | success 0.046 | cost 70.9 | energy 310.8 | actor_loss 0.36973 | energy_loss 121.80029 | reach_loss 589133.57578 | mean_bound_loss 0.61310 | entropy 2.1747 | gamma_reach 0.999228 | ent_coef 0.00088 | elapsed 27.94s
iter 00025 | success 0.030 | cost 58.1 | energy 301.1 | actor_loss 0.38929 | energy_loss 145.01499 | reach_loss 630591.34531 | mean_bound_loss 0.94459 | entropy 2.1740 | gamma_reach 0.999238 | ent_coef 0.00088 | elapsed 27.98s
iter 00026 | success 0.027 | cost 53.2 | energy 261.5 | actor_loss 0.35714 | energy_loss 137.94353 | reach_loss 508696.08242 | mean_bound_loss 1.02024 | entropy 2.1707 | gamma_reach 0.999248 | ent_coef 0.00088 | elapsed 28.05s
iter 00027 | success 0.041 | cost 79.1 | energy 358.8 | actor_loss 0.36890 | energy_loss 191.15662 | reach_loss 470830.75430 | mean_bound_loss 0.90199 | entropy 2.1673 | gamma_reach 0.999257 | ent_coef 0.00087 | elapsed 28.10s
iter 00028 | success 0.049 | cost 84.5 | energy 375.2 | actor_loss 0.37823 | energy_loss 263.46878 | reach_loss 579257.35313 | mean_bound_loss 0.85946 | entropy 2.1632 | gamma_reach 0.999267 | ent_coef 0.00087 | elapsed 28.13s
iter 00029 | success 0.028 | cost 50.9 | energy 301.3 | actor_loss 0.36248 | energy_loss 229.19719 | reach_loss 556114.97266 | mean_bound_loss 0.82418 | entropy 2.1619 | gamma_reach 0.999277 | ent_coef 0.00086 | elapsed 28.39s
iter 00030 | success 0.024 | cost 47.7 | energy 242.6 | actor_loss 0.37128 | energy_loss 356.79427 | reach_loss 536329.78047 | mean_bound_loss 0.82922 | entropy 2.1610 | gamma_reach 0.999287 | ent_coef 0.00086 | elapsed 28.23s
debug 00030 | std_mean 0.4971 | std_min 0.4914 | std_max 0.5000 | done_mean 0.9469 | energy_min_ratio 0.4902 | energy_neg_ratio 0.7673 | e_cons [5.945e+00, 8.000e+00] | first_emin_step 102.48 | act_clip_ratio 0.6294 | act_abs [2.752e+00, 1.662e+01] | act_mean_abs [2.702e+00, 1.534e+01] | act_mean_clip_ratio 0.5970 | clipped_act_abs [8.055e-01, 1.000e+00] | init_energy [-4.000e+02, 2.062e+02, 7.992e+02] | v_reach [-2.025e+03, 2.425e+03] | t_reach [-1.056e+03, 1.650e+03] | reach_clip_ratio 0.0000 | open_ratio 0.0531 | t_done [-3.000e+02, 1.650e+03] | t_open [-1.056e+03, 7.950e+02] | v_open [-1.871e+03, 2.234e+03] | tmin_src done 0 t 196 v -1.035e+03 next_v -1.058e+03 g 3.884e+02 h -3.000e+02 energy -4.000e+02 | adv_total_std 6.525e+02 | adv_open_std 5.307e+02
iter 00031 | success 0.030 | cost 54.6 | energy 288.0 | actor_loss 0.36511 | energy_loss 369.05566 | reach_loss 551555.54453 | mean_bound_loss 0.47383 | entropy 2.1593 | gamma_reach 0.999297 | ent_coef 0.00085 | elapsed 28.08s
iter 00032 | success 0.050 | cost 77.9 | energy 396.8 | actor_loss 0.36569 | energy_loss 454.26855 | reach_loss 520797.43320 | mean_bound_loss 0.60417 | entropy 2.1580 | gamma_reach 0.999307 | ent_coef 0.00085 | elapsed 28.30s
iter 00033 | success 0.029 | cost 74.4 | energy 297.8 | actor_loss 0.36333 | energy_loss 307.17736 | reach_loss 508762.40703 | mean_bound_loss 0.50168 | entropy 2.1577 | gamma_reach 0.999317 | ent_coef 0.00084 | elapsed 25.51s
iter 00034 | success 0.069 | cost 80.6 | energy 297.3 | actor_loss 0.36014 | energy_loss 282.53797 | reach_loss 643175.26484 | mean_bound_loss 0.32188 | entropy 2.1602 | gamma_reach 0.999327 | ent_coef 0.00084 | elapsed 27.79s
iter 00035 | success 0.095 | cost 78.8 | energy 271.8 | actor_loss 0.36627 | energy_loss 149.52758 | reach_loss 632852.01250 | mean_bound_loss 0.50075 | entropy 2.1612 | gamma_reach 0.999337 | ent_coef 0.00083 | elapsed 27.81s
iter 00036 | success 0.096 | cost 79.8 | energy 282.0 | actor_loss 0.35702 | energy_loss 154.61189 | reach_loss 1149314.45000 | mean_bound_loss 0.68606 | entropy 2.1641 | gamma_reach 0.999347 | ent_coef 0.00082 | elapsed 27.71s
iter 00037 | success 0.056 | cost 51.4 | energy 194.7 | actor_loss 0.37269 | energy_loss 144.02504 | reach_loss 3507994.25625 | mean_bound_loss 0.73275 | entropy 2.1655 | gamma_reach 0.999356 | ent_coef 0.00082 | elapsed 27.68s
iter 00038 | success 0.060 | cost 54.5 | energy 228.9 | actor_loss 0.35135 | energy_loss 226.33964 | reach_loss 6317636.57500 | mean_bound_loss 0.56681 | entropy 2.1674 | gamma_reach 0.999366 | ent_coef 0.00082 | elapsed 27.81s
