iter 00001 | success 0.011 | cost 43.9 | energy 69.9 | actor_loss 0.01973 | energy_loss 90.48900 | reach_loss 70965.86719 | mean_bound_loss 0.00000 | entropy 2.1770 | gamma_reach 0.999000 | ent_coef 0.00100 | elapsed 25.35s
iter 00039 | success 0.066 | cost 64.4 | energy 238.1 | actor_loss 0.36347 | energy_loss 213.00578 | reach_loss 8322799.78125 | mean_bound_loss 0.92633 | entropy 2.1667 | gamma_reach 0.999376 | ent_coef 0.00081 | elapsed 27.99s
iter 00040 | success 0.094 | cost 90.1 | energy 314.2 | actor_loss 0.35287 | energy_loss 241.65908 | reach_loss 6199989.27500 | mean_bound_loss 0.96893 | entropy 2.1605 | gamma_reach 0.999386 | ent_coef 0.00081 | elapsed 28.02s
debug 00040 | std_mean 0.4966 | std_min 0.4920 | std_max 0.4998 | done_mean 0.9070 | energy_min_ratio 0.4536 | energy_neg_ratio 0.7508 | e_cons [5.351e+00, 8.000e+00] | first_emin_step 109.82 | act_clip_ratio 0.5248 | act_abs [1.524e+00, 1.142e+01] | act_mean_abs [1.453e+00, 1.029e+01] | act_mean_clip_ratio 0.4966 | clipped_act_abs [7.487e-01, 1.000e+00] | init_energy [-3.996e+02, 1.968e+02, 7.998e+02] | v_reach [-1.495e+04, 2.583e+03] | t_reach [-4.997e+03, 1.592e+03] | reach_clip_ratio 0.1314 | open_ratio 0.0930 | t_done [-3.000e+02, 1.592e+03] | t_open [-4.997e+03, 7.936e+02] | v_open [-1.469e+04, 2.557e+03] | tmin_src done 0 t 199 v -1.393e+04 next_v -5.000e+03 g -3.000e+02 h -3.000e+02 energy -4.000e+02 | adv_total_std 7.149e+02 | adv_open_std 6.722e+02
iter 00041 | success 0.081 | cost 79.8 | energy 299.0 | actor_loss 0.34573 | energy_loss 222.05459 | reach_loss 5031122.49375 | mean_bound_loss 0.80331 | entropy 2.1535 | gamma_reach 0.999396 | ent_coef 0.00080 | elapsed 27.93s
iter 00042 | success 0.070 | cost 52.3 | energy 227.5 | actor_loss 0.34710 | energy_loss 260.16938 | reach_loss 4959912.46250 | mean_bound_loss 0.75266 | entropy 2.1462 | gamma_reach 0.999406 | ent_coef 0.00080 | elapsed 28.06s
iter 00043 | success 0.118 | cost 96.1 | energy 338.3 | actor_loss 0.36753 | energy_loss 204.66359 | reach_loss 4473707.96875 | mean_bound_loss 0.77176 | entropy 2.1404 | gamma_reach 0.999416 | ent_coef 0.00079 | elapsed 28.10s
iter 00044 | success 0.141 | cost 100.9 | energy 349.6 | actor_loss 0.36048 | energy_loss 136.81404 | reach_loss 3496409.80938 | mean_bound_loss 0.72383 | entropy 2.1349 | gamma_reach 0.999426 | ent_coef 0.00078 | elapsed 26.37s
iter 00045 | success 0.061 | cost 76.9 | energy 274.5 | actor_loss 0.34536 | energy_loss 160.78043 | reach_loss 3784309.25000 | mean_bound_loss 0.35560 | entropy 2.1294 | gamma_reach 0.999436 | ent_coef 0.00078 | elapsed 28.22s
iter 00046 | success 0.054 | cost 51.1 | energy 226.0 | actor_loss 0.35533 | energy_loss 188.60464 | reach_loss 6677227.00000 | mean_bound_loss 0.38489 | entropy 2.1219 | gamma_reach 0.999445 | ent_coef 0.00077 | elapsed 28.27s
iter 00047 | success 0.077 | cost 75.0 | energy 271.8 | actor_loss 0.39164 | energy_loss 187.62325 | reach_loss 7818091.08750 | mean_bound_loss 0.53018 | entropy 2.1137 | gamma_reach 0.999455 | ent_coef 0.00077 | elapsed 28.32s
iter 00048 | success 0.088 | cost 80.0 | energy 278.8 | actor_loss 0.33765 | energy_loss 191.53153 | reach_loss 7554383.15625 | mean_bound_loss 0.40735 | entropy 2.1057 | gamma_reach 0.999465 | ent_coef 0.00076 | elapsed 28.35s
iter 00049 | success 0.154 | cost 87.3 | energy 333.7 | actor_loss 0.36817 | energy_loss 228.58417 | reach_loss 5894598.93125 | mean_bound_loss 0.44444 | entropy 2.0985 | gamma_reach 0.999475 | ent_coef 0.00076 | elapsed 28.35s
iter 00050 | success 0.212 | cost 79.9 | energy 368.8 | actor_loss 0.33799 | energy_loss 175.35303 | reach_loss 6435294.15000 | mean_bound_loss 0.29258 | entropy 2.0952 | gamma_reach 0.999485 | ent_coef 0.00076 | elapsed 28.30s
debug 00050 | std_mean 0.4860 | std_min 0.4801 | std_max 0.4904 | done_mean 0.8910 | energy_min_ratio 0.5200 | energy_neg_ratio 0.7852 | e_cons [6.305e+00, 8.000e+00] | first_emin_step 96.48 | act_clip_ratio 0.6893 | act_abs [2.211e+00, 1.437e+01] | act_mean_abs [2.171e+00, 1.287e+01] | act_mean_clip_ratio 0.6784 | clipped_act_abs [8.402e-01, 1.000e+00] | init_energy [-3.999e+02, 2.014e+02, 7.998e+02] | v_reach [-1.827e+04, 4.400e+03] | t_reach [-4.998e+03, 1.136e+03] | reach_clip_ratio 0.0959 | open_ratio 0.1090 | t_done [-3.000e+02, 1.136e+03] | t_open [-4.998e+03, 7.885e+02] | v_open [-1.809e+04, 4.320e+03] | tmin_src done 0 t 199 v -1.629e+04 next_v -5.000e+03 g -3.000e+02 h -3.000e+02 energy -4.000e+02 | adv_total_std 9.393e+02 | adv_open_std 8.451e+02
iter 00051 | success 0.226 | cost 71.9 | energy 358.0 | actor_loss 0.34438 | energy_loss 127.31268 | reach_loss 6737557.26250 | mean_bound_loss 0.29988 | entropy 2.0900 | gamma_reach 0.999495 | ent_coef 0.00075 | elapsed 28.22s
iter 00052 | success 0.182 | cost 75.4 | energy 327.9 | actor_loss 0.32949 | energy_loss 104.88437 | reach_loss 4669607.23125 | mean_bound_loss 0.22193 | entropy 2.0918 | gamma_reach 0.999505 | ent_coef 0.00075 | elapsed 28.19s
iter 00053 | success 0.131 | cost 79.1 | energy 312.3 | actor_loss 0.33791 | energy_loss 97.53003 | reach_loss 6570085.80000 | mean_bound_loss 0.22062 | entropy 2.0995 | gamma_reach 0.999515 | ent_coef 0.00074 | elapsed 28.20s
iter 00054 | success 0.174 | cost 83.2 | energy 341.0 | actor_loss 0.33231 | energy_loss 52.96281 | reach_loss 16385364.37500 | mean_bound_loss 0.22177 | entropy 2.1137 | gamma_reach 0.999525 | ent_coef 0.00073 | elapsed 28.06s
iter 00055 | success 0.140 | cost 94.9 | energy 341.8 | actor_loss 0.32082 | energy_loss 95.46984 | reach_loss 16676554.55000 | mean_bound_loss 0.61429 | entropy 2.1300 | gamma_reach 0.999535 | ent_coef 0.00073 | elapsed 26.22s
iter 00056 | success 0.074 | cost 94.5 | energy 294.5 | actor_loss 0.34913 | energy_loss 69.02881 | reach_loss 14885566.82500 | mean_bound_loss 0.43092 | entropy 2.1421 | gamma_reach 0.999545 | ent_coef 0.00072 | elapsed 27.86s
iter 00057 | success 0.067 | cost 99.0 | energy 328.2 | actor_loss 0.35857 | energy_loss 27.27239 | reach_loss 11313828.05000 | mean_bound_loss 0.39813 | entropy 2.1464 | gamma_reach 0.999554 | ent_coef 0.00072 | elapsed 27.75s
iter 00058 | success 0.019 | cost 29.4 | energy 138.6 | actor_loss 0.37716 | energy_loss 22.18837 | reach_loss 15744319.82500 | mean_bound_loss 0.79426 | entropy 2.1446 | gamma_reach 0.999564 | ent_coef 0.00072 | elapsed 27.77s
iter 00059 | success 0.021 | cost 30.7 | energy 146.8 | actor_loss 0.38311 | energy_loss 104.08332 | reach_loss 14310400.68750 | mean_bound_loss 1.60850 | entropy 2.1443 | gamma_reach 0.999574 | ent_coef 0.00071 | elapsed 28.43s
iter 00060 | success 0.014 | cost 38.1 | energy 190.7 | actor_loss 0.37267 | energy_loss 141.43470 | reach_loss 20550936.85000 | mean_bound_loss 1.26023 | entropy 2.1360 | gamma_reach 0.999584 | ent_coef 0.00071 | elapsed 28.87s
debug 00060 | std_mean 0.4923 | std_min 0.4807 | std_max 0.4987 | done_mean 0.8414 | energy_min_ratio 0.4005 | energy_neg_ratio 0.7192 | e_cons [4.734e+00, 8.000e+00] | first_emin_step 120.50 | act_clip_ratio 0.4254 | act_abs [1.216e+00, 9.953e+00] | act_mean_abs [1.128e+00, 8.765e+00] | act_mean_clip_ratio 0.3621 | clipped_act_abs [6.888e-01, 1.000e+00] | init_energy [-3.996e+02, 2.071e+02, 7.995e+02] | v_reach [-3.207e+04, 4.057e+03] | t_reach [-4.998e+03, 1.235e+03] | reach_clip_ratio 0.2884 | open_ratio 0.1586 | t_done [-3.000e+02, 1.235e+03] | t_open [-4.998e+03, 7.947e+02] | v_open [-2.960e+04, 4.024e+03] | tmin_src done 0 t 199 v -2.183e+04 next_v -5.000e+03 g 6.204e+01 h -3.000e+02 energy 2.951e+01 | adv_total_std 9.789e+02 | adv_open_std 9.495e+02
iter 00061 | success 0.030 | cost 60.0 | energy 292.0 | actor_loss 0.36189 | energy_loss 565.28216 | reach_loss 31323771.72500 | mean_bound_loss 0.94322 | entropy 2.1253 | gamma_reach 0.999594 | ent_coef 0.00070 | elapsed 28.90s
iter 00062 | success 0.017 | cost 38.0 | energy 119.5 | actor_loss 0.38388 | energy_loss 248.47568 | reach_loss 27705463.15000 | mean_bound_loss 1.07819 | entropy 2.1133 | gamma_reach 0.999604 | ent_coef 0.00070 | elapsed 28.13s
iter 00063 | success 0.013 | cost 40.1 | energy 131.6 | actor_loss 0.36844 | energy_loss 50.79344 | reach_loss 19259415.47500 | mean_bound_loss 0.85230 | entropy 2.1022 | gamma_reach 0.999614 | ent_coef 0.00069 | elapsed 28.13s
iter 00064 | success 0.031 | cost 78.6 | energy 257.0 | actor_loss 0.36592 | energy_loss 128.98662 | reach_loss 16016062.61250 | mean_bound_loss 0.67910 | entropy 2.0945 | gamma_reach 0.999624 | ent_coef 0.00069 | elapsed 28.27s
iter 00065 | success 0.012 | cost 10.6 | energy 65.9 | actor_loss 0.35176 | energy_loss 62.13358 | reach_loss 8076630.51250 | mean_bound_loss 0.74044 | entropy 2.0920 | gamma_reach 0.999634 | ent_coef 0.00068 | elapsed 28.02s
iter 00066 | success 0.011 | cost 12.5 | energy 70.8 | actor_loss 0.35465 | energy_loss 64.10164 | reach_loss 8896964.32500 | mean_bound_loss 0.77371 | entropy 2.0914 | gamma_reach 0.999644 | ent_coef 0.00068 | elapsed 27.89s
iter 00067 | success 0.180 | cost 113.0 | energy 467.4 | actor_loss 0.40771 | energy_loss 74.74931 | reach_loss 8721774.87500 | mean_bound_loss 0.62151 | entropy 2.0973 | gamma_reach 0.999653 | ent_coef 0.00067 | elapsed 28.00s
iter 00068 | success 0.225 | cost 84.3 | energy 411.9 | actor_loss 0.29755 | energy_loss 48.25093 | reach_loss 9840898.16250 | mean_bound_loss 0.64655 | entropy 2.1200 | gamma_reach 0.999663 | ent_coef 0.00067 | elapsed 28.61s
iter 00069 | success 0.208 | cost 80.9 | energy 389.2 | actor_loss 0.27365 | energy_loss 52.97311 | reach_loss 7766438.32500 | mean_bound_loss 0.62700 | entropy 2.1364 | gamma_reach 0.999673 | ent_coef 0.00066 | elapsed 28.51s
iter 00070 | success 0.169 | cost 80.7 | energy 359.0 | actor_loss 0.24081 | energy_loss 61.05542 | reach_loss 14877796.18750 | mean_bound_loss 1.41155 | entropy 2.1438 | gamma_reach 0.999683 | ent_coef 0.00065 | elapsed 28.09s
debug 00070 | std_mean 0.4949 | std_min 0.4848 | std_max 0.5000 | done_mean 0.8696 | energy_min_ratio 0.5037 | energy_neg_ratio 0.7753 | e_cons [6.094e+00, 8.000e+00] | first_emin_step 99.75 | act_clip_ratio 0.6460 | act_abs [1.718e+00, 9.929e+00] | act_mean_abs [1.674e+00, 8.971e+00] | act_mean_clip_ratio 0.6418 | clipped_act_abs [8.208e-01, 1.000e+00] | init_energy [-3.998e+02, 1.921e+02, 8.000e+02] | v_reach [-2.394e+04, 3.640e+03] | t_reach [-4.999e+03, 9.807e+02] | reach_clip_ratio 0.1881 | open_ratio 0.1304 | t_done [-3.000e+02, 9.807e+02] | t_open [-4.999e+03, 7.900e+02] | v_open [-2.369e+04, 3.573e+03] | tmin_src done 0 t 199 v -1.800e+04 next_v -5.000e+03 g -3.000e+02 h -3.000e+02 energy -4.000e+02 | adv_total_std 8.231e+02 | adv_open_std 7.080e+02
iter 00071 | success 0.067 | cost 57.3 | energy 280.3 | actor_loss 0.24850 | energy_loss 53.05336 | reach_loss 13671233.06250 | mean_bound_loss 1.37257 | entropy 2.1501 | gamma_reach 0.999693 | ent_coef 0.00065 | elapsed 28.02s
iter 00072 | success 0.055 | cost 51.2 | energy 281.1 | actor_loss 0.31509 | energy_loss 60.42742 | reach_loss 13392787.91250 | mean_bound_loss 2.22363 | entropy 2.1550 | gamma_reach 0.999703 | ent_coef 0.00065 | elapsed 28.23s
iter 00073 | success 0.050 | cost 51.5 | energy 295.2 | actor_loss 0.33006 | energy_loss 77.07864 | reach_loss 11087422.12500 | mean_bound_loss 2.34752 | entropy 2.1582 | gamma_reach 0.999713 | ent_coef 0.00064 | elapsed 28.09s
iter 00074 | success 0.055 | cost 54.6 | energy 297.4 | actor_loss 0.34369 | energy_loss 68.54378 | reach_loss 9220040.10000 | mean_bound_loss 1.52557 | entropy 2.1597 | gamma_reach 0.999723 | ent_coef 0.00064 | elapsed 28.23s
iter 00075 | success 0.013 | cost 30.8 | energy 175.3 | actor_loss 0.33520 | energy_loss 62.09614 | reach_loss 7472171.49375 | mean_bound_loss 0.45284 | entropy 2.1591 | gamma_reach 0.999733 | ent_coef 0.00063 | elapsed 28.31s
iter 00076 | success 0.011 | cost 25.8 | energy 137.0 | actor_loss 0.35291 | energy_loss 24.37920 | reach_loss 10302465.42500 | mean_bound_loss 0.48642 | entropy 2.1598 | gamma_reach 0.999742 | ent_coef 0.00063 | elapsed 27.77s
iter 00077 | success 0.023 | cost 39.0 | energy 203.3 | actor_loss 0.35665 | energy_loss 20.91433 | reach_loss 10311027.65000 | mean_bound_loss 0.40909 | entropy 2.1647 | gamma_reach 0.999752 | ent_coef 0.00062 | elapsed 28.21s
iter 00078 | success 0.020 | cost 18.6 | energy 120.5 | actor_loss 0.32674 | energy_loss 26.98719 | reach_loss 6660672.83750 | mean_bound_loss 0.22395 | entropy 2.1675 | gamma_reach 0.999762 | ent_coef 0.00061 | elapsed 28.24s
iter 00079 | success 0.024 | cost 55.5 | energy 242.6 | actor_loss 0.36561 | energy_loss 15.71874 | reach_loss 5287859.22500 | mean_bound_loss 0.67903 | entropy 2.1637 | gamma_reach 0.999772 | ent_coef 0.00061 | elapsed 28.26s
iter 00080 | success 0.010 | cost 26.6 | energy 110.0 | actor_loss 0.34168 | energy_loss 73.65295 | reach_loss 4056757.64688 | mean_bound_loss 0.91557 | entropy 2.1585 | gamma_reach 0.999782 | ent_coef 0.00060 | elapsed 28.37s
