iter 00001 | success 0.011 | cost 43.9 | energy 69.9 | reach_rate 0.011 | safe_rate 0.679 | unsafe_before_reach 0.000 | no_reach 0.989 | actor_loss 0.01787 | energy_loss 90.48900 | reach_loss 70965.86719 | mean_bound_loss 0.00000 | entropy 2.1751 | gamma_reach 0.999000 | ent_coef 0.00100 | elapsed 27.78s
iter 00002 | success 0.010 | cost 69.0 | energy 116.4 | reach_rate 0.010 | safe_rate 0.687 | unsafe_before_reach 0.000 | no_reach 0.990 | actor_loss -0.00010 | energy_loss 0.99033 | reach_loss 70620.77383 | mean_bound_loss 0.00000 | entropy 2.1681 | gamma_reach 0.999010 | ent_coef 0.00100 | elapsed 28.53s
iter 00003 | success 0.011 | cost 56.0 | energy 95.8 | reach_rate 0.011 | safe_rate 0.685 | unsafe_before_reach 0.000 | no_reach 0.989 | actor_loss -0.00018 | energy_loss 1.29800 | reach_loss 72072.15322 | mean_bound_loss 0.00000 | entropy 2.1644 | gamma_reach 0.999020 | ent_coef 0.00099 | elapsed 28.22s
iter 00004 | success 0.012 | cost 49.6 | energy 83.0 | reach_rate 0.012 | safe_rate 0.707 | unsafe_before_reach 0.000 | no_reach 0.988 | actor_loss 0.01485 | energy_loss 3.72449 | reach_loss 68775.28496 | mean_bound_loss 0.00000 | entropy 2.1684 | gamma_reach 0.999030 | ent_coef 0.00098 | elapsed 25.32s
iter 00005 | success 0.011 | cost 50.2 | energy 87.9 | reach_rate 0.011 | safe_rate 0.714 | unsafe_before_reach 0.000 | no_reach 0.989 | actor_loss 0.05951 | energy_loss 5.04080 | reach_loss 67607.28799 | mean_bound_loss 0.00000 | entropy 2.1726 | gamma_reach 0.999040 | ent_coef 0.00098 | elapsed 28.85s
iter 00006 | success 0.012 | cost 43.7 | energy 83.5 | reach_rate 0.012 | safe_rate 0.701 | unsafe_before_reach 0.000 | no_reach 0.988 | actor_loss 0.14718 | energy_loss 3.33189 | reach_loss 68569.09541 | mean_bound_loss 0.00115 | entropy 2.1763 | gamma_reach 0.999050 | ent_coef 0.00098 | elapsed 28.69s
iter 00007 | success 0.010 | cost 56.9 | energy 144.2 | reach_rate 0.010 | safe_rate 0.693 | unsafe_before_reach 0.000 | no_reach 0.990 | actor_loss 0.29293 | energy_loss 8.93044 | reach_loss 73473.46279 | mean_bound_loss 1.28595 | entropy 2.1740 | gamma_reach 0.999059 | ent_coef 0.00097 | elapsed 27.65s
iter 00008 | success 0.020 | cost 60.4 | energy 183.1 | reach_rate 0.020 | safe_rate 0.609 | unsafe_before_reach 0.000 | no_reach 0.980 | actor_loss 0.32017 | energy_loss 702.93506 | reach_loss 84431.80107 | mean_bound_loss 1.56754 | entropy 2.1710 | gamma_reach 0.999069 | ent_coef 0.00097 | elapsed 26.79s
iter 00009 | success 0.018 | cost 82.9 | energy 274.1 | reach_rate 0.018 | safe_rate 0.592 | unsafe_before_reach 0.000 | no_reach 0.982 | actor_loss 0.28213 | energy_loss 353.82283 | reach_loss 87881.56885 | mean_bound_loss 0.79474 | entropy 2.1761 | gamma_reach 0.999079 | ent_coef 0.00096 | elapsed 28.71s
iter 00010 | success 0.020 | cost 65.3 | energy 202.6 | reach_rate 0.021 | safe_rate 0.593 | unsafe_before_reach 0.001 | no_reach 0.979 | actor_loss 0.27644 | energy_loss 267.32113 | reach_loss 84741.77119 | mean_bound_loss 0.64504 | entropy 2.1774 | gamma_reach 0.999089 | ent_coef 0.00096 | elapsed 28.54s
debug 00010 | std_mean 0.5000 | std_min 0.5000 | std_max 0.5000 | done_mean 0.8191 | energy_min_ratio 0.3847 | energy_neg_ratio 0.7146 | e_cons [4.732e+00, 8.000e+00] | first_emin_step 123.67 | act_clip_ratio 0.4099 | act_abs [9.988e-01, 6.341e+00] | act_mean_abs [9.193e-01, 5.521e+00] | act_mean_clip_ratio 0.3471 | clipped_act_abs [6.911e-01, 1.000e+00] | act_mean_abs_dim [1.513e+00, 7.267e-01, 5.178e-01] | act_mean_clip_dim [0.6885, 0.2931, 0.0597] | clipped_act_abs_dim [8.435e-01, 6.629e-01, 5.668e-01] | init_energy [-3.999e+02, 2.105e+02, 7.999e+02] | v_reach [-5.935e+02, 9.059e+02] | t_reach [-5.586e+02, 9.305e+02] | reach_clip_ratio 0.0000 | open_ratio 0.1809 | t_done [-3.000e+02, 9.305e+02] | t_open [-5.586e+02, 7.754e+02] | v_open [-5.935e+02, 8.867e+02] | tmin_src done 0 t 199 v -5.477e+02 next_v -5.591e+02 g 9.932e+00 h -3.000e+02 energy -1.491e+02 | adv_total_std 2.228e+02 | adv_open_std 1.398e+02
iter 00011 | success 0.025 | cost 78.3 | energy 229.7 | reach_rate 0.026 | safe_rate 0.571 | unsafe_before_reach 0.001 | no_reach 0.974 | actor_loss 0.27201 | energy_loss 184.45914 | reach_loss 95722.70635 | mean_bound_loss 0.48298 | entropy 2.1774 | gamma_reach 0.999099 | ent_coef 0.00095 | elapsed 28.29s
iter 00012 | success 0.036 | cost 92.2 | energy 266.6 | reach_rate 0.037 | safe_rate 0.585 | unsafe_before_reach 0.002 | no_reach 0.963 | actor_loss 0.28762 | energy_loss 205.38249 | reach_loss 125517.27295 | mean_bound_loss 0.54232 | entropy 2.1773 | gamma_reach 0.999109 | ent_coef 0.00094 | elapsed 28.35s
iter 00013 | success 0.043 | cost 93.4 | energy 282.1 | reach_rate 0.047 | safe_rate 0.589 | unsafe_before_reach 0.003 | no_reach 0.953 | actor_loss 0.29119 | energy_loss 99.81214 | reach_loss 158081.82891 | mean_bound_loss 0.31097 | entropy 2.1774 | gamma_reach 0.999119 | ent_coef 0.00094 | elapsed 28.70s
iter 00014 | success 0.052 | cost 95.4 | energy 263.7 | reach_rate 0.062 | safe_rate 0.568 | unsafe_before_reach 0.010 | no_reach 0.938 | actor_loss 0.31057 | energy_loss 15.54721 | reach_loss 206852.54082 | mean_bound_loss 0.36042 | entropy 2.1774 | gamma_reach 0.999129 | ent_coef 0.00093 | elapsed 28.38s
