iter 00001 | success 0.013 | cost 40.8 | energy 341.2 | actor_loss 0.09791 | energy_loss 128.38062 | reach_loss 98024.91465 | entropy 4.2568 | gamma_reach 0.999000 | ent_coef 0.01000 | elapsed 25.28s
iter 00002 | success 0.020 | cost 51.8 | energy 501.2 | actor_loss 0.05397 | energy_loss 0.73430 | reach_loss 103521.96777 | entropy 4.2568 | gamma_reach 0.999001 | ent_coef 0.01000 | elapsed 26.45s
iter 00003 | success 0.040 | cost 58.3 | energy 464.3 | actor_loss 0.15821 | energy_loss 0.33230 | reach_loss 132280.38789 | entropy 4.2568 | gamma_reach 0.999003 | ent_coef 0.01000 | elapsed 26.92s
iter 00004 | success 0.029 | cost 22.6 | energy 450.2 | actor_loss 0.15998 | energy_loss 0.29608 | reach_loss 137841.60488 | entropy 4.2568 | gamma_reach 0.999004 | ent_coef 0.01000 | elapsed 27.41s
iter 00005 | success 0.018 | cost 16.8 | energy 421.1 | actor_loss 0.14941 | energy_loss 0.31969 | reach_loss 119159.70928 | entropy 4.2568 | gamma_reach 0.999005 | ent_coef 0.01000 | elapsed 27.39s
iter 00006 | success 0.024 | cost 35.6 | energy 492.9 | actor_loss 0.15928 | energy_loss 0.76819 | reach_loss 98009.57119 | entropy 4.2568 | gamma_reach 0.999007 | ent_coef 0.01000 | elapsed 27.46s
iter 00007 | success 0.028 | cost 56.8 | energy 490.3 | actor_loss 0.15805 | energy_loss 0.81974 | reach_loss 111377.98359 | entropy 4.2568 | gamma_reach 0.999008 | ent_coef 0.01000 | elapsed 27.60s
iter 00008 | success 0.084 | cost 96.0 | energy 551.4 | actor_loss 0.14427 | energy_loss 0.54395 | reach_loss 291270.43164 | entropy 4.2568 | gamma_reach 0.999009 | ent_coef 0.01000 | elapsed 27.77s
iter 00009 | success 0.025 | cost 27.7 | energy 390.0 | actor_loss 0.26525 | energy_loss 1.08687 | reach_loss 456156.15859 | entropy 4.2568 | gamma_reach 0.999011 | ent_coef 0.01000 | elapsed 27.95s
iter 00010 | success 0.127 | cost 100.9 | energy 569.4 | actor_loss 0.30902 | energy_loss 3.21411 | reach_loss 1024641.32109 | entropy 4.2568 | gamma_reach 0.999012 | ent_coef 0.01000 | elapsed 27.99s
iter 00011 | success 0.038 | cost 69.7 | energy 497.7 | actor_loss 0.34528 | energy_loss 0.13373 | reach_loss 1208801.10312 | entropy 4.2568 | gamma_reach 0.999013 | ent_coef 0.01000 | elapsed 27.85s
iter 00012 | success 0.051 | cost 54.1 | energy 574.4 | actor_loss 0.20917 | energy_loss 0.41040 | reach_loss 1408544.63125 | entropy 4.2568 | gamma_reach 0.999015 | ent_coef 0.01000 | elapsed 27.50s
iter 00013 | success 0.052 | cost 76.9 | energy 570.6 | actor_loss 0.28108 | energy_loss 0.77751 | reach_loss 2069006.12500 | entropy 4.2568 | gamma_reach 0.999016 | ent_coef 0.01000 | elapsed 27.83s
iter 00014 | success 0.049 | cost 66.7 | energy 551.6 | actor_loss 0.30943 | energy_loss 0.25315 | reach_loss 2329006.04375 | entropy 4.2568 | gamma_reach 0.999017 | ent_coef 0.01000 | elapsed 27.46s
iter 00015 | success 0.043 | cost 57.6 | energy 546.8 | actor_loss 0.31729 | energy_loss 0.26684 | reach_loss 2458494.20000 | entropy 4.2568 | gamma_reach 0.999018 | ent_coef 0.01000 | elapsed 27.59s
iter 00016 | success 0.038 | cost 55.7 | energy 523.8 | actor_loss 0.32963 | energy_loss 1.05448 | reach_loss 3051419.20938 | entropy 4.2568 | gamma_reach 0.999020 | ent_coef 0.01000 | elapsed 28.68s
iter 00017 | success 0.046 | cost 66.6 | energy 564.2 | actor_loss 0.34045 | energy_loss 0.22007 | reach_loss 5158080.70000 | entropy 4.2568 | gamma_reach 0.999021 | ent_coef 0.01000 | elapsed 27.61s
iter 00018 | success 0.052 | cost 71.4 | energy 556.5 | actor_loss 0.34177 | energy_loss 0.27147 | reach_loss 7872567.59375 | entropy 4.2568 | gamma_reach 0.999022 | ent_coef 0.01000 | elapsed 27.58s
iter 00019 | success 0.049 | cost 70.6 | energy 581.3 | actor_loss 0.34707 | energy_loss 1.25207 | reach_loss 11362931.78750 | entropy 4.2568 | gamma_reach 0.999024 | ent_coef 0.01000 | elapsed 27.53s
iter 00020 | success 0.045 | cost 62.6 | energy 496.2 | actor_loss 0.35317 | energy_loss 0.37134 | reach_loss 17819808.42500 | entropy 4.2568 | gamma_reach 0.999025 | ent_coef 0.01000 | elapsed 27.46s
iter 00021 | success 0.048 | cost 62.7 | energy 518.4 | actor_loss 0.35714 | energy_loss 0.68197 | reach_loss 24938257.52500 | entropy 4.2568 | gamma_reach 0.999026 | ent_coef 0.01000 | elapsed 27.46s
iter 00022 | success 0.055 | cost 68.9 | energy 514.3 | actor_loss 0.35919 | energy_loss 2.84525 | reach_loss 33699192.90000 | entropy 4.2568 | gamma_reach 0.999028 | ent_coef 0.01000 | elapsed 27.49s
iter 00023 | success 0.071 | cost 82.4 | energy 540.9 | actor_loss 0.35867 | energy_loss 1.11170 | reach_loss 50949437.30000 | entropy 4.2568 | gamma_reach 0.999029 | ent_coef 0.01000 | elapsed 27.52s
iter 00024 | success 0.042 | cost 53.5 | energy 556.3 | actor_loss 0.36195 | energy_loss 0.31189 | reach_loss 70963699.60000 | entropy 4.2568 | gamma_reach 0.999030 | ent_coef 0.01000 | elapsed 27.64s
iter 00025 | success 0.040 | cost 45.6 | energy 537.0 | actor_loss 0.36160 | energy_loss 0.30292 | reach_loss 170254774.00000 | entropy 4.2568 | gamma_reach 0.999032 | ent_coef 0.01000 | elapsed 27.49s
iter 00026 | success 0.052 | cost 54.6 | energy 544.4 | actor_loss 0.36206 | energy_loss 0.31694 | reach_loss 315414908.00000 | entropy 4.2568 | gamma_reach 0.999033 | ent_coef 0.01000 | elapsed 27.41s
iter 00027 | success 0.128 | cost 103.6 | energy 600.5 | actor_loss 0.35170 | energy_loss 1.95459 | reach_loss 468312593.20000 | entropy 4.2568 | gamma_reach 0.999034 | ent_coef 0.01000 | elapsed 27.49s
iter 00028 | success 0.078 | cost 97.7 | energy 558.8 | actor_loss 0.34170 | energy_loss 3.32562 | reach_loss 250633534.60000 | entropy 4.2568 | gamma_reach 0.999036 | ent_coef 0.01000 | elapsed 27.41s
iter 00029 | success 0.096 | cost 102.9 | energy 522.1 | actor_loss 0.34990 | energy_loss 15.63194 | reach_loss 258046029.20000 | entropy 4.2568 | gamma_reach 0.999037 | ent_coef 0.01000 | elapsed 27.42s
iter 00030 | success 0.068 | cost 105.9 | energy 502.3 | actor_loss 0.35614 | energy_loss 9.34609 | reach_loss 278265440.00000 | entropy 4.2568 | gamma_reach 0.999038 | ent_coef 0.01000 | elapsed 27.61s
iter 00031 | success 0.033 | cost 55.9 | energy 507.8 | actor_loss 0.37383 | energy_loss 3.27291 | reach_loss 599216347.20000 | entropy 4.2568 | gamma_reach 0.999040 | ent_coef 0.01000 | elapsed 27.62s
