iter 00001 | success 0.011 | cost 43.9 | energy 69.9 | actor_loss 0.11050 | energy_loss 90.48900 | reach_loss 70877.43232 | entropy 2.1949 | gamma_reach 0.999000 | ent_coef 0.00100 | elapsed 25.84s
iter 00002 | success 0.007 | cost 52.3 | energy 101.2 | actor_loss 0.06957 | energy_loss 1.01807 | reach_loss 85703.86006 | entropy 2.1504 | gamma_reach 0.999020 | ent_coef 0.00099 | elapsed 27.00s
iter 00003 | success 0.005 | cost 16.5 | energy 51.7 | actor_loss 0.17584 | energy_loss 1.66627 | reach_loss 93586.10381 | entropy 2.1217 | gamma_reach 0.999040 | ent_coef 0.00098 | elapsed 27.32s
iter 00004 | success 0.014 | cost 13.4 | energy 72.9 | actor_loss 0.20101 | energy_loss 3.30846 | reach_loss 96922.91777 | entropy 2.0530 | gamma_reach 0.999059 | ent_coef 0.00097 | elapsed 27.49s
iter 00005 | success 0.014 | cost 8.8 | energy 63.8 | actor_loss 0.20134 | energy_loss 7.09999 | reach_loss 137136.55723 | entropy 1.9784 | gamma_reach 0.999079 | ent_coef 0.00096 | elapsed 27.66s
iter 00006 | success 0.016 | cost 8.2 | energy 61.9 | actor_loss 0.15233 | energy_loss 3.76174 | reach_loss 244710.94102 | entropy 1.8829 | gamma_reach 0.999099 | ent_coef 0.00095 | elapsed 27.78s
iter 00007 | success 0.011 | cost 12.7 | energy 90.2 | actor_loss 0.16185 | energy_loss 2.22386 | reach_loss 1275825.15625 | entropy 1.8043 | gamma_reach 0.999119 | ent_coef 0.00094 | elapsed 27.95s
iter 00008 | success 0.007 | cost 13.2 | energy 64.5 | actor_loss 0.23637 | energy_loss 1.70298 | reach_loss 4190511.37812 | entropy 1.7048 | gamma_reach 0.999139 | ent_coef 0.00093 | elapsed 28.04s
iter 00009 | success 0.009 | cost 27.6 | energy 190.8 | actor_loss 0.22335 | energy_loss 1.60205 | reach_loss 14316399.22500 | entropy 1.6335 | gamma_reach 0.999158 | ent_coef 0.00092 | elapsed 27.86s
iter 00010 | success 0.009 | cost 27.4 | energy 81.9 | actor_loss 0.22985 | energy_loss 2.39848 | reach_loss 38907830.10000 | entropy 1.6125 | gamma_reach 0.999178 | ent_coef 0.00091 | elapsed 28.13s
debug 00010 | std_mean 0.4154 | std_min 0.3442 | std_max 0.4641 | done_mean 0.9036 | energy_min_ratio 0.5773 | energy_neg_ratio 0.8125 | e_cons [7.151e+00, 8.000e+00] | first_emin_step 84.96 | act_clip_ratio 0.8140 | init_energy [-3.996e+02, 2.041e+02, 7.996e+02] | v_reach [-5.470e+04, 2.033e+01] | t_reach [-4.996e+03, 9.630e+02] | reach_clip_ratio 0.3236 | open_ratio 0.0964 | t_done [-3.000e+02, 9.630e+02] | t_open [-4.996e+03, 7.530e+02] | v_open [-3.608e+04, 2.033e+01] | tmin_src done 0 t 199 v -2.069e+03 next_v -5.000e+03 g 2.954e+02 h -3.000e+02 energy -4.000e+02 | adv_total_std 2.321e+02 | adv_open_std 7.467e+01
iter 00011 | success 0.008 | cost 26.9 | energy 107.5 | actor_loss 0.25214 | energy_loss 3.24528 | reach_loss 34245529.35000 | entropy 1.6670 | gamma_reach 0.999198 | ent_coef 0.00090 | elapsed 28.01s
iter 00012 | success 0.007 | cost 11.9 | energy 43.9 | actor_loss 0.27277 | energy_loss 2.73866 | reach_loss 36533869.00000 | entropy 1.7653 | gamma_reach 0.999218 | ent_coef 0.00089 | elapsed 28.54s
iter 00013 | success 0.008 | cost 51.1 | energy 149.3 | actor_loss 0.29436 | energy_loss 12.30179 | reach_loss 39608144.15000 | entropy 1.8639 | gamma_reach 0.999238 | ent_coef 0.00088 | elapsed 29.06s
iter 00014 | success 0.009 | cost 26.9 | energy 92.6 | actor_loss 0.30170 | energy_loss 15.95218 | reach_loss 44164563.45000 | entropy 1.9645 | gamma_reach 0.999257 | ent_coef 0.00087 | elapsed 28.94s
iter 00015 | success 0.008 | cost 54.0 | energy 182.6 | actor_loss 0.31355 | energy_loss 12.77833 | reach_loss 44123000.10000 | entropy 2.0796 | gamma_reach 0.999277 | ent_coef 0.00086 | elapsed 28.94s
iter 00016 | success 0.004 | cost 17.9 | energy 91.0 | actor_loss 0.31504 | energy_loss 15.07535 | reach_loss 42723921.75000 | entropy 2.2110 | gamma_reach 0.999297 | ent_coef 0.00085 | elapsed 28.53s
iter 00017 | success 0.008 | cost 8.9 | energy 12.9 | actor_loss 0.30818 | energy_loss 12.85490 | reach_loss 63464160.65000 | entropy 2.3579 | gamma_reach 0.999317 | ent_coef 0.00084 | elapsed 28.18s
iter 00018 | success 0.007 | cost 10.8 | energy 56.4 | actor_loss 0.30182 | energy_loss 9.51120 | reach_loss 69964990.50000 | entropy 2.5257 | gamma_reach 0.999337 | ent_coef 0.00083 | elapsed 28.16s
iter 00019 | success 0.004 | cost 8.9 | energy 68.2 | actor_loss 0.31432 | energy_loss 7.90085 | reach_loss 77278051.10000 | entropy 2.6760 | gamma_reach 0.999356 | ent_coef 0.00082 | elapsed 27.96s
