iter 00001 | success 0.010 | cost 38.0 | energy 234.7 | actor_loss 0.19152 | energy_loss 119.75221 | reach_loss 94795.82393 | entropy 2.1751 | gamma_reach 0.999000 | ent_coef 0.00100 | elapsed 24.36s
iter 00002 | success 0.032 | cost 86.4 | energy 556.6 | actor_loss 0.16456 | energy_loss 0.67660 | reach_loss 93621.70713 | entropy 2.1435 | gamma_reach 0.999001 | ent_coef 0.00100 | elapsed 26.50s
iter 00003 | success 0.042 | cost 53.2 | energy 548.8 | actor_loss 0.23449 | energy_loss 0.28928 | reach_loss 109065.25693 | entropy 2.2276 | gamma_reach 0.999003 | ent_coef 0.00100 | elapsed 27.61s
iter 00004 | success 0.048 | cost 57.5 | energy 571.0 | actor_loss 0.16895 | energy_loss 0.38027 | reach_loss 107711.33711 | entropy 2.2434 | gamma_reach 0.999004 | ent_coef 0.00100 | elapsed 27.69s
iter 00005 | success 0.026 | cost 35.2 | energy 467.4 | actor_loss 0.30749 | energy_loss 0.23285 | reach_loss 105434.17441 | entropy 2.3088 | gamma_reach 0.999005 | ent_coef 0.00100 | elapsed 27.91s
iter 00006 | success 0.017 | cost 8.8 | energy 326.6 | actor_loss 0.29066 | energy_loss 0.21817 | reach_loss 126552.86045 | entropy 2.3121 | gamma_reach 0.999007 | ent_coef 0.00100 | elapsed 28.14s
iter 00007 | success 0.018 | cost 41.9 | energy 373.6 | actor_loss 0.30816 | energy_loss 0.22120 | reach_loss 158073.49141 | entropy 2.3246 | gamma_reach 0.999008 | ent_coef 0.00100 | elapsed 27.47s
iter 00008 | success 0.014 | cost 9.9 | energy 439.1 | actor_loss 0.34271 | energy_loss 0.33829 | reach_loss 162745.54082 | entropy 2.4001 | gamma_reach 0.999009 | ent_coef 0.00100 | elapsed 27.91s
iter 00009 | success 0.012 | cost 7.8 | energy 311.2 | actor_loss 0.33164 | energy_loss 0.20909 | reach_loss 180199.48340 | entropy 2.5672 | gamma_reach 0.999011 | ent_coef 0.00099 | elapsed 28.18s
iter 00010 | success 0.011 | cost 10.0 | energy 327.7 | actor_loss 0.31042 | energy_loss 0.25528 | reach_loss 193770.75020 | entropy 2.6800 | gamma_reach 0.999012 | ent_coef 0.00099 | elapsed 27.96s
debug 00010 | std_mean 0.6034 | std_min 0.5786 | std_max 0.6348 | done_mean 0.9942 | energy_min_ratio 0.9717 | energy_neg_ratio 0.9867 | v_reach [-2.156e+03, 1.067e+02] | t_reach [-8.291e+02, 9.823e+02] | reach_clip_ratio 0.0000 | open_ratio 0.0058 | t_done [-3.000e+02, 9.823e+02] | t_open [-8.291e+02, 7.455e+02] | v_open [-1.031e+03, 1.022e+02] | tmin_src done 0 t 199 v -7.781e+02 next_v -8.303e+02 g 3.927e+02 h -3.000e+02 energy -4.000e+02 | adv_total_std 1.217e+02 | adv_open_std 8.201e+01
iter 00011 | success 0.009 | cost 13.8 | energy 275.4 | actor_loss 0.31746 | energy_loss 0.31338 | reach_loss 220293.44434 | entropy 2.8102 | gamma_reach 0.999013 | ent_coef 0.00099 | elapsed 28.11s
iter 00012 | success 0.020 | cost 34.2 | energy 364.0 | actor_loss 0.32274 | energy_loss 0.43541 | reach_loss 230054.54199 | entropy 2.9545 | gamma_reach 0.999015 | ent_coef 0.00099 | elapsed 28.25s
iter 00013 | success 0.017 | cost 61.0 | energy 459.1 | actor_loss 0.32272 | energy_loss 0.35118 | reach_loss 203266.84434 | entropy 3.0862 | gamma_reach 0.999016 | ent_coef 0.00099 | elapsed 28.48s
