iter 00001 | success 0.013 | cost 40.8 | energy 341.2 | actor_loss 0.24772 | energy_loss 128.38062 | reach_loss 98024.91465 | entropy 4.3051 | gamma_reach 0.999000 | ent_coef 0.01000 | elapsed 26.21s
iter 00002 | success 0.023 | cost 38.8 | energy 493.5 | actor_loss 0.29099 | energy_loss 0.38181 | reach_loss 108326.49395 | entropy 4.4466 | gamma_reach 0.999001 | ent_coef 0.01000 | elapsed 25.07s
iter 00003 | success 0.035 | cost 35.0 | energy 450.1 | actor_loss 0.30887 | energy_loss 0.24277 | reach_loss 104275.82891 | entropy 4.6737 | gamma_reach 0.999003 | ent_coef 0.01000 | elapsed 27.12s
iter 00004 | success 0.034 | cost 48.8 | energy 520.2 | actor_loss 0.28707 | energy_loss 0.40934 | reach_loss 102977.91416 | entropy 4.8617 | gamma_reach 0.999004 | ent_coef 0.01000 | elapsed 28.22s
iter 00005 | success 0.032 | cost 43.6 | energy 492.0 | actor_loss 0.12004 | energy_loss 0.39239 | reach_loss 111901.33975 | entropy 4.9810 | gamma_reach 0.999005 | ent_coef 0.01000 | elapsed 26.78s
iter 00006 | success 0.030 | cost 43.2 | energy 538.2 | actor_loss 0.03283 | energy_loss 0.28275 | reach_loss 106795.55791 | entropy 4.9966 | gamma_reach 0.999007 | ent_coef 0.01000 | elapsed 26.12s
iter 00007 | success 0.040 | cost 48.8 | energy 575.7 | actor_loss 0.01988 | energy_loss 0.22607 | reach_loss 110673.11953 | entropy 4.9882 | gamma_reach 0.999008 | ent_coef 0.01000 | elapsed 26.67s
iter 00008 | success 0.051 | cost 60.5 | energy 565.1 | actor_loss 0.03069 | energy_loss 0.21686 | reach_loss 111722.11357 | entropy 4.9833 | gamma_reach 0.999009 | ent_coef 0.01000 | elapsed 29.01s
iter 00009 | success 0.063 | cost 72.1 | energy 564.2 | actor_loss 0.06172 | energy_loss 0.24767 | reach_loss 127657.86084 | entropy 4.9995 | gamma_reach 0.999011 | ent_coef 0.01000 | elapsed 26.13s
iter 00010 | success 0.065 | cost 87.9 | energy 561.7 | actor_loss 0.10023 | energy_loss 0.28070 | reach_loss 137473.61797 | entropy 5.0312 | gamma_reach 0.999012 | ent_coef 0.01000 | elapsed 27.89s
debug 00010 | std_mean 1.3076 | std_min 1.2437 | std_max 1.3638 | done_mean 0.9890 | energy_min_ratio 0.9691 | energy_neg_ratio 0.9856 | v_reach [-9.781e+02, 3.229e+02] | t_reach [-4.063e+02, 1.372e+03] | adv_total_std 1.324e+02
