iter 00001 | success 0.019 | cost 48.7 | energy 384.9 | actor_loss 0.34333 | energy_loss 539.39397 | reach_loss 98305.73486 | entropy 4.2568 | gamma_reach 0.999000 | ent_coef 0.01000 | elapsed 15.82s
iter 00002 | success 0.020 | cost 31.4 | energy 506.6 | actor_loss 0.09427 | energy_loss 235.10769 | reach_loss 104477.10078 | entropy 4.2568 | gamma_reach 0.999040 | ent_coef 0.01000 | elapsed 15.03s
iter 00003 | success 0.020 | cost 44.8 | energy 396.8 | actor_loss 0.06187 | energy_loss 161.03939 | reach_loss 110475.38447 | entropy 4.2568 | gamma_reach 0.999079 | ent_coef 0.01000 | elapsed 17.19s
iter 00004 | success 0.009 | cost 0.9 | energy 90.5 | actor_loss 0.13855 | energy_loss 132.95168 | reach_loss 120182.93506 | entropy 4.2568 | gamma_reach 0.999119 | ent_coef 0.01000 | elapsed 17.36s
iter 00005 | success 0.004 | cost 0.0 | energy 94.2 | actor_loss 0.09856 | energy_loss 153.95804 | reach_loss 115792.55381 | entropy 4.2568 | gamma_reach 0.999158 | ent_coef 0.01000 | elapsed 17.77s
iter 00006 | success 0.007 | cost 39.4 | energy 284.8 | actor_loss 0.08204 | energy_loss 151.07481 | reach_loss 119315.12676 | entropy 4.2568 | gamma_reach 0.999198 | ent_coef 0.01000 | elapsed 17.76s
iter 00007 | success 0.013 | cost 26.2 | energy 382.1 | actor_loss 0.10655 | energy_loss 160.36265 | reach_loss 115571.49492 | entropy 4.2568 | gamma_reach 0.999238 | ent_coef 0.01000 | elapsed 17.79s
iter 00008 | success 0.012 | cost 13.2 | energy 154.6 | actor_loss 0.15469 | energy_loss 158.56794 | reach_loss 109058.26484 | entropy 4.2568 | gamma_reach 0.999277 | ent_coef 0.01000 | elapsed 17.74s
iter 00009 | success 0.034 | cost 110.8 | energy 548.4 | actor_loss 0.13362 | energy_loss 138.72973 | reach_loss 110286.32168 | entropy 4.2568 | gamma_reach 0.999317 | ent_coef 0.01000 | elapsed 17.76s
iter 00010 | success 0.027 | cost 61.7 | energy 563.9 | actor_loss 0.13334 | energy_loss 131.98678 | reach_loss 135603.87441 | entropy 4.2568 | gamma_reach 0.999356 | ent_coef 0.01000 | elapsed 17.71s
iter 00011 | success 0.024 | cost 29.4 | energy 523.9 | actor_loss 0.20684 | energy_loss 233.63445 | reach_loss 194584.00059 | entropy 4.2568 | gamma_reach 0.999396 | ent_coef 0.01000 | elapsed 17.75s
iter 00012 | success 0.016 | cost 9.4 | energy 361.2 | actor_loss 0.30772 | energy_loss 177.21978 | reach_loss 297647.51680 | entropy 4.2568 | gamma_reach 0.999436 | ent_coef 0.01000 | elapsed 17.12s
iter 00013 | success 0.035 | cost 44.1 | energy 571.9 | actor_loss 0.28337 | energy_loss 358.06269 | reach_loss 339930.85078 | entropy 4.2568 | gamma_reach 0.999475 | ent_coef 0.01000 | elapsed 17.40s
iter 00014 | success 0.061 | cost 69.8 | energy 490.9 | actor_loss 0.25865 | energy_loss 1593.90163 | reach_loss 366699.20156 | entropy 4.2568 | gamma_reach 0.999515 | ent_coef 0.01000 | elapsed 17.72s
iter 00015 | success 0.274 | cost 85.9 | energy 610.8 | actor_loss 0.24515 | energy_loss 11833.15427 | reach_loss 444229.54219 | entropy 4.2568 | gamma_reach 0.999554 | ent_coef 0.01000 | elapsed 17.67s
iter 00016 | success 0.041 | cost 21.1 | energy 536.4 | actor_loss 0.24439 | energy_loss 20647.71138 | reach_loss 317378.01562 | entropy 4.2568 | gamma_reach 0.999594 | ent_coef 0.01000 | elapsed 17.67s
iter 00017 | success 0.092 | cost 76.4 | energy 505.2 | actor_loss 0.26353 | energy_loss 94993.66182 | reach_loss 413618.82891 | entropy 4.2568 | gamma_reach 0.999634 | ent_coef 0.01000 | elapsed 17.79s
iter 00018 | success 0.228 | cost 97.8 | energy 576.4 | actor_loss 0.28854 | energy_loss 673845.20391 | reach_loss 496942.10078 | entropy 4.2568 | gamma_reach 0.999673 | ent_coef 0.01000 | elapsed 17.76s
iter 00019 | success 0.277 | cost 78.9 | energy 547.7 | actor_loss 0.24335 | energy_loss 2294891.48125 | reach_loss 485024.31992 | entropy 4.2568 | gamma_reach 0.999713 | ent_coef 0.01000 | elapsed 17.91s
iter 00020 | success 0.244 | cost 101.4 | energy 582.4 | actor_loss 0.23679 | energy_loss 7605774.60625 | reach_loss 514326.04688 | entropy 4.2568 | gamma_reach 0.999752 | ent_coef 0.01000 | elapsed 17.97s
iter 00021 | success 0.144 | cost 91.7 | energy 582.8 | actor_loss 0.25575 | energy_loss 7774422.38125 | reach_loss 308470.99492 | entropy 4.2568 | gamma_reach 0.999792 | ent_coef 0.01000 | elapsed 17.98s
iter 00022 | success 0.047 | cost 47.4 | energy 451.3 | actor_loss 0.28472 | energy_loss 10390008.43750 | reach_loss 369032.90508 | entropy 4.2568 | gamma_reach 0.999832 | ent_coef 0.01000 | elapsed 17.89s
iter 00023 | success 0.030 | cost 34.7 | energy 530.2 | actor_loss 0.31631 | energy_loss 12487650.55000 | reach_loss 253541.41445 | entropy 4.2568 | gamma_reach 0.999871 | ent_coef 0.01000 | elapsed 17.73s
iter 00024 | success 0.017 | cost 15.0 | energy 440.1 | actor_loss 0.30336 | energy_loss 13889099.27500 | reach_loss 132690.30986 | entropy 4.2568 | gamma_reach 0.999911 | ent_coef 0.01000 | elapsed 17.71s
iter 00025 | success 0.147 | cost 59.5 | energy 554.4 | actor_loss 0.29979 | energy_loss 54538088.75000 | reach_loss 273983.76836 | entropy 4.2568 | gamma_reach 0.999950 | ent_coef 0.01000 | elapsed 17.82s
iter 00026 | success 0.032 | cost 33.5 | energy 496.9 | actor_loss 0.31478 | energy_loss 120882652.60000 | reach_loss 362810.80977 | entropy 4.2568 | gamma_reach 0.999990 | ent_coef 0.01000 | elapsed 17.75s
iter 00027 | success 0.038 | cost 36.7 | energy 634.0 | actor_loss 0.31086 | energy_loss 188051911.20000 | reach_loss 383714.81602 | entropy 4.2568 | gamma_reach 0.999990 | ent_coef 0.01000 | elapsed 17.73s
iter 00028 | success 0.035 | cost 33.1 | energy 562.8 | actor_loss 0.30749 | energy_loss 259481078.80000 | reach_loss 375855.10430 | entropy 4.2568 | gamma_reach 0.999990 | ent_coef 0.01000 | elapsed 17.76s
iter 00029 | success 0.032 | cost 40.0 | energy 588.0 | actor_loss 0.30372 | energy_loss 468327496.40000 | reach_loss 351149.86719 | entropy 4.2568 | gamma_reach 0.999990 | ent_coef 0.01000 | elapsed 16.00s
iter 00030 | success 0.040 | cost 36.0 | energy 483.5 | actor_loss 0.27607 | energy_loss 1019507418.40000 | reach_loss 359662.24570 | entropy 4.2568 | gamma_reach 0.999990 | ent_coef 0.01000 | elapsed 17.58s
iter 00031 | success 0.025 | cost 51.4 | energy 668.1 | actor_loss 0.26560 | energy_loss 1387809801.60000 | reach_loss 366498.27031 | entropy 4.2568 | gamma_reach 0.999990 | ent_coef 0.01000 | elapsed 17.68s
iter 00032 | success 0.036 | cost 26.2 | energy 476.9 | actor_loss 0.29974 | energy_loss 1989018019.20000 | reach_loss 409043.98281 | entropy 4.2568 | gamma_reach 0.999990 | ent_coef 0.01000 | elapsed 17.73s
iter 00033 | success 0.027 | cost 25.0 | energy 402.3 | actor_loss 0.28483 | energy_loss 3006348016.00000 | reach_loss 425362.58164 | entropy 4.2568 | gamma_reach 0.999990 | ent_coef 0.01000 | elapsed 17.78s
iter 00034 | success 0.042 | cost 23.0 | energy 458.0 | actor_loss 0.29367 | energy_loss 3904512182.40000 | reach_loss 410877.24883 | entropy 4.2568 | gamma_reach 0.999990 | ent_coef 0.01000 | elapsed 17.70s
iter 00035 | success 0.039 | cost 28.5 | energy 466.7 | actor_loss 0.28248 | energy_loss 7683725248.00000 | reach_loss 410819.66836 | entropy 4.2568 | gamma_reach 0.999990 | ent_coef 0.01000 | elapsed 17.78s
iter 00036 | success 0.039 | cost 38.8 | energy 516.7 | actor_loss 0.30336 | energy_loss 11650298944.00000 | reach_loss 385200.91250 | entropy 4.2568 | gamma_reach 0.999990 | ent_coef 0.01000 | elapsed 17.77s
iter 00037 | success 0.145 | cost 93.2 | energy 565.0 | actor_loss 0.28881 | energy_loss 15238967948.80000 | reach_loss 522653.23125 | entropy 4.2568 | gamma_reach 0.999990 | ent_coef 0.01000 | elapsed 17.88s
