iter 00001 | success 0.019 | cost 48.7 | energy 384.9 | actor_loss 0.34333 | energy_loss 148.94891 | reach_loss 98305.73486 | entropy 4.2568 | gamma_reach 0.999000 | ent_coef 0.01000 | elapsed 12.73s
iter 00002 | success 0.020 | cost 31.4 | energy 506.6 | actor_loss 0.08864 | energy_loss 0.72323 | reach_loss 104477.10078 | entropy 4.2568 | gamma_reach 0.999040 | ent_coef 0.01000 | elapsed 16.72s
iter 00003 | success 0.021 | cost 52.4 | energy 436.5 | actor_loss 0.04325 | energy_loss 0.73786 | reach_loss 111200.21182 | entropy 4.2568 | gamma_reach 0.999079 | ent_coef 0.01000 | elapsed 18.17s
iter 00004 | success 0.024 | cost 24.3 | energy 382.5 | actor_loss 0.12063 | energy_loss 0.27258 | reach_loss 145243.22656 | entropy 4.2568 | gamma_reach 0.999119 | ent_coef 0.01000 | elapsed 18.01s
iter 00005 | success 0.017 | cost 41.5 | energy 413.3 | actor_loss 0.08506 | energy_loss 0.19950 | reach_loss 149532.11133 | entropy 4.2568 | gamma_reach 0.999158 | ent_coef 0.01000 | elapsed 18.25s
iter 00006 | success 0.057 | cost 81.4 | energy 580.3 | actor_loss 0.06467 | energy_loss 0.46281 | reach_loss 142326.77754 | entropy 4.2568 | gamma_reach 0.999198 | ent_coef 0.01000 | elapsed 18.14s
iter 00007 | success 0.028 | cost 60.3 | energy 576.0 | actor_loss 0.04023 | energy_loss 0.56580 | reach_loss 129714.16523 | entropy 4.2568 | gamma_reach 0.999238 | ent_coef 0.01000 | elapsed 17.97s
iter 00008 | success 0.024 | cost 37.6 | energy 405.0 | actor_loss 0.06713 | energy_loss 0.28248 | reach_loss 151561.53203 | entropy 4.2568 | gamma_reach 0.999277 | ent_coef 0.01000 | elapsed 17.93s
iter 00009 | success 0.037 | cost 40.4 | energy 560.7 | actor_loss 0.14165 | energy_loss 0.67541 | reach_loss 148238.03301 | entropy 4.2568 | gamma_reach 0.999317 | ent_coef 0.01000 | elapsed 17.80s
iter 00010 | success 0.028 | cost 17.8 | energy 543.0 | actor_loss 0.16945 | energy_loss 8.84976 | reach_loss 173418.61289 | entropy 4.2568 | gamma_reach 0.999356 | ent_coef 0.01000 | elapsed 15.22s
iter 00011 | success 0.076 | cost 89.4 | energy 561.2 | actor_loss 0.21453 | energy_loss 34.78890 | reach_loss 176794.66328 | entropy 4.2568 | gamma_reach 0.999396 | ent_coef 0.01000 | elapsed 14.39s
iter 00012 | success 0.148 | cost 91.2 | energy 570.7 | actor_loss 0.18385 | energy_loss 5.40701 | reach_loss 169711.54707 | entropy 4.2568 | gamma_reach 0.999436 | ent_coef 0.01000 | elapsed 13.57s
iter 00013 | success 0.072 | cost 90.5 | energy 591.1 | actor_loss 0.19690 | energy_loss 4.24254 | reach_loss 172812.83262 | entropy 4.2568 | gamma_reach 0.999475 | ent_coef 0.01000 | elapsed 18.09s
iter 00014 | success 0.065 | cost 64.3 | energy 591.9 | actor_loss 0.25380 | energy_loss 2.91020 | reach_loss 144403.69785 | entropy 4.2568 | gamma_reach 0.999515 | ent_coef 0.01000 | elapsed 18.11s
iter 00015 | success 0.072 | cost 61.1 | energy 553.0 | actor_loss 0.32704 | energy_loss 2.13428 | reach_loss 123551.35830 | entropy 4.2568 | gamma_reach 0.999554 | ent_coef 0.01000 | elapsed 18.10s
iter 00016 | success 0.066 | cost 53.5 | energy 537.0 | actor_loss 0.30766 | energy_loss 1.65387 | reach_loss 94611.45010 | entropy 4.2568 | gamma_reach 0.999594 | ent_coef 0.01000 | elapsed 18.14s
iter 00017 | success 0.065 | cost 65.2 | energy 563.3 | actor_loss 0.26318 | energy_loss 0.62812 | reach_loss 92637.12393 | entropy 4.2568 | gamma_reach 0.999634 | ent_coef 0.01000 | elapsed 18.14s
iter 00018 | success 0.036 | cost 40.5 | energy 632.2 | actor_loss 0.24220 | energy_loss 0.45649 | reach_loss 80209.49424 | entropy 4.2568 | gamma_reach 0.999673 | ent_coef 0.01000 | elapsed 18.07s
iter 00019 | success 0.037 | cost 45.1 | energy 507.1 | actor_loss 0.20135 | energy_loss 1.66346 | reach_loss 71656.39717 | entropy 4.2568 | gamma_reach 0.999713 | ent_coef 0.01000 | elapsed 18.14s
iter 00020 | success 0.045 | cost 45.9 | energy 491.6 | actor_loss 0.20116 | energy_loss 2.16710 | reach_loss 84566.47139 | entropy 4.2568 | gamma_reach 0.999752 | ent_coef 0.01000 | elapsed 18.09s
iter 00021 | success 0.051 | cost 32.4 | energy 581.0 | actor_loss 0.18509 | energy_loss 0.95135 | reach_loss 90894.27676 | entropy 4.2568 | gamma_reach 0.999792 | ent_coef 0.01000 | elapsed 18.17s
iter 00022 | success 0.066 | cost 58.2 | energy 546.8 | actor_loss 0.21584 | energy_loss 5.83973 | reach_loss 97770.20967 | entropy 4.2568 | gamma_reach 0.999832 | ent_coef 0.01000 | elapsed 18.31s
iter 00023 | success 0.084 | cost 73.0 | energy 563.7 | actor_loss 0.32100 | energy_loss 4.51348 | reach_loss 111891.21172 | entropy 4.2568 | gamma_reach 0.999871 | ent_coef 0.01000 | elapsed 18.20s
iter 00024 | success 0.050 | cost 35.2 | energy 493.5 | actor_loss 0.34618 | energy_loss 2.11194 | reach_loss 118773.76230 | entropy 4.2568 | gamma_reach 0.999911 | ent_coef 0.01000 | elapsed 18.15s
iter 00025 | success 0.221 | cost 66.2 | energy 551.0 | actor_loss 0.34624 | energy_loss 0.36972 | reach_loss 72433.16602 | entropy 4.2568 | gamma_reach 0.999950 | ent_coef 0.01000 | elapsed 18.20s
iter 00026 | success 0.194 | cost 60.6 | energy 589.1 | actor_loss 0.34575 | energy_loss 0.18623 | reach_loss 78445.02510 | entropy 4.2568 | gamma_reach 0.999990 | ent_coef 0.01000 | elapsed 18.12s
iter 00027 | success 0.098 | cost 60.7 | energy 523.7 | actor_loss 0.34943 | energy_loss 7.96739 | reach_loss 140916.37930 | entropy 4.2568 | gamma_reach 0.999990 | ent_coef 0.01000 | elapsed 18.28s
