iter 00001 | success 0.011 | cost 43.9 | energy 69.9 | actor_loss 0.14577 | energy_loss 90.48900 | reach_loss 70877.43232 | entropy 2.1773 | gamma_reach 0.999000 | ent_coef 0.00100 | elapsed 25.02s
iter 00002 | success 0.010 | cost 66.9 | energy 115.1 | actor_loss 0.02393 | energy_loss 1.01156 | reach_loss 70402.23887 | entropy 2.1693 | gamma_reach 0.999013 | ent_coef 0.00099 | elapsed 26.41s
iter 00003 | success 0.011 | cost 55.7 | energy 94.4 | actor_loss 0.01565 | energy_loss 0.82267 | reach_loss 69563.42656 | entropy 2.1414 | gamma_reach 0.999026 | ent_coef 0.00099 | elapsed 26.86s
iter 00004 | success 0.023 | cost 57.1 | energy 111.9 | actor_loss 0.08941 | energy_loss 1.06658 | reach_loss 92139.74873 | entropy 2.1363 | gamma_reach 0.999040 | ent_coef 0.00098 | elapsed 26.89s
iter 00005 | success 0.028 | cost 43.1 | energy 169.6 | actor_loss 0.21282 | energy_loss 2.96580 | reach_loss 367803.25625 | entropy 2.1350 | gamma_reach 0.999053 | ent_coef 0.00097 | elapsed 27.42s
iter 00006 | success 0.034 | cost 31.7 | energy 177.3 | actor_loss 0.25366 | energy_loss 54.18946 | reach_loss 1401193.41875 | entropy 2.1238 | gamma_reach 0.999066 | ent_coef 0.00097 | elapsed 27.92s
iter 00007 | success 0.031 | cost 35.3 | energy 201.1 | actor_loss 0.23151 | energy_loss 56.59112 | reach_loss 1984879.63125 | entropy 2.0999 | gamma_reach 0.999079 | ent_coef 0.00096 | elapsed 27.97s
iter 00008 | success 0.039 | cost 29.5 | energy 187.5 | actor_loss 0.24752 | energy_loss 31.07993 | reach_loss 2657695.55938 | entropy 2.0843 | gamma_reach 0.999092 | ent_coef 0.00095 | elapsed 27.87s
iter 00009 | success 0.030 | cost 25.6 | energy 170.2 | actor_loss 0.26855 | energy_loss 28.14970 | reach_loss 4122868.10625 | entropy 2.0903 | gamma_reach 0.999106 | ent_coef 0.00095 | elapsed 27.84s
iter 00010 | success 0.023 | cost 29.3 | energy 163.4 | actor_loss 0.22059 | energy_loss 13.86490 | reach_loss 5635063.51250 | entropy 2.0975 | gamma_reach 0.999119 | ent_coef 0.00094 | elapsed 28.27s
debug 00010 | std_mean 0.4878 | std_min 0.4634 | std_max 0.5000 | done_mean 0.9202 | energy_min_ratio 0.5904 | energy_neg_ratio 0.8199 | e_cons [7.220e+00, 8.000e+00] | first_emin_step 82.32 | act_clip_ratio 0.8297 | act_abs [6.500e+00, 3.125e+01] | act_mean_abs [6.490e+00, 3.131e+01] | act_mean_clip_ratio 0.8861 | clipped_act_abs [9.301e-01, 1.000e+00] | init_energy [-3.994e+02, 1.921e+02, 7.999e+02] | v_reach [-1.851e+04, 1.053e+03] | t_reach [-4.995e+03, 9.532e+02] | reach_clip_ratio 0.1112 | open_ratio 0.0798 | t_done [-3.000e+02, 9.532e+02] | t_open [-4.995e+03, 7.717e+02] | v_open [-1.436e+04, 9.760e+02] | tmin_src done 0 t 199 v -8.731e+03 next_v -5.000e+03 g 2.779e+02 h -3.000e+02 energy -4.000e+02 | adv_total_std 2.158e+02 | adv_open_std 1.004e+02
